"INLINE BiorhythmTable","Starting Position","Amplitude"
"None",0,4
"Eirika",0,2
"Seth",0,4
"Gilliam",0,4
"Franz",0,4
"Moulder",0,4
"Vanessa",0,4
"Ross",0,4
"Neimi",0,4
"Colm",0,4
"Garcia",0,4
"Innes",0,4
"Lute",0,4
"Natasha",0,4
"Cormag",0,4
"Ephraim",0,4
"Forde",0,4
"Kyle",0,4
"Amelia",0,4
"Artur",0,4
"Gerik",0,4
"Tethys",0,4
"Marisa",0,4
"Saleh",0,4
"Ewan",0,4
"L'Arachel",0,4
"Dozla",0,4
"-",0,4
"Rennac",0,4
"Duessel",0,4
"Myrrh",0,4
"Knoll",0,4
"Joshua",0,4
"Syrene",0,4
"Tana",0,4
"Lyon",0,4
"Orson",0,4
"Glen",0,4
"Selena",0,4
"Valter",0,4
"Riev",0,4
"Caellach",0,4
"Fado",0,4
"Ismaire",0,4
"Hayden",0,4
"FakeEirika",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"-",0,4
"Lyon's Summon",0,4
"-",0,4
"-",0,4
"Knoll's Summon",0,4
"Ewan's Summon",0,4
