"INLINE HolyBloodCharacterTable","Holy Blood ID (Set bit 0x80 for major, don't if minor)"
"0x0","255"
"0x1","255"
"0x2","255"
"0x3","255"
"0x4","255"
"0x5","255"
"0x6","255"
"0x7","255"
"0x8","255"
"0x9","255"
"0xa","255"
"0xb","255"
"0xc","255"
"0xd","255"
"0xe","255"
"0xf","255"
"0x10","255"
"0x11","255"
"0x12","255"
"0x13","255"
"0x14","255"
"0x15","255"
"0x16","255"
"0x17","255"
"0x18","255"
"0x19","255"
"0x1a","255"
"0x1b","255"
"0x1c","255"
"0x1d","255"
"0x1e","255"
"0x1f","255"
"0x20","255"
"0x21","255"
"0x22","255"
"0x23","255"
"0x24","255"
"0x25","255"
"0x26","255"
"0x27","255"
"0x28","255"
"0x29","255"
"0x2a","255"
"0x2b","255"
"0x2c","255"
"0x2d","255"
"0x2e","255"
"0x2f","255"
"0x30","255"
"0x31","255"
"0x32","255"
"0x33","255"
"0x34","255"
"0x35","255"
"0x36","255"
"0x37","255"
"0x38","255"
"0x39","255"
"0x3a","255"
"0x3b","255"
"0x3c","255"
"0x3d","255"
"0x3e","255"
"0x3f","255"
"0x40","255"
"0x41","255"
"0x42","255"
"0x43","255"
"0x44","255"
"0x45","255"
"0x46","255"
"0x47","255"
"0x48","255"
"0x49","255"
"0x4a","255"
"0x4b","255"
"0x4c","255"
"0x4d","255"
"0x4e","255"
"0x4f","255"
"0x50","255"
"0x51","255"
"0x52","255"
"0x53","255"
"0x54","255"
"0x55","255"
"0x56","255"
"0x57","255"
"0x58","255"
"0x59","255"
"0x5a","255"
"0x5b","255"
"0x5c","255"
"0x5d","255"
"0x5e","255"
"0x5f","255"
"0x60","255"
"0x61","255"
"0x62","255"
"0x63","255"
"0x64","255"
"0x65","255"
"0x66","255"
"0x67","255"
"0x68","255"
"0x69","255"
"0x6a","255"
"0x6b","255"
"0x6c","255"
"0x6d","255"
"0x6e","255"
"0x6f","255"
"0x70","255"
"0x71","255"
"0x72","255"
"0x73","255"
"0x74","255"
"0x75","255"
"0x76","255"
"0x77","255"
"0x78","255"
"0x79","255"
"0x7a","255"
"0x7b","255"
"0x7c","255"
"0x7d","255"
"0x7e","255"
"0x7f","255"
"0x80","255"
"0x81","255"
"0x82","255"
"0x83","255"
"0x84","255"
"0x85","255"
"0x86","255"
"0x87","255"
"0x88","255"
"0x89","255"
"0x8a","255"
"0x8b","255"
"0x8c","255"
"0x8d","255"
"0x8e","255"
"0x8f","255"
"0x90","255"
"0x91","255"
"0x92","255"
"0x93","255"
"0x94","255"
"0x95","255"
"0x96","255"
"0x97","255"
"0x98","255"
"0x99","255"
"0x9a","255"
"0x9b","255"
"0x9c","255"
"0x9d","255"
"0x9e","255"
"0x9f","255"
"0xa0","255"
"0xa1","255"
"0xa2","255"
"0xa3","255"
"0xa4","255"
"0xa5","255"
"0xa6","255"
"0xa7","255"
"0xa8","255"
"0xa9","255"
"0xaa","255"
"0xab","255"
"0xac","255"
"0xad","255"
"0xae","255"
"0xaf","255"
"0xb0","255"
"0xb1","255"
"0xb2","255"
"0xb3","255"
"0xb4","255"
"0xb5","255"
"0xb6","255"
"0xb7","255"
"0xb8","255"
"0xb9","255"
"0xba","255"
"0xbb","255"
"0xbc","255"
"0xbd","255"
"0xbe","255"
"0xbf","255"
"0xc0","255"
"0xc1","255"
"0xc2","255"
"0xc3","255"
"0xc4","255"
"0xc5","255"
"0xc6","255"
"0xc7","255"
"0xc8","255"
"0xc9","255"
"0xca","255"
"0xcb","255"
"0xcc","255"
"0xcd","255"
"0xce","255"
"0xcf","255"
"0xd0","255"
"0xd1","255"
"0xd2","255"
"0xd3","255"
"0xd4","255"
"0xd5","255"
"0xd6","255"
"0xd7","255"
"0xd8","255"
"0xd9","255"
"0xda","255"
"0xdb","255"
"0xdc","255"
"0xdd","255"
"0xde","255"
"0xdf","255"
"0xe0","255"
"0xe1","255"
"0xe2","255"
"0xe3","255"
"0xe4","255"
"0xe5","255"
"0xe6","255"
"0xe7","255"
"0xe8","255"
"0xe9","255"
"0xea","255"
"0xeb","255"
"0xec","255"
"0xed","255"
"0xee","255"
"0xef","255"
"0xf0","255"
"0xf1","255"
"0xf2","255"
"0xf3","255"
"0xf4","255"
"0xf5","255"
"0xf6","255"
"0xf7","255"
"0xf8","255"
"0xf9","255"
"0xfa","255"
"0xfb","255"
"0xfc","255"
"0xfd","255"
"0xfe","255"
