"INLINE HolyBloodTable","Name ID","Desc ID","HP Growth Modifier","Strength Growth Modifier","Skill Growth Modifier","Speed Growth Modifier","Defense Growth Modifier","Resistance Growth Modifier","Luck Growth Modifier","Magic Growth Modifier","Weapon Type","Can Dragon Vein","##UNKNOWN##","Exclusive Weapons List Pointer"
"0x0","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x5","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x6","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x7","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x8","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x9","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xa","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xb","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xc","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xd","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xe","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0xf","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x10","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x11","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x12","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x13","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x14","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x15","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x16","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x17","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x18","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x19","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x1f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x20","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x21","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x22","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x23","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x24","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x25","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x26","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x27","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x28","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x29","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x2f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x30","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x31","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x32","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x33","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x34","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x35","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x36","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x37","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x38","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x39","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3e","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x3f","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x40","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x41","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x42","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x43","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x44","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x45","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x46","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x47","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x48","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x49","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4a","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4b","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4c","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
"0x4d","0xffff","0xffff","255","255","255","255","255","255","255","255","255","255","0xffff","0xffffffff"
