0x0128F5B8	CP	Object type (Plist)	Palette (Plist)	Tile Config (Plist)	Map Pointer (Plist)	Tile Animation 1	Tile Animation 2	Map Changes (Plist)	Fog Level	Enable Battle Prep? (X)	Chapter Title	Chapter title image 2 (X).	Initial coord	B17	Weather	Battle Backgrounds	Difficulty	Player Phase BGM	Enemy Phase BGM	NPC BGM	Player Phase BGM 2 (X)	Enemy Phase BGM 2 (X)	NPC BGM 2 (X)	Player Phase BGM Flag 4	Enemy Phase BGM Flag 4	???	???	???	Destructible Wall HP	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	??	W62	W64	W66	W68	W70	W72	W74	W76	W78	W80	W82	W84	W86	W88	W90	W92	??	D96	D100	D104	D108	Map Name 1	Map Name 2 (X)	Event ID (Plist)	World Map Event	??	B119	B120	B121	??	B123	B124	B125	??	B127	Chapter Number	??	B130	B131	??	B133	VictoryBGM(# Foes Left)	Dark Before Initial Event	Clear Condition	Detailed Clear Condition	Mini-Objective Display	Turns to Defend	Unit to Defend	Withdrawal Point	B144	??	??	??
00  Debug Room	0x081C32C8	0x01	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x10	0x09	0x13	0x13	0x09	0x13	0x13	0x09	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0160	0x0160	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A2	0x019D	0x03	0x00	0x00	0xFF	0x00	0x1D	0x00	0x00
01 Ch1 Pallet Town	0x081C32CC	0x03	0x42	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x01	0x00	0x00	0x00	0x10	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0161	0x0161	0x01	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0xFF	0xFF	0x00	0x00	0x01	0x00	0x01A3	0x019F	0x00	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
02 Ch2 Route One	0x081C32D0	0x04	0x43	0x03	0x02	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0x01	0x00	0x00	0x00	0x0224	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0162	0x0162	0x02	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A4	0x019E	0x01	0x00	0x00	0xFF	0x00	0x03	0x00	0x00
03 Ch3 Viridian City	0x081C32D4	0x05	0x44	0x04	0x03	0x00	0x00	0x00	0x00	0x00	0x03	0x00	0x08	0x0A	0x00	0x05	0x0224	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x19	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0163	0x0163	0x03	0x03	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x06	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A5	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x28	0x00	0x00
04 Ch4 Route 2: S	0x081C32D8	0x06	0x45	0x05	0x04	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x01	0x00	0x00	0x00	0x0234	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0164	0x0164	0x04	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0xFF	0xFF	0x00	0x00	0x01	0x00	0x01A6	0x019E	0x01	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
05 Ch5 Viridian Forest: S	0x081C32DC	0x07	0x46	0x06	0x05	0x00	0x00	0x00	0x00	0x00	0x05	0x00	0x01	0x00	0x00	0x00	0x32	0x0B	0x13	0x0F	0x0B	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0165	0x0165	0x05	0x05	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A8	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x0C	0x00	0x00
06 Ch5 Viridian Forest: N	0x081C32E0	0x08	0x47	0x07	0x06	0x00	0x00	0x00	0x00	0x00	0x06	0x00	0x08	0x0A	0x00	0x06	0x0234	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0166	0x0166	0x06	0x06	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A7	0x019D	0x03	0x00	0x00	0xFF	0x00	0x05	0x00	0x00
07 Ch6 Route 2: N	0x081C32E4	0x09	0x48	0x08	0x07	0x00	0x00	0x00	0x03	0x00	0x07	0x00	0x08	0x08	0x00	0x00	0x0234	0x11	0x18	0x11	0x11	0x18	0x11	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0167	0x0167	0x07	0x07	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0C	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01A9	0x019D	0x03	0x00	0x00	0xFF	0x00	0x1A	0x00	0x00
08 Ch7 Pewter City	0x081C32E8	0x0A	0x49	0x09	0x08	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0x08	0x10	0x00	0x00	0x0234	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0168	0x0168	0x08	0x08	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0E	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01AA	0x019F	0x00	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
09 Ch8 Pewter Gym	0x081C32EC	0x0B	0x4A	0x0A	0x09	0x00	0x00	0x00	0x00	0x00	0x09	0x00	0x11	0x11	0x00	0x00	0x0234	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0169	0x0169	0x09	0x09	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x10	0x00	0xFF	0xFF	0x00	0x00	0x01	0x00	0x01AB	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x0C	0x00	0x00
