0x807110	Name	Details	ID	Menu Class	Standing Map Anims	Movement Speed	Generic Enemy Portrait	Sort Order	HP	POW	SKL	SPD	DEF	RES	CON	MOVE	HP	POW	SKL	SPD	DEF	RES	CON	Relative Power	HP	POW	SKL	SPD	DEF	RES	LUK	HP	POW	SKL	SPD	DEF	RES	Ability 1	Ability 2	Ability 3	Ability 4	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	P52	P56	P60	P64	P68	P72	P76	???
0	0x00	0x00	0x00	0x00	0x00	0x00	0x1414	0x14	0x14	0x14	0x14	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x25	0x00	0x25	0x00	0x00	0x41	0x00	0x00	0x02	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x231E143C	0x190F0F	0x00	0x00	0x00	0x00
01 Lord	0x02BF	0x0309	0x01	0x03	0x00	0x00	0x8B	0x01	0x12	0x06	0x06	0x07	0x06	0x00	0x08	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	110	65	60	65	35	35	110	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x20	0x00	0x20	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEFD8	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
02 Lord	0x02BF	0x030A	0x02	0x04	0x01	0x00	0x8B	0x01	0x10	0x04	0x08	0x09	0x03	0x01	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	110	65	60	65	35	40	110	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x20	0x02	0x10	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEFE4	0x80B808	0x80BC59	0x80C069	0x80C479	0x80C4BA	0x80C4FB	0x00
03 Great Lord	0x02C0	0x030B	0x03	0x01	0x02	0x00	0x8B	0x02	0x12	0x03	0x03	0x04	0x05	0x00	0x0A	0x07	0x3C	0x1B	0x1A	0x18	0x17	0x17	0x19	0x03	110	65	60	65	35	35	110	0x04	0x02	0x03	0x02	0x02	0x05	0x03	0x25	0x00	0x20	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEFF0	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
04 Great Lord	0x02C0	0x030C	0x04	0x02	0x03	0x00	0x8B	0x02	0x12	0x03	0x03	0x04	0x05	0x00	0x07	0x07	0x3C	0x18	0x1D	0x1E	0x16	0x19	0x19	0x03	110	65	60	65	35	40	110	0x04	0x02	0x02	0x01	0x03	0x05	0x03	0x25	0x02	0x10	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEFFC	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
05 Cavalier	0x02C1	0x030D	0x05	0x07	0x04	0x00	0x80	0x20	0x14	0x05	0x02	0x05	0x06	0x00	0x09	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	95	55	60	48	35	35	95	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x04	0x00	0x00	0x01	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF008	0x80BA92	0x80BEE3	0x80C2F3	0x80C479	0x80C4BA	0x80C4FB	0x00
06 Cavalier	0x02C1	0x030D	0x06	0x08	0x04	0x00	0x80	0x20	0x12	0x05	0x03	0x03	0x06	0x00	0x09	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	95	55	60	48	35	35	95	0x01	0x00	0x02	0x02	0x00	0x02	0x03	0x04	0x00	0x00	0x01	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF018	0x80BA92	0x80BEE3	0x80C2F3	0x80C479	0x80C4BA	0x80C4FB	0x00
07 Paladin	0x02C2	0x030E	0x07	0x05	0x05	0x00	0x81	0x21	0x17	0x07	0x04	0x07	0x08	0x03	0x0B	0x08	0x3C	0x19	0x1A	0x18	0x19	0x19	0x19	0x03	90	45	50	38	32	40	90	0x02	0x01	0x01	0x01	0x02	0x01	0x03	0x05	0x00	0x00	0x1F	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF028	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
08 Paladin	0x02C2	0x030E	0x08	0x06	0x05	0x00	0x81	0x21	0x17	0x06	0x06	0x0B	0x07	0x06	0x09	0x08	0x3C	0x17	0x1B	0x19	0x18	0x1A	0x19	0x03	90	45	55	45	32	45	90	0x01	0x01	0x01	0x02	0x01	0x02	0x03	0x05	0x00	0x00	0x1F	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF038	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
09 Knight	0x02C3	0x030F	0x09	0x0B	0x06	0x01	0x76	0x0C	0x11	0x05	0x02	0x00	0x09	0x00	0x0D	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	60	50	35	48	40	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF048	0x80B88A	0x80BCDB	0x80C0EB	0x80C479	0x80C4BA	0x80C4FB	0x00
