0x803D64	Name	Details	ID	Support Class	Portrait	Map Portrait	B9	Unit Sort Order	LV	HP	POW	SKL	SPD	DEF	RES	LUK	CON	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	HP	POW	SKL	SPD	DEF	RES	LUK	??	??	??	??	??	Ability 1	Ability 2	Ability 3	Ability 4	Support Data	Conversation Group	??	??	??
01 Eirika	0x0212	0x026E	0x01	0x02	0x02	0x00	0x06	0x01	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x05	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x46	0x28	0x3C	0x3C	0x1E	0x1E	0x3C	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEBAC	0x07	0x00	0x00	0x00
02 Seth	0x0213	0x026F	0x02	0x07	0x04	0x00	0x07	0x03	0x01	0x07	0x07	0x09	0x05	0x03	0x05	0x0D	0x00	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x5A	0x32	0x2D	0x2D	0x28	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEBDC	0x03	0x00	0x00	0x00
03 Gilliam	0x0214	0x0270	0x03	0x09	0x05	0x00	0x02	0x07	0x04	0x08	0x04	0x04	0x03	0x00	0x03	0x03	0x01	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x5A	0x2D	0x23	0x1E	0x37	0x14	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEC0C	0x04	0x00	0x00	0x00
04 Franz	0x0215	0x0271	0x04	0x05	0x06	0x00	0x06	0x06	0x01	0x00	0x02	0x03	0x02	0x00	0x01	0x02	0x00	0x01	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x28	0x28	0x32	0x19	0x14	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEBF4	0x03	0x00	0x00	0x00
05 Moulder	0x0216	0x0272	0x05	0x45	0x07	0x00	0x07	0x08	0x03	0x02	0x03	0x05	0x07	0x01	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x46	0x28	0x32	0x28	0x19	0x19	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEC24	0x04	0x00	0x00	0x00
06 Vanessa	0x0217	0x0273	0x06	0x48	0x08	0x00	0x07	0x09	0x01	0x03	0x01	0x02	0x06	0x03	0x03	0x04	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x32	0x23	0x37	0x3C	0x14	0x1E	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x20	0x00	0x8AEC3C	0x0A	0x00	0x00	0x00
07 Ross	0x0218	0x0274	0x07	0x3D	0x09	0x00	0x01	0x0A	0x01	0x01	0x02	0x02	0x02	0x02	0x00	0x08	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x46	0x32	0x23	0x1E	0x19	0x14	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEC6C	0x05	0x00	0x00	0x00
08 Neimi	0x0219	0x0275	0x08	0x1A	0x0A	0x00	0x01	0x0B	0x01	0x00	0x01	0x02	0x02	0x00	0x02	0x04	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x37	0x2D	0x32	0x3C	0x0F	0x23	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEC9C	0x07	0x00	0x00	0x00
09 Colm	0x021A	0x0276	0x09	0x0D	0x0C	0x00	0x06	0x0C	0x02	0x02	0x01	0x03	0x01	0x01	0x01	0x08	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x4B	0x28	0x28	0x41	0x19	0x14	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEC84	0x00	0x00	0x00	0x00
0A Garcia	0x021B	0x0277	0x0A	0x3F	0x0E	0x00	0x01	0x0D	0x04	0x08	0x03	0x05	0x03	0x03	0x01	0x03	0x03	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x50	0x41	0x28	0x14	0x19	0x0F	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEC54	0x01	0x00	0x00	0x00
0B Innes	0x021C	0x0278	0x0B	0x1B	0x0F	0x00	0x04	0x14	0x01	0x0A	0x07	0x07	0x0A	0x05	0x07	0x0E	0x01	0x00	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	0x4B	0x28	0x28	0x2D	0x14	0x19	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AED5C	0x00	0x00	0x00	0x00
0C Lute	0x021D	0x0279	0x0C	0x26	0x10	0x00	0x07	0x0F	0x01	0x01	0x05	0x03	0x05	0x01	0x01	0x08	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x2D	0x41	0x1E	0x2D	0x0F	0x28	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AECCC	0x07	0x00	0x00	0x00
0D Natasha	0x021E	0x027A	0x0D	0x4A	0x11	0x00	0x04	0x10	0x01	0x02	0x01	0x02	0x06	0x02	0x00	0x06	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x32	0x3C	0x19	0x28	0x0F	0x37	0x3C	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AECE4	0x0A	0x00	0x00	0x00
0E Cormag	0x021F	0x027B	0x0E	0x1F	0x13	0x00	0x01	0x1F	0x09	0x0A	0x07	0x06	0x05	0x04	0x02	0x04	0x01	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x37	0x28	0x2D	0x19	0x0F	0x23	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEE1C	0x00	0x00	0x00	0x00
0F Ephraim	0x0220	0x027C	0x0F	0x01	0x14	0x00	0x01	0x01	0x04	0x05	0x02	0x03	0x04	0x01	0x02	0x08	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x50	0x37	0x37	0x2D	0x23	0x19	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEBC4	0x03	0x00	0x00	0x00
10 Forde	0x0221	0x027D	0x10	0x05	0x16	0x00	0x03	0x05	0x05	0x04	0x02	0x06	0x03	0x02	0x02	0x07	0x00	0x1F	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x28	0x32	0x2D	0x14	0x19	0x23	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AED2C	0x03	0x00	0x00	0x00
11 Kyle	0x0222	0x027E	0x11	0x05	0x18	0x00	0x04	0x04	0x06	0x05	0x04	0x04	0x02	0x03	0x01	0x06	0x01	0x1F	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x5A	0x32	0x28	0x28	0x19	0x14	0x14	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AED14	0x03	0x00	0x00	0x00
12 Amelia	0x0223	0x027F	0x12	0x47	0x19	0x00	0x02	0x13	0x01	0x03	0x01	0x03	0x03	0x02	0x02	0x06	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x3C	0x23	0x28	0x28	0x1E	0x0F	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEE34	0x07	0x00	0x00	0x00
13 Artur	0x0224	0x0280	0x13	0x44	0x1A	0x00	0x04	0x0E	0x02	0x01	0x05	0x05	0x06	0x01	0x01	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x37	0x32	0x32	0x28	0x0F	0x37	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AECB4	0x00	0x00	0x00	0x00
14 Gerik	0x0225	0x0281	0x14	0x0F	0x1B	0x00	0x02	0x15	0x0A	0x0E	0x0A	0x05	0x05	0x06	0x04	0x08	0x04	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x5A	0x2D	0x28	0x1E	0x23	0x19	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AED74	0x04	0x00	0x00	0x00
15 Tethys	0x0226	0x0282	0x15	0x4D	0x1C	0x00	0x01	0x16	0x01	0x04	0x00	0x00	0x05	0x05	0x03	0x0A	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x55	0x05	0x0A	0x46	0x1E	0x4B	0x50	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AED8C	0x07	0x00	0x00	0x00
16 Marisa	0x0227	0x0283	0x16	0x14	0x1E	0x00	0x04	0x17	0x05	0x08	0x04	0x03	0x03	0x03	0x02	0x09	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x4B	0x1E	0x37	0x3C	0x0F	0x19	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x8AEDA4	0x0C	0x00	0x00	0x00
17 Saleh	0x0228	0x0284	0x17	0x27	0x20	0x00	0x03	0x18	0x02	0x0A	0x0B	0x0E	0x0A	0x03	0x08	0x0B	0x01	0x00	0x00	0x00	0x00	0x47	0xB5	0x79	0x00	0x32	0x1E	0x19	0x28	0x1E	0x23	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEDBC	0x06	0x00	0x00	0x00
18 Ewan	0x0229	0x0285	0x18	0x3E	0x21	0x00	0x06	0x19	0x02	0x02	0x02	0x02	0x04	0x00	0x00	0x05	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x32	0x2D	0x28	0x23	0x0F	0x28	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AEDD4	0x05	0x00	0x00	0x00
