INLINE ConversationBackgroundTable ,Image Ptr,TSA Ptr,Palette Ptr
HouseBG 0x00,InsideBrightHouse2Image|IsPointer,InsideBrightHouse2TSA|IsPointer,InsideBrightHouse2Palette|IsPointer
Salehs_House 0x01,InsideBrightHouseImage|IsPointer,InsideBrightHouseTSA|IsPointer,InsideBrightHousePalette|IsPointer
Village 0x02,OutsideHouseImage|IsPointer,OutsideHouseTSA|IsPointer,OutsideHousePalette|IsPointer
Outside_Village_Day 0x03,VillageGateImage|IsPointer,VillageGateTSA|IsPointer,VillageGatePalette|IsPointer
Outside_Village_Evening 0x04,ForestOutskirtsImage|IsPointer,ForestOutskirtsTSA|IsPointer,ForestOutskirtsPalette|IsPointer
Town_Day 0x05,VillageImage|IsPointer,VillageTSA|IsPointer,VillagePalette|IsPointer
Town_Past 0x06,Village2Image|IsPointer,Village2TSA|IsPointer,Village2Palette|IsPointer
Harbor 0x07,ForestImage|IsPointer,ForestTSA|IsPointer,ForestPalette|IsPointer
Ship 0x08,HealerTentImage|IsPointer,HealerTentTSA|IsPointer,HealerTentPalette|IsPointer
Inn 0x09,TavernImage|IsPointer,TavernTSA|IsPointer,TavernPalette|IsPointer
Castle_Hall 0x0A,CaravanImage|IsPointer,CaravanTSA|IsPointer,CaravanPalette|IsPointer
Castle_Hall_Night 0x0B,FortNightImage|IsPointer,FortNightTSA|IsPointer,FortNightPalette|IsPointer
Castle_Hall_2 0x0C,ForestNightImage|IsPointer,ForestNightTSA|IsPointer,ForestNightPalette|IsPointer
Castle_Hall_2_Past 0x0D,HillsNightImage|IsPointer,HillsNightTSA|IsPointer,HillsNightPalette|IsPointer
Castle_Room 0x0E,ArmyCampWinterNightImage|IsPointer,ArmyCampWinterNightTSA|IsPointer,ArmyCampWinterNightPalette|IsPointer
Castle_Room_Past 0x0F,WarriorTentImage|IsPointer,WarriorTentTSA|IsPointer,WarriorTentPalette|IsPointer
Castle_Hall_3 0x10,InsideHouseNightImage|IsPointer,InsideHouseNightTSA|IsPointer,InsideHouseNightPalette|IsPointer
Castle_Hall_3_Night 0x11,AltarImage|IsPointer,AltarTSA|IsPointer,AltarPalette|IsPointer
Castle_Hall_4 0x12,FortInteriorImage|IsPointer,FortInteriorTSA|IsPointer,FortInteriorPalette|IsPointer
Castle_Garden 0x13,TownImage|IsPointer,TownTSA|IsPointer,TownPalette|IsPointer
Castle_Garden_Past 0x14,ArmyCampImage|IsPointer,ArmyCampTSA|IsPointer,ArmyCampPalette|IsPointer
Castle_Outside 0x15,CastleHallwayImage|IsPointer,CastleHallwayTSA|IsPointer,CastleHallwayPalette|IsPointer
Castle_Outside_Past 0x16,OutsideCastleImage|IsPointer,OutsideCastleTSA|IsPointer,OutsideCastlePalette|IsPointer
Prison_Cell 0x17,BedroomNightImage|IsPointer,BedroomNightTSA|IsPointer,BedroomNightPalette|IsPointer
Plain 0x18,MeetingRoomImage|IsPointer,MeetingRoomTSA|IsPointer,MeetingRoomPalette|IsPointer
Plain_Evening 0x19,WetlandsImage|IsPointer,WetlandsTSA|IsPointer,WetlandsPalette|IsPointer
Plain_Fog 0x1A,MountainNightImage|IsPointer,MountainNightTSA|IsPointer,MountainNightPalette|IsPointer
Plain_2 0x1B,ForestPathImage|IsPointer,ForestPathTSA|IsPointer,ForestPathPalette|IsPointer
Plain_3 0x1C,OutsideGateImage|IsPointer,OutsideGateTSA|IsPointer,OutsideGatePalette|IsPointer
Woodland 0x1D,WoodsImage|IsPointer,WoodsTSA|IsPointer,WoodsPalette|IsPointer
Woodland_Fog 0x1E,BedroomDayImage|IsPointer,BedroomDayTSA|IsPointer,BedroomDayPalette|IsPointer
Woodland_Evening 0x1F,CampsiteImage|IsPointer,CampsiteTSA|IsPointer,CampsitePalette|IsPointer
Woodland_Night 0x20,CastleRuinsImage|IsPointer,CastleRuinsTSA|IsPointer,CastleRuinsPalette|IsPointer
Riverside 0x21,LakesideImage|IsPointer,LakesideTSA|IsPointer,LakesidePalette|IsPointer
Forest 0x22,SparseForestImage|IsPointer,SparseForestTSA|IsPointer,SparseForestPalette|IsPointer
Forest_2 0x23,DiningRoomImage|IsPointer,DiningRoomTSA|IsPointer,DiningRoomPalette|IsPointer
Town_Gate 0x24,ForestOpeningImage|IsPointer,ForestOpeningTSA|IsPointer,ForestOpeningPalette|IsPointer
Fort_Outside 0x25,OfficeImage|IsPointer,OfficeTSA|IsPointer,OfficePalette|IsPointer
Fort 0x26,FortRealImage|IsPointer,FortRealTSA|IsPointer,FortRealPalette|IsPointer
Fort_Evening 0x27,RuinsImage|IsPointer,RuinsTSA|IsPointer,RuinsPalette|IsPointer
Fort_Ruins 0x28,TallForestImage|IsPointer,TallForestTSA|IsPointer,TallForestPalette|IsPointer
Fort_Ruins_Outside 0x29,ThroneRoomImage|IsPointer,ThroneRoomTSA|IsPointer,ThroneRoomPalette|IsPointer
Fort_2 0x2A,VillageGate2Image|IsPointer,VillageGate2TSA|IsPointer,VillageGate2Palette|IsPointer
Fort_2_Burning 0x2B,ForestMorningImage|IsPointer,ForestMorningTSA|IsPointer,ForestMorningPalette|IsPointer
Shrine 0x2C,VillageNightImage|IsPointer,VillageNightTSA|IsPointer,VillageNightPalette|IsPointer
Shrine_lighter 0x2D,ThroneRoomNightImage|IsPointer,ThroneRoomNightTSA|IsPointer,ThroneRoomNightPalette|IsPointer
Shrine_2 0x2E,InsideHouseClosedImage|IsPointer,InsideHouseClosedTSA|IsPointer,InsideHouseClosedPalette|IsPointer
Shrine_3 0x2F,ArmyCampCentreImage|IsPointer,ArmyCampCentreTSA|IsPointer,ArmyCampCentrePalette|IsPointer
Desert 0x30,InsideBigTentImage|IsPointer,InsideBigTentTSA|IsPointer,InsideBigTentPalette|IsPointer
Forest_Dense 0x31,TempleImage|IsPointer,TempleTSA|IsPointer,TemplePalette|IsPointer
Volcano 0x32,AlabasterCastleImage|IsPointer,AlabasterCastleTSA|IsPointer,AlabasterCastlePalette|IsPointer
Temple_Gate 0x33,HouseNightImage|IsPointer,HouseNightTSA|IsPointer,HouseNightPalette|IsPointer
Temple_Ruins_Inside 0x34,0x8958a58,0x895d1a8,0x895d65c
Black 0x35,BlackImage|IsPointer,BlackTSA|IsPointer,BlackPalette|IsPointer
SnowPlain,0x0,0x0,0x0
BORK,0x0,0x0,0x0
SnowVillage,0x0,0x0,0x0
Meru,0x0,0x0,0x0
Yst (P),0x0,0x0,0x0
Kitabei (P),0x0,0x0,0x0
Magharb (P),0x0,0x0,0x0
Tagshin (P),0x0,0x0,0x0
Barzax (P),0x0,0x0,0x0
PrologueStart,0x0,0x0,0x0
0x40,0x0,0x0,0x0
0x41,0x4340,0x272b272b,0x60a0000
0x42,0x2449,0x2a4c4c2c,0x0
0x43,0x0,0x0,0x53
0x44,0x570056,0x0,0x59
0x45,0x5c0000,0x5e0000,0x600000
0x46,0x0,0x640061,0x0
0x47,0x0,0x0,0x0
0x48,0x0,0x0,0x0
0x49,0x0,0x0,0x0
0x4a,0x0,0x0,0x0
0x4b,0x39273811,0x4000200,0x0
0x4c,0x70000,0x9000000,0x350b00
0x4d,0x50000,0x3507,0x2b004500
0x4e,0x27,0x24490048,0x3f3d0000
0x4f,0x40401142,0x1a0043,0x1e1c
0x50,0x17000d00,0x33,0x4011003f
0x51,0x0,0x1b00,0x260000
0x52,0x2a28,0x2c004a00,0x4c
0x53,0x2321001f,0x1000000,0x300
0x54,0x50000,0x3507,0x7000500
0x55,0x47000035,0x360c060a,0x44003608
0x56,0x272b00,0xf0000,0x1d11
0x57,0x4d00,0x0,0x16180014
0x58,0x0,0x2700,0x2d253e00
0x59,0x312f2927,0x4c004b00,0x2a
0x5a,0x430000,0x0,0x0
0x5b,0x0,0x33,0x35000000
0x5c,0x0,0x0,0x2d000000
0x5d,0x312f00,0x130000,0x1517
0x5e,0x49000000,0x0,0x24490048
0x5f,0x0,0x0,0x0
0x60,0x7,0x21000000,0x0
0x61,0x2a0000,0x0,0x2300
