0x0D8538,Ability 1,Ability 2,Ability 3,Ability 4
00 Ch1 1-1: Calling to Battle,0x07,0x00,0x00,0x00
01 Ch3 1-3: New Companions,0x07,0x00,0x00,0x00
02 Ch4 1-4: First Taste of War,0x07,0x00,0x00,0x00
03 Ch5 1-5: Ochren,0x07,0x00,0x00,0x00
04 Ch6 1-F: Snow Stained Red,0x07,0x00,0x00,0x00
05 Ch5 Unbroken Heart,0x07,0x00,0x00,0x00
06 Ch1 2-1: Roots from the Earth,0x07,0x00,0x00,0x00
07 Ch2 2-2: Chandran Heart,0x04,0x00,0x00,0x00
08 Ch3 2-3: The Northern Gale,0x07,0x00,0x00,0x00
09 Ch4 2-4: Locks of Crimson,0x06,0x00,0x00,0x00
0A Ch9 2-5: Battle on the Sarasvati,0x07,0x00,0x00,0x00
0B Ch10 2-5x: The Forgotten,0x07,0x00,0x00,0x00
0C Ch12 2-6: Stoked Revolt,0x07,0x00,0x00,0x00
0D Ch13 2-7: Eye of the Needle,0x07,0x00,0x00,0x00
0E Ch14 2-8: Ambush from Five Sides,0x02,0x00,0x00,0x00
0F Ch15 2-F: The Caged Bird,0x07,0x00,0x00,0x00
10 Ch16 Ruled by Madness,0x02,0x00,0x00,0x00
11 Ch17 River of Regrets,0x07,0x00,0x00,0x00
12 Ch18 Two Faces of Evil,0x07,0x00,0x00,0x00
13 Ch19 Last Hope,0x07,0x00,0x00,0x00
14 Ch20 Darkling Woods,0x07,0x00,0x00,0x00
15 Ch21 Sacred Stone,0x02,0x00,0x00,0x00
16 Ch22 Sacred Stone,0x07,0x00,0x00,0x00
17 Ch23 Fort Rigwald,0x03,0x00,0x00,0x00
18 Ch24 Turning Traitor,0x07,0x00,0x00,0x00
19 Ch26 Landing at Taizel,0x07,0x00,0x00,0x00
1A Ch27 Fluorspar's Oath,0x07,0x00,0x00,0x00
1B Ch28 Father and Son,0x02,0x00,0x00,0x00
1C Ch29 Scorched Sand,0x07,0x00,0x00,0x00
1D Ch30 Ruled by Madness,0x02,0x00,0x00,0x00
1E Ch31 River of Regrets,0x07,0x00,0x00,0x00
1F Ch32 Two Faces of Evil,0x07,0x00,0x00,0x00
20 Ch33 Last Hope,0x07,0x00,0x00,0x00
21 Ch34 Darkling Woods,0x07,0x00,0x00,0x00
22 Ch35 Sacred Stone,0x02,0x00,0x00,0x00
23 Ch36 Sacred Stone,0x07,0x00,0x00,0x00
24 Ch1 Tower of Valni 1,0x07,0x00,0x00,0x00
25 Ch2 Tower of Valni 2,0x07,0x00,0x00,0x00
26 Ch3 Tower of Valni 3,0x07,0x00,0x00,0x00
27 Ch4 Tower of Valni 4,0x07,0x00,0x00,0x00
28 Ch5 Tower of Valni 5,0x07,0x00,0x00,0x00
29 Ch6 Tower of Valni 6,0x07,0x00,0x00,0x00
2A Ch7 Tower of Valni 7,0x07,0x00,0x00,0x00
2B Ch8 Tower of Valni 8,0x07,0x00,0x00,0x00
2C  ,0x07,0x00,0x00,0x00
2D  ,0x07,0x00,0x00,0x00
2E Ch1 Lagdou Ruins 1,0x07,0x00,0x00,0x00
2F Ch2 Lagdou Ruins 2,0x07,0x00,0x00,0x00
30 Ch3 Lagdou Ruins 3,0x07,0x00,0x00,0x00
31 Ch4 Lagdou Ruins 4,0x07,0x00,0x00,0x00
32 Ch5 Lagdou Ruins 5,0x07,0x00,0x00,0x00
33 Ch6 Lagdou Ruins 6,0x07,0x00,0x00,0x00
34 Ch7 Lagdou Ruins 7,0x07,0x00,0x00,0x00
35 Ch8 Lagdou Ruins 8,0x07,0x00,0x00,0x00
36 Ch9 Lagdou Ruins 9,0x07,0x00,0x00,0x00
37 Ch10 Lagdou Ruins 10,0x07,0x00,0x00,0x00
38  Part 2: Rise from the Rubble,0x07,0x00,0x00,0x00
39  Melkaen Coast,0x07,0x00,0x00,0x00
3A  ,0x07,0x00,0x00,0x00
3B  ,0x07,0x00,0x00,0x00
3C  ,0x07,0x00,0x00,0x00
3D Ch2 1-2: Winds of Change,0x07,0x00,0x00,0x00
3E Ch25 Phantom Ship,0x07,0x00,0x00,0x00
3F  ,0x07,0x00,0x00,0x00
40  ,0x07,0x00,0x00,0x00
41  ,0x03,0x00,0x01,0x00
42  ,0x03,0x00,0x05,0x00
43  ,0x07,0x00,0x05,0x00
44  ,0x07,0x00,0x01,0x00
