INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
Ephraim Lord,0x2,0x0,0x1,0x0,0x81b7828
Eirika Lord,0x0,0x0,0x0,0x0,0x81b79d4
Ephraim Master Lord,0x2,0x0,0x1,0x0,0x81b7ad8
Eirika Master Lord,0x2,0x0,0x1,0x0,0x81b7cd4
Socialknight,0x2,0x0,0x1,0x0,0x81b7ecc
Paladin,0x2,0x0,0x1,0x0,0x81b8088
Armour Knight,0x2,0x0,0x0,0x0,0x81b8258
General,0x0,0x0,0x1,0x0,0x81b8364
Thief,0x2,0x0,0x0,0x0,0x81b8504
Mamkute,0x0,0x0,0x0,0x0,0x81b8640
Mercenary,0x2,0x0,0x0,0x0,0x81b8678
Mercenary (F),0x2,0x0,0x2,0x0,0x81b87b0
Hero,0x2,0x0,0x0,0x0,0x81b8940
Hero (F),0x2,0x0,0x0,0x0,0x81b8aa0
Swordfighter,0x2,0x0,0x0,0x0,0x81b8bdc
Swordfighter (F),0x2,0x0,0x0,0x0,0x81b8cf0
Swordmaster,0x2,0x0,0x0,0x0,0x81b8e00
Swordmaster (F),0x2,0x0,0x0,0x0,0x81b8ee8
Assassin,0x2,0x0,0x0,0x0,0x81b8fc4
Assassin (F),0x2,0x0,0x0,0x0,0x81b9100
Archer,0x2,0x0,0x0,0x0,0x81b9234
Archer (F),0x2,0x0,0x0,0x0,0x81b934c
Sniper,0x2,0x0,0x0,0x0,0x81b9460
Sniper (F),0x2,0x0,0x0,0x0,0x81b95a4
Ranger,0x2,0x0,0x1,0x0,0x81b96c8
Dragon Knight,0x2,0x0,0x1,0x0,0x81b9894
Dragon Knight (F),0x2,0x0,0x1,0x0,0x81b9a88
Dragon Master,0x2,0x0,0x1,0x0,0x81b9c7c
Dragon Master (F),0x2,0x0,0x1,0x0,0x81b9e70
Wyvern Knight,0x3,0x0,0x1,0x0,0x81ba068
Mage,0x2,0x0,0x0,0x0,0x81ba274
Mage (F),0x2,0x0,0x0,0x0,0x81ba3ac
Sage,0x2,0x0,0x0,0x0,0x81ba4ec
Sage (F),0x2,0x0,0x0,0x0,0x81ba648
Mage Knight,0x2,0x0,0x1,0x0,0x81ba7a8
Mage Knight (F),0x2,0x0,0x1,0x0,0x81ba95c
Bishop,0x2,0x0,0x0,0x0,0x81bab20
Bishop (F),0x2,0x0,0x0,0x0,0x81bac74
Shaman,0x2,0x0,0x0,0x0,0x81badcc
Druid,0x2,0x0,0x0,0x0,0x81baf24
