INLINE SoundRoomTable,Song ID,Song Length (Only Used for Shuffle Mode),Song Unlock ASM Condition (Unused in FE8),Song Name Text ID
0,A_Formidable_Foe_Stands_in_the_Way,9360,0,AFormidableFoeStandsInTheWayText
0,A_Hero_Falls,9360,0,AHeroFallsText
0,A_Tragic_Decision,9360,0,ATragicDecisionText
0,Agatio_and_Karst_Battle,9360,0,AgatioAndKarstBattleText
0,Alachest_Final,9360,0,AlachestFinalText
0,All_Is_Lost,9360,0,AllIsLostText
0,Anchoret,9360,0,AnchoretText
0,Aquatic_Ruin,9360,0,AquaticRuinText
0,Ascent,9360,0,AscentText
0,Battle_against_Demons,9360,0,BattleAgainstDemonsText
0,Battle_One,9360,0,BattleOneText
0,Battle_Two,9360,0,BattleTwoText
0,Bergentruckung,9360,0,BergentruckungText
0,Blindly_Charging,9360,0,BlindlyChargingText
0,Bloody_Tears,9360,0,BloodyTearsText
0,Boss_Theme,9360,0,BossThemeText
0,Burning_Fighting_Spirit,9360,0,BurningFightingSpiritText
0,Casino_Night,9360,0,CasinoNightText
0,Cavern_of_Splendor,9360,0,CavernOfSplendorText
0,Chemical_Plant,9360,0,ChemicalPlantText
0,Chinese_Tea,9360,0,ChineseTeaText
0,Church,9360,0,ChurchText
0,Courage_and_Pride_from_the_Heart,9360,0,CourageAndPrideFromTheHeartText
0,Cutting_Edge_of_Notion,9360,0,CuttingEdgeOfNotionText
0,Dark_Clouds_Gather,9360,0,DarkCloudsGatherText
0,Darker,9360,0,DarkerText
0,Derris_Kharlan_Appear,9360,0,DerrisKharlanAppearText
0,Divine_Providence,9360,0,DivineProvidenceText
0,Dry_Trail,9360,0,DryTrailText
0,Earthbound,9360,0,EarthboundText
0,Emergency,9360,0,EmergencyText
0,Encounter_with_Renegades,9360,0,EncounterWithRenegadesText
0,Encroaching_Foe,9360,0,EncroachingFoeText
0,End_of_the_World,9360,0,EndOfTheWorldText
0,Evil_Approaches,9360,0,EvilApproachesText
0,FE5_Advance,9360,0,FE5AdvanceText
0,FE5_Adversity,9360,0,FE5AdversityText
0,FE5_Destiny,9360,0,FE5DestinyText
0,FE5_Field,9360,0,FE5FieldText
0,FE5_In_Search_of_Victory,9360,0,FE5InSearchOfVictoryText
0,FE5_Loptr_B,9360,0,FE5LoptrBText
0,FE5_Map_A,9360,0,FE5MapAText
0,FE5_Searching_the_Enemy,9360,0,FE5SearchingTheEnemyText
0,FE5_Victory,9360,0,FE5VictoryText
0,FE5_Victory_Minor,9360,0,FE5VictoryMinorText
0,Fighting_of_the_Spirit,9360,0,FightingOfTheSpiritText
0,Fodlan_Winds,9360,0,FodlanWindsText
