INLINE SoundTable,Track Table Pointer,Priority
0x0000 Nothing,0x82263b0,0x0
0x0001 The Valiant,0x8546288,0x0
0x0002 Main Theme,0x8547a74,0x0
0x0003 Prologue,0x8548040,0x0
0x0004 The Beginning,0x85488fc,0x10001
0x0005 Treasured Memories,0x85495e8,0x10001
0x0006 Grim Journey,0x854a4c0,0x10001
0x0007 Ties of Friendship,0x854b1d8,0x10001
0x0008 Ray of Hope,0x854be90,0x10001
0x0009 Distant Roads,0x854d734,0x10001
0x000A Rise Above,0x854f3bc,0x10001
0x000B Follow Me!,0x85505a8,0x10001
0x000C Determination,0x85516b8,0x10001
0x000D Truth Despair and Hope,0x8552a5c,0x10001
0x000E Land of Promise,0x85532a0,0x10001
0x000F Binding Vow,0x8553c74,0x10001
0x0010 Grasping at Victory,0x85543a0,0x10001
0x0011 Shadows Approach,0x8555ed8,0x10001
0x0012 Confront the Past,0x8556e04,0x10001
0x0013 Shadow of the Enemy,0x8557790,0x10001
0x0014 Assault,0x8558814,0x10001
0x0015 From the Darkness,0x8559c68,0x10001
0x0016 Twisted Shadows A,0x855a674,0x10001
0x0017 Twisted Shadows B,0x855bbd8,0x10001
0x0018 Envoy from the Dark,0x855cc9c,0x10001
0x0019 Attack,0x855d8ac,0x0
0x001A Defense,0x855e08c,0x0
0x001B The Battle Must Be Won,0x855e824,0x0
0x001C Powerful Foe,0x855ef24,0x0
0x001D The Prince's Despair,0x855f9a0,0x0
0x001E Return of the Demon King,0x8560508,0x10001
0x001F Sacred Strength,0x8560940,0x0
0x0020 Tethys,0x8560f30,0x0
0x0021 Healing,0x8561590,0x0
0x0022 Curing,0x8561e20,0x0
0x0023 To a Higher Place,0x8562688,0x0
0x0024 Advance,0x8562e70,0x10001
0x0025 Tension,0x85637bc,0x10001
0x0026 Raid!,0x8564aac,0x10001
0x0027 Reunion,0x8565210,0x0
0x0028 Indignation,0x85659c0,0x0
0x0029 Sorrow,0x85664a4,0x0
0x002A Laughter,0x8566bd4,0x0
0x002B Legacy,0x8567c44,0x0
0x002C Lyon,0x8568b28,0x0
0x002D Lost Heart,0x85696a4,0x10001
0x002E Solve the Riddle,0x856a310,0x10001
0x002F Lights in the Dark,0x856ae34,0x0
0x0030 Comrades,0x856b4ac,0x0
0x0031 Victory,0x856bd94,0x10001
0x0032 Into the Shadow of Victory,0x856c61c,0x10001
0x0033 Main Theme (Reprise),0x856d0ac,0x0
0x0034 Combat Preparation,0x856d700,0x0
0x0035 Shops,0x856dbb0,0x0
0x0036 Armories,0x856df20,0x0
0x0037 Bonds,0x856e208,0x10001
0x0038 Colosseum Entrance,0x856e99c,0x0
0x0039 In the Colosseum,0x856f20c,0x0
0x003A Colosseum Victory,0x856f32c,0x0
0x003B Colosseum Defeat,0x856f8fc,0x0
0x003C Victory Song A,0x856fa58,0x0
0x003D Victory Song B,0x856fc10,0x0
0x003E Game Over,0x85707a8,0x0
0x003F In Sorrow's Shroud,0x8570f14,0x0
0x0040 Records,0x8571514,0x0
0x0041 Victory and the Future,0x8572248,0x0
0x0042 Fly with the Breeze,0x8572fe4,0x0
0x0043 Fire Emblem Theme (no intro),0x85741cc,0x0
0x0044 Lyon (Organ Arrangement),0x8574664,0x0
0x0045 The Final Battle,0x8575120,0x10001
0x0046 Epilogue,0x857689c,0x0
0x0047 Windy day,0x8576f1c,0x0
0x0048 Windy day with birds,0x8577614,0x0
0x0049 Lava boiling,0x8577db4,0x0
0x004A Nighttime,0x8578304,0x0
0x004B Water flowing,0x8578b64,0x0
0x004C Birds chirping,0x857916c,0x0
0x004D Soft swooshy sound,0x8579f10,0x0
0x004E Wind gusts,0x857a44c,0x0
0x004F Wind gust stopping,0x857a534,0x0
0x0050 Blizzard,0x857a6c0,0x0
0x0051 Legendary weapon theme of FE,0x857ae9c,0x0
0x0052 Outside with birds softly chirping,0x857b5a0,0x0
0x0053 River,0x857b6a8,0x0
0x0054 Comrades (again?),0x856b4ac,0x10001
