"0x8b39f0","Pointer"
"00 Prologue","0x8a39768"
"01 Ch 1","0x8a39d0c"
"02 Ch 2","0x8a39d44"
"03 Ch 3","0x8a39f20"
"04 Ch 4/Zaha Woods","0x8a3a0bc"
"05 Ch 5x","0x8a3c890"
"06 Ch 5","0x8a3a1ec"
"07 Ch 6/Adlas Plains","0x8a3a4d8"
"08 Ch 7","0x8a3a5c4"
"09 Ch 8","0x8a3a6b0"
"0A Ch 9 Eirika","0x8a3a730"
"0B Ch 10 Eirika/Teras Plateau","0x8a3a990"
"0C Ch 12 Eirika","0x8a3ab50"
"0D Ch 13 Eirika","0x8a3ab6c"
"0E Ch 14 Eirika","0x8a3acb0"
"0F Ch 15 Eirika","0x8a3b528"
"10 Ch 16 Eirika","0x8a3b594"
"11 Ch 17 Eirika/Narube River","0x8a3b738"
"12 Ch 18 Eirika/Neleras Peak","0x8a3b8e8"
"13 Ch 19 Eirika","0x8a3ba64"
"14 Ch 20 Eirika","0x8a3bb74"
"15 Final Ch 1 Eirika","0x8a3bd58"
"16 Final Ch 2 Erika","0x8a3c898"
"17 Ch 9 Ephraim","0x8a3ae58"
"18 Ch 10 Ephraim/Bethroen","0x8a3b08c"
"19 Ch 12 Ephraim","0x8a3b1d8"
"1A Ch 13 Ephraim/Za'abadul Marsh","0x8a3b1f4"
"1B Ch 14 Ephraim","0x8a3b2dc"
"1C Ch 15 Ephraim","0x8a3bd74"
"1D Ch 16 Ephraim","0x8a3bf28"
"1E Ch 17 Ephraim/Narube River","0x8a3c0b4"
"1F Ch 18 Ephraim/Neleras Peak","0x8a3c260"
"20 Ch 19 Ephraim","0x8a3c3dc"
"21 Ch 20 Ephraim","0x8a3c4ec"
"22 Final Ch 1 Ephraim","0x8a3c6d0"
"23 Final Ch 2 Ephraim","0x8a3c8a0"
"24 Tower of Valni 1","0x8a3b464"
"25 Tower of Valni 2","0x8a3b478"
"26 Tower of Valni 3","0x8a3b480"
"27 Tower of Valni 4","0x8a3b488"
"28 Tower of Valni 5","0x8a3b490"
"29 Tower of Valni 6","0x8a3b498"
"2A Tower of Valni 7","0x8a3b4a0"
"2B Tower of Valni 8","0x8a3b4a8"
"2C Tower of Valni 8 (Cutscene)","0x8a3b4c0"
"2D Tower of Valni 8 (Cutscene 2)","0x8a3b4d0"
"2E Lagdou Ruins 1","0x8a3b4d8"
"2F Lagdou Ruins 2","0x8a3b4e0"
"30 Lagdou Ruins 3","0x8a3b4e8"
"31 Lagdou Ruins 4","0x8a3b4f0"
"32 Lagdou Ruins 5","0x8a3b4f8"
"33 Lagdou Ruins 6","0x8a3b500"
"34 Lagdou Ruins 7","0x8a3b508"
"35 Lagdou Ruins 8","0x8a3b510"
"36 Lagdou Ruins 9","0x8a3c860"
"37 Lagdou Ruins 10","0x8a3b45c"
"38 Lords split up (glitchy map)","0x8a3c8a8"
"39 Melkaen Coast","0x8a3c9d0"
"3A Link Arena","0x0"
