INLINE BiorhythmTable,Starting Position,Amplitude
None,0,4
Eirika,3,4
Seth,3,4
Gilliam,3,4
Franz,3,4
Moulder,3,4
Vanessa,3,4
Ross,3,4
Neimi,3,4
Colm,3,4
Garcia,3,4
Innes,3,4
Lute,3,4
Natasha,3,4
Cormag,3,4
Ephraim,3,4
Forde,3,4
Kyle,3,4
Amelia,3,4
Artur,3,4
Gerik,3,4
Tethys,3,4
Marisa,3,4
Saleh,3,4
Ewan,3,4
L'Arachel,3,4
Dozla,3,4
-0,3,4
Rennac,3,4
Duessel,3,4
Myrrh,3,4
Knoll,3,4
Joshua,3,4
Syrene,3,4
Tana,3,4
Lyon,3,4
Orson,3,4
Glen,3,4
Selena,3,4
Valter,3,4
Riev,3,4
Caellach,3,4
Fado,3,4
Ismaire,3,4
Hayden,3,4
FakeEirika,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
-0,3,4
Lyon's Summon,3,4
-0,3,4
-0,3,4
Knoll's Summon,3,4
Ewan's Summon,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
,3,4
