0x8b0890,Chapter Number Pointer,Object Type,Palette,Tile Configuration,Map,Tile Animation 1,Tile Animation 2,Triggerable Map Changes,Fog of War sight level (0 = No fog),Battle Preparations,Save Menu Chapter Name,Always Zero,Unknown,Unknown,Weather Condition,Battle tileset,Hard Mode Bonus levels (top nibble only),Byte 22,Player Phase music,Enemy Phase music,NPC Phase music,##UNKNOWN##,Player Phase music 2,Enemy Phase music 2,NPC Phase music 2,##UNKNOWN##,Destructible Walls HP,##UNKNOWN##,Byte 62,Byte 63,Byte 64,Byte 65,Byte 66,Byte 67,##UNKNOWN##,Event Data Reference,Worldmap Chapter Prologue Scene,##UNKNOWN##,"Prep Screen Chapter Number (multiply by 2, e.g. Ch 2x = 2.5*2 = 5)",##UNKNOWN##,No. of enemies left for Grasping at Victory,Chapter Title Display Fade-out,Status - Objective Text,Goal Window Text,Goal Window Information,Turns to count down to +1,Protect Character Marker,Tile Marker - X-Coordinate,Tile Marker - Y-Coordinate,##UNKNOWN##
00 Prologue,0x81c32c8,0x1,0x2,0x3,0x4,0x5,0x0,0x6,0,0,0x0,0x0,0x1,0x0,0,0x0,0x10,0x0,0x9,0x13,0x13,0x1300130009,0x9,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16001600000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x7,0x1,0x0,0,0xffff00,1,0x1,0x1a2,0x19d,0x3,0,0x0,255,0,0x1d
01 Ch 1,0x81c32cc,0x1,0x2,0x3,0x8,0x5,0x0,0x9,0,0,0x1,0x0,0x1,0x0,0,0x0,0x10,0x0,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16101610000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xa,0x2,0x0,2,0xffff00,1,0x0,0x1a3,0x19f,0x0,0,0x0,255,0,0x18
02 Ch 2,0x81c32d0,0x1,0x2,0x3,0xb,0x5,0x0,0xc,0,0,0x2,0x0,0x1,0x0,0,0x0,0x24,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16201620000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xd,0x3,0x0,4,0xffff00,1,0x1,0x1a4,0x19e,0x1,0,0x0,255,0,0x3
03 Ch 3,0x81c32d4,0xe,0xf,0x10,0x11,0x12,0x0,0x13,0,0,0x3,0x0,0x8,0xa,0,0x5,0x24,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,25,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16301630000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x14,0x4,0x0,6,0xffff00,1,0x1,0x1a5,0x1a1,0x0,0,0x0,255,0,0x28
04 Ch 4/Zaha Woods,0x81c32d8,0x1,0x2,0x3,0x15,0x5,0x0,0x16,0,0,0x4,0x0,0x1,0x0,0,0x0,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16401640000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x17,0x5,0x0,8,0xffff00,1,0x0,0x1a6,0x19e,0x1,0,0x0,255,0,0x18
05 Ch 5x,0x81c32dc,0x18,0x19,0x1a,0x1b,0x1c,0x0,0x1d,0,0,0x5,0x0,0x1,0x0,0,0x0,0x32,0x0,0xb,0x13,0xf,0xf0013000b,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16501650000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x1e,0x6,0x0,10,0xffff00,1,0x1,0x1a8,0x1a1,0x0,0,0x0,255,0,0xc
06 Ch 5,0x81c32e0,0xe,0xf,0x10,0x1f,0x12,0x0,0x20,0,0,0x6,0x0,0x8,0xa,0,0x6,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16601660000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x21,0x7,0x0,10,0xffff00,1,0x1,0x1a7,0x19d,0x3,0,0x0,255,0,0x5
07 Ch 6/Adlas Plains,0x81c32e4,0x1,0x2,0x3,0x22,0x0,0x0,0x23,3,0,0x7,0x0,0x8,0x8,0,0x0,0x34,0x2,0x11,0x18,0x11,0x1100180011,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16701670000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x24,0x8,0x0,12,0xffff00,1,0x1,0x1a9,0x19d,0x3,0,0x0,255,0,0x1a
08 Ch 7,0x81c32e8,0x1,0x2,0x3,0x25,0x5,0x0,0x26,0,0,0x8,0x0,0x8,0x10,0,0x0,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16801680000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x27,0x9,0x0,14,0xffff00,1,0x1,0x1aa,0x19f,0x0,0,0x0,255,0,0x18
09 Ch 8,0x81c32ec,0x18,0x19,0x1a,0x28,0x1c,0x0,0x29,0,0,0x9,0x0,0x11,0x11,0,0x0,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x16901690000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0x2a,0xa,0x0,16,0xffff00,1,0x0,0x1ab,0x1a1,0x0,0,0x0,255,0,0xc
