INLINE SkillDescTable,Text ID
0x0,0x0
0x1,SD_Acrobat
0x2,SD_Pass
0x3,SD_CantoPlus
0x4,SD_WaryFighter
0x5,SD_SureShot
0x6,SD_Provoke
0x7,SD_Savior
0x8,SD_Mercy
0x9,SD_Frenzy
0xa,SD_Adept
0xb,SD_Canto
0xc,SD_Cunning
0xd,SD_Lethality
0xe,SD_Luna
0xf,SD_Sol
0x10,SD_Aether
0x11,SD_Astra
0x12,SD_Discipline
0x13,SD_Swordbreaker
0x14,SD_Lancebreaker
0x15,SD_Axebreaker
0x16,SD_Bowbreaker
0x17,SD_Tomebreaker
0x18,SD_Aegis
0x19,SD_Pavise
0x1a,SD_DuelistsBlow
0x1b,SD_DeathBlow
0x1c,SD_DartingBlow
0x1d,SD_WardingBlow
0x1e,SD_CertainBlow
0x1f,SD_ArmoredBlow
0x20,SD_Vantage
0x21,SD_Desperation
0x22,SD_Wrath
0x23,SD_Counter
0x24,SD_CounterMagic
0x25,SD_Miracle
0x26,SD_Swordfaire
0x27,SD_Lancefaire
0x28,SD_Axefaire
0x29,SD_Bowfaire
0x2a,SD_Tomefaire
0x2b,SD_CritUp
0x2c,SD_Slayer
0x2d,SD_Summon
0x2e,SD_Dance
0x2f,SD_Lifetaker
0x30,SD_Galeforce
0x31,SD_Renewal
0x32,SD_NiceThighs
0x33,SD_Demoiselle
0x34,SD_Gentilhomme
0x35,SD_MaleficAura
0x36,SD_Inspiration
0x37,SD_Charm
0x38,SD_VoiceOfPeace
0x39,SD_Amaterasu
0x3a,SD_SpurStr
0x3b,SD_SpurMag
0x3c,SD_SpurSpd
0x3d,SD_SpurDef
0x3e,SD_SpurRes
0x3f,SD_Nihil
0x40,SD_Nullify
0x41,SD_Paragon
0x42,SD_Impale
0x43,SD_Colossus
0x44,SD_RallyStr
0x45,SD_RallyMag
0x46,SD_RallySkl
0x47,SD_RallySpd
0x48,SD_RallyLuk
0x49,SD_RallyDef
0x4a,SD_RallyRes
0x4b,SD_RallyMov
0x4c,SD_RallySpectrum
0x4d,SD_BowRangeUp
0x4e,SD_StaffSavant
0x4f,SD_LiveToServe
0x50,SD_Ignis
0x51,SD_LifeAndDeath
0x52,SD_LockTouch
0x53,SD_Lunge
0x54,SD_Intimidate
0x55,SD_Opportunist
0x56,SD_Trample
0x57,SD_Camaraderie
0x58,SD_ForeignPrincess
0x59,SD_SavageBlow
0x5a,SD_Relief
0x5b,SD_Tantivy
0x5c,SD_Focus
0x5d,SD_Bond
0x5e,SD_Anathema
0x5f,SD_LilysPoise
0x60,SD_Expertise
0x61,SD_Celerity
0x62,SD_FieryBlood
0x63,SD_ElbowRoom
0x64,SD_NaturalCover
0x65,SD_SealStr
0x66,SD_SealSkl
0x67,SD_SealSpd
0x68,SD_SealLuk
0x69,SD_SealDef
0x6a,SD_SealRes
0x6b,SD_DragonsBlood
0x6c,SD_Gamble
0x6d,SD_Personality
0x6e,SD_QuickDraw
0x6f,SD_WindDisciple
0x70,SD_StrongRiposte
0x71,SD_Patience
0x72,SD_Pursuit
0x73,SD_LightWeight
0x74,SD_KillingMachine
0x75,SD_CriticalForce
0x76,SD_Chivalry
0x77,SD_Pragmatic
0x78,SD_Armsthrift
0x79,SD_Moonbow
0x7a,SD_Shove
0x7b,SD_Smite
0x7c,SD_Bane
0x7d,SD_DownWithArch
0x7e,SD_UpWithArch
0x7f,SD_RightfulArch
0x80,SD_RightfulKing
0x81,SD_RightfulGod
0x82,SD_LuckySeven
0x83,SD_OddRhythm
0x84,SD_EvenRhythm
0x85,SD_QuickBurn
0x86,SD_SlowBurn
0x87,SD_Despoil
0x88,SD_Pivot
0x89,SD_Reposition
0x8a,SD_Swap
0x8b,SD_BreathOfLife
0x8c,SD_Fury
0x8d,SD_Dazzle
0x8e,SD_TriAdept
0x8f,SD_Supply
0x90,SD_Roll12
