INLINE HolyBloodLocks,Holy Blood ID
Nothing,255
Iron Sword,255
Slim Sword,255
Steel Sword,255
Silver Sword,255
Iron Blade,255
Steel Blade,255
Silver Blade,255
Poison Sword,255
Rapier,0
Siegfried (Mani Katti),255
Brave Sword,255
Shamshir,255
Killing Edge,255
Armorslayer,255
Wyrmslayer,255
Light Brand,255
Runesword,255
Lancereaver,255
Zanbato,255
Iron Lance,255
Slim Lance,255
Steel Lance,255
Silver Lance,255
Toxin Lance,255
Brave Lance,255
Killer Lance,255
Horseslayer,255
Javelin,255
Spear,255
Axereaver,255
Iron Axe,255
Steel Axe,255
Silver Axe,255
Poison Axe,255
Brave Axe,255
Killer Axe,255
Halberd,255
Hammer,255
Devil Axe,255
Hand Axe,255
Tomahawk,255
Swordreaver,255
Swordslayer,255
Hatchet,255
Iron Bow,255
Steel Bow,255
Silver Bow,255
Poison Bow,255
Killer Bow,255
Brave Bow,255
Short Bow,255
Longbow,255
Ballista,255
Iron Ballista,255
Killer Ballista,255
Fire,255
Thunder,255
Elfire,255
Bolting,255
Fimbulvetr,255
Binding Blade(Forblaze),255
Excalibur,255
Lightning,255
Shine,255
Divine,255
Purge,255
Aura,255
Luce (DUMMY),255
Flux,255
Luna,255
Nosferatu,255
Eclipse,255
Fenrir,255
Gleipnir,255
Heal,255
Mend,255
Recover,255
Physic,255
Fortify,255
Restore,255
Silence,255
Sleep,255
Berserk,255
Warp,255
Rescue,255
Torch,255
Hammerne,255
Unlock,255
Barrier,255
Dragon Axe,255
Angelic Robe,255
Energy Ring,255
Secret Book,255
Speedwings,255
Goddess Icon,255
Dragonshield,255
Talisman,255
Swiftsoles,255
Body Ring,255
Hero Crest,255
Knight Crest,255
Orion's Bolt,255
Elysian Whip,255
Guiding Ring,255
Chest Key,255
Door Key,255
Lockpick,255
Vulnerary,255
Elixir,255
Pure Water,255
Antitoxin,255
Torch,255
Filli Shield,255
Member Card,255
Silver Card,255
White Gem,255
Blue Gem,255
Red Gem,255
Gold,255
Reginleif,255
Chest Key (5),255
Mine (DUMMY),255
Light Rune (DUMMY),255
Hoplon Guard,255
Filla's Might (DUMMY),255
Ninis's Grace (DUMMY),255
Thor's Ire (DUMMY),255
Set's Litany (DUMMY),255
Shadowkiller,255
Bright Lance,255
Fiendcleaver,255
Beacon Bow,255
Sieglinde,255
Battle Axe,255
Ivaldi,255
Master Seal,255
Metis's Tome,255
Heaven Seal (DUMMY),255
Sharp Claw,255
Latona,255
Dragonspear,255
Vidofnir,255
Naglfar,255
Wretched Air,255
Audhulma,255
Siegmund,255
Garm,255
Nidhogg,255
Heavy Lance,255
Short Spear,255
Ocean Seal,255
Lunar Brace,255
Solar Brace,255
1G,255
5G,255
10G,255
50G,255
100G,255
3000G,255
5000G,255
Wind Sword,255
Vulnerary,255
Vulnerary (green note),255
Vulnerary (red note),255
Dance,255
Nightmare,255
Demon Stone (DUMMY),255
Demon Light,255
Ravager,255
Dragonstone,255
Demon Surge,255
Shadowshot,255
Rotten Claw,255
Fetid Claw,255
Poison Claw,255
Lethal Talon,255
Fiery Fang,255
Hellfang,255
Evil Eye,255
Crimson Eye,255
Stone,255
Aircalibur,255
Juna Fruit,255
150G,255
200G,255
Black Gem,255
Gold Gem,255
0xc2,255
0xc3,255
0xc4,255
0xc5,255
0xc6,255
0xc7,255
0xc2,255
0xc3,255
0xc4,255
0xc5,255
0xc6,255
0xc7,255
0xc8,255
0xc9,255
0xca,255
0xcb,255
0xcc,255
0xcd,255
