"INLINE HolyBloodCharacterTable","Holy Blood ID (Set bit 0x80 for major, don't if minor)"
"None",255
"Eirika",0
"Seth","0x80"
"Gilliam","0x80"
"Franz","0x80"
"Moulder",0
"Vanessa","255"
"Ross","255"
"Neimi","255"
"Colm","255"
"Garcia","255"
"Innes","255"
"Lute","255"
"Natasha","255"
"Cormag","255"
"Ephraim","255"
"Forde","255"
"Kyle","255"
"Amelia","255"
"Artur","255"
"Gerik","255"
"Tethys","255"
"Marisa","255"
"Saleh","255"
"Ewan","255"
"L'Arachel","255"
"Dozla","255"
"-","255"
"Rennac","255"
"Duessel","255"
"Myrrh","255"
"Knoll","255"
"Joshua","255"
"Syrene","255"
"Tana","255"
"Lyon","255"
"Orson","255"
"Glen","255"
"Selena","255"
"Valter","255"
"Riev","255"
"Caellach","255"
"Fado","255"
"Ismaire","255"
"Hayden","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"Lyon's Summon","255"
"-","255"
"-","255"
"Knoll's Summon","255"
"Ewan's Summon","255"
"Lyon (Ch 17)","255"
"Morva (Ch 20)","255"
"Orson (Ch 5x)","255"
"Valter (Ch 15)","255"
"Selena (Ch 10B & 13B)","255"
"Valter (Prologue)","255"
"Breguet (Ch 1)","255"
"Bone (Ch 2)","255"
"Bazba (Ch 3)","255"
"Entombed (Ch 4)","255"
"Saar (Ch 5)","255"
"Novala (Ch 6)","255"
"Murray (Ch 7)","255"
"Tirado (Ch 8)","255"
"Binks (Ch 9A)","255"
"Pablo (Ch 10A)","255"
"Maelduin (Ch 12A)","255"
"Aias (Ch 13A)","255"
"Carlyle (Ch 14A)","255"
"Caellach (Ch 15)","255"
"Pablo (Ch 13A)","255"
"-","255"
"Gorgon (Ch 18)","255"
"Riev (Ch 19 & 20)","255"
"-","255"
"-","255"
"Gheb (Ch 9B)","255"
"Beran (Ch 10B)","255"
"Cyclops (Ch 12B)","255"
"Wight (Ch 11A)","255"
"Deathgoyle (Ch 11B)","255"
"Entombed (Monster Boss)","255"
"-","255"
"-","255"
"-","255"
"-","255"
"Hunter (Ch 16)","255"
"-","255"
"Brigand","255"
"-","255"
"O'Neill (Prologue)","255"
"Glen (Cutscene)","255"
"Zonta (Ch 5x)","255"
"Vigarde (Ch 14B)","255"
"Lyon (Ch Final)","255"
"Orson (Ch 16)","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"Grado Soldier (Special)","255"
"Grado Soldier 1 (Normal)","255"
"Grado Soldier 2","255"
"Grado Soldier 3","255"
"Grado Soldier 4","255"
"Grado Soldier 5","255"
"Grado Soldier 6","255"
"Grado Soldier 7","255"
"Grado Soldier 8","255"
"Grado Soldier 9","255"
"Grado Soldier 10 (Duessel's)","255"
"Grado Soldier 11 (Duessel's)","255"
"Grado Soldier 12 (Duessel's)","255"
"Grado Soldier 13","255"
"Grado Remnant 1 (Main)","255"
"Cutthroat","255"
"Grado Remnant 2 (Cutscene and C16 only?)","255"
"Grado Remnant 3 (C16 only?)","255"
"Grado Remnant 4 (C16 only?)","255"
"Wraith (Sage)","255"
"Wraith (Swords)","255"
"Wraith (Axes)","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"Mercenary (C9A)","255"
"Mercenary (C10A)","255"
"Merc Remnant (C13A)","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Monster","255"
"Demon King","255"
"-","255"
"Frelian","255"
"Frelian","255"
"-","255"
"-","255"
"-","255"
"Fado (Renais)","255"
"-","255"
"Hayden (Frelia)","255"
"Mansel (Rausten)","255"
"Klimt (Carcino)","255"
"Dara (Caer Pelyn)","255"
"Ismaire (Jehanna)","255"
"Pegasus Messenger","255"
"Rausten Knight","255"
"Rausten Knight","255"
"(Untested Beyond this point)","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
"-","255"
