INLINE HolyBloodTable,Name ID,Desc ID,HP Growth Modifier,Strength Growth Modifier,Skill Growth Modifier,Speed Growth Modifier,Defense Growth Modifier,Resistance Growth Modifier,Luck Growth Modifier,Magic Growth Modifier,Blood IDI,Can Dragon Vein,##UNKNOWN##,Exclusive Weapons List Pointer
Donate Blood,AHolyBloodName,AHolyBloodDesc,5,10,15,20,25,30,35,40,0,1,0xffff,0
0x1,0xffff,0xffff,255,255,255,255,255,255,255,255,1,255,0xffff,0xffffffff
0x2,0xffff,0xffff,255,255,255,255,255,255,255,255,2,255,0xffff,0xffffffff
0x3,0xffff,0xffff,255,255,255,255,255,255,255,255,3,255,0xffff,0xffffffff
0x4,0xffff,0xffff,255,255,255,255,255,255,255,255,4,255,0xffff,0xffffffff
0x5,0xffff,0xffff,255,255,255,255,255,255,255,255,5,255,0xffff,0xffffffff
0x6,0xffff,0xffff,255,255,255,255,255,255,255,255,6,255,0xffff,0xffffffff
0x7,0xffff,0xffff,255,255,255,255,255,255,255,255,7,255,0xffff,0xffffffff
0x8,0xffff,0xffff,255,255,255,255,255,255,255,255,8,255,0xffff,0xffffffff
0x9,0xffff,0xffff,255,255,255,255,255,255,255,255,9,255,0xffff,0xffffffff
0xa,0xffff,0xffff,255,255,255,255,255,255,255,255,10,255,0xffff,0xffffffff
0xb,0xffff,0xffff,255,255,255,255,255,255,255,255,11,255,0xffff,0xffffffff
0xc,0xffff,0xffff,255,255,255,255,255,255,255,255,12,255,0xffff,0xffffffff
0xd,0xffff,0xffff,255,255,255,255,255,255,255,255,13,255,0xffff,0xffffffff
0xe,0xffff,0xffff,255,255,255,255,255,255,255,255,14,255,0xffff,0xffffffff
0xf,0xffff,0xffff,255,255,255,255,255,255,255,255,15,255,0xffff,0xffffffff
0x10,0xffff,0xffff,255,255,255,255,255,255,255,255,16,255,0xffff,0xffffffff
0x11,0xffff,0xffff,255,255,255,255,255,255,255,255,17,255,0xffff,0xffffffff
0x12,0xffff,0xffff,255,255,255,255,255,255,255,255,18,255,0xffff,0xffffffff
0x13,0xffff,0xffff,255,255,255,255,255,255,255,255,19,255,0xffff,0xffffffff
0x14,0xffff,0xffff,255,255,255,255,255,255,255,255,20,255,0xffff,0xffffffff
0x15,0xffff,0xffff,255,255,255,255,255,255,255,255,21,255,0xffff,0xffffffff
0x16,0xffff,0xffff,255,255,255,255,255,255,255,255,22,255,0xffff,0xffffffff
0x17,0xffff,0xffff,255,255,255,255,255,255,255,255,23,255,0xffff,0xffffffff
0x18,0xffff,0xffff,255,255,255,255,255,255,255,255,24,255,0xffff,0xffffffff
0x19,0xffff,0xffff,255,255,255,255,255,255,255,255,25,255,0xffff,0xffffffff
0x1a,0xffff,0xffff,255,255,255,255,255,255,255,255,26,255,0xffff,0xffffffff
0x1b,0xffff,0xffff,255,255,255,255,255,255,255,255,27,255,0xffff,0xffffffff
0x1c,0xffff,0xffff,255,255,255,255,255,255,255,255,28,255,0xffff,0xffffffff
0x1d,0xffff,0xffff,255,255,255,255,255,255,255,255,29,255,0xffff,0xffffffff
0x1e,0xffff,0xffff,255,255,255,255,255,255,255,255,30,255,0xffff,0xffffffff
0x1f,0xffff,0xffff,255,255,255,255,255,255,255,255,31,255,0xffff,0xffffffff
0x20,0xffff,0xffff,255,255,255,255,255,255,255,255,32,255,0xffff,0xffffffff
0x21,0xffff,0xffff,255,255,255,255,255,255,255,255,33,255,0xffff,0xffffffff
0x22,0xffff,0xffff,255,255,255,255,255,255,255,255,34,255,0xffff,0xffffffff
0x23,0xffff,0xffff,255,255,255,255,255,255,255,255,35,255,0xffff,0xffffffff
0x24,0xffff,0xffff,255,255,255,255,255,255,255,255,36,255,0xffff,0xffffffff
