INLINE IERevampTable ,Usability Routine Pointer,PrepScreen Usability Pointer,Targeting Routine Pointer,Item Effect Pointer
Default/ No Effect,0x8028c04,0x802a100,0x802905c,0x802ff76
Heal,0x8028a8c,0x802a100,0x8028f94,0x802fe6c
Mend,0x8028a8c,0x802a100,0x8028f94,0x802fe6c
Recover,0x8028a8c,0x802a100,0x8028f94,0x802fe6c
Physic,0x8028a9c,0x802a100,0x8028f9c,0x802fe6c
Fortify,0x8028aac,0x802a100,0x8029014,0x802fe84
Restore,0x8028abc,0x802a100,0x8028fbc,0x802fe8c
Silence Staff,0x8028aec,0x802a100,0x8028fcc,0x802fe74
Sleep Staff,0x8028afc,0x802a100,0x8028fd4,0x802fe74
Berserk Staff,0x8028b0c,0x802a100,0x8028fdc,0x802fe74
Warp Staff,0x8028b1c,0x802a100,0x8029004,0x802fea4
Rescue Staff,0x8028acc,0x802a100,0x8028fac,0x802fe94
Torch Staff,0x8028bc8,0x802a100,0x8029040,0x802ff60
Hammerne,0x8028b2c,0x802a100,0x802900c,0x802feb4
Unlock Staff,0x8028b3c,0x802a100,0x8028ff4,0x802feac
Barrier Staff,0x8028adc,0x802a100,0x8028fec,0x802fe9c
Angelic Robe,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Energy Ring,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Secret Book,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Speedwings,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Goddess Icon,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Dragonshield,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Talisman,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Boots,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Body Ring,0x8028b4c,0x802a0d0,0x802905c,0x802ff40
Hero Crest,0x8028b56,0x802a0da,0x802905c,0x802feec
Knight Crest,0x8028b56,0x802a0da,0x802905c,0x802feec
Orion's Bolt,0x8028b56,0x802a0da,0x802905c,0x802feec
Elysian Whip,0x8028b56,0x802a0da,0x802905c,0x802feec
Guiding Ring,0x8028b56,0x802a0da,0x802905c,0x802feec
Chest Key,0x8028b80,0x802a100,0x802905c,0x802fee6
Door Key,0x8028b88,0x802a100,0x802905c,0x802fee6
Lockpick,0x8028b90,0x802a100,0x802905c,0x802fee6
Vulnerary,0x8028b60,0x802a100,0x802905c,0x802fec4
Elixir,0x8028b60,0x802a100,0x802905c,0x802fece
Pure Water,0x8028b68,0x802a100,0x802905c,0x802fed6
Antidote,0x8028b78,0x802a100,0x802905c,0x802fede
Torch Item,0x8028b70,0x802a100,0x802905c,0x802febc
Master Key,MasterKeyUsability | 0x8000000,0x802a100,0x802905c,0x802fee6
Mine,0x8028ba8,0x802a100,0x802901c,0x802ff50
Light Rune,0x8028bb8,0x802a100,0x802902c,0x802ff58
Filla's Might,0x8028bd8,0x802a100,0x8029048,0x802ff68
Ninis' Grace,0x8028bd8,0x802a100,0x8029048,0x802ff68
Thor's Ire,0x8028bd8,0x802a100,0x8029048,0x802ff68
Set's Litany,0x8028bd8,0x802a100,0x8029048,0x802ff68
Master Seal,0x8028b56,0x802a0da,0x802905c,0x802feec
Metis's Tome,0x8028be8,0x802a0e4,0x802905c,0x802ff40
Heaven Seal,0x8028b56,0x802a0da,0x802905c,0x802feec
Ocean Seal,0x8028b56,0x802a0da,0x802905c,0x802feec
Lunar Brace,0x8028b56,0x802a0da,0x802905c,0x802feec
Solar Brace,0x8028b56,0x802a0da,0x802905c,0x802feec
Vulnerary (Might Vulnerary will replace this),0x8028b60,0x802a100,0x802905c,0x802fec4
Other Vulnerary (Custom promotion items will replace this),0x8028b56,0x802a0da,0x802905c,0x802feec
Another Vulnerary (can be replaced with custom item effect),0x8028b60,0x802a100,0x802905c,0x802fec4
Juna Fruit,0x8028bf8,0x802a0f4,0x802905c,0x802ff70
Latona,0x8028b98,0x802a100,0x8029014,0x802ff48
Multi-Skill Scroll,MultiScrollUsability|IsPointer,MultiScrollPrepUsability|IsPointer,0x802905c,MultiScrollEffect|IsPointer
0x30,0x8028c04,0x802a100,0x802905c,0x802ff76
0x3a,0x8028c04,0x802a100,0x802905c,0x802ff76
0x3b,0x8028c04,0x802a100,0x802905c,0x802ff76
0x3c,0x8028c04,0x802a100,0x802905c,0x802ff76
0x3d,0x8028c04,0x802a100,0x802905c,0x802ff76
0x3e,0x8028b60,0x802a100,0x802905c,0x802ff76
0x3f,0x8028c04,0x802a100,0x802905c,0x802ff76
0x40,0x8028c04,0x802a100,0x802905c,0x802ff76
0x41,0x8028c04,0x802a100,0x802905c,0x802ff76
0x42,0x8028c04,0x802a100,0x802905c,0x802ff76
0x43,0x8028c04,0x802a100,0x802905c,0x802ff76
0x44,0x8028c04,0x802a100,0x802905c,0x802ff76
0x45,0x8028c04,0x802a100,0x802905c,0x802ff76
0x46,0x8028c04,0x802a100,0x802905c,0x802ff76
0x47,0x8028c04,0x802a100,0x802905c,0x802ff76
0x48,0x8028c04,0x802a100,0x802905c,0x802ff76
0x49,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4a,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4b,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4c,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4d,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4e,0x8028c04,0x802a100,0x802905c,0x802ff76
0x4f,0x8028c04,0x802a100,0x802905c,0x802ff76
0x50,0x8028c04,0x802a100,0x802905c,0x802ff76
