0x809b10,Item Name,Item Description,Use Item Description,Item Number,Weapon Type,Weapon Ability 1,Weapon Ability 2,Weapon Ability 3,Weapon Ability 4,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Power,Hit%,Weight,Critical%,Minimum - Maximum Range,Cost Per Use (0 = Unsellable),Weapon Rank,Item Icon #,Staff/Use Effect,Weapon Effect,Weapon Experience,DebuffType,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
Nothing,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x0,0,0,0x0,0x0,0,0,0,0,0
Iron Sword,0x354,0x404,0x0,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,46,5,90,5,0,0x11,10,1,0x0,0x0,0,2,0,0,0
Slim Sword,0x355,0x405,0x0,0x2,0x0,0x1,0x0,0x0,0x0,0x0,0x0,30,3,100,2,5,0x11,16,1,0x1,0x0,0,2,0,0,0
Steel Sword,0x356,0x406,0x0,0x3,0x0,0x1,0x0,0x0,0x0,0x0,0x0,30,8,75,10,0,0x11,20,31,0x2,0x0,0,2,0,0,0
Silver Sword,0x357,0x407,0x0,0x4,0x0,0x1,0x0,0x0,0x0,0x0,0x0,20,13,80,8,0,0x11,75,181,0x3,0x0,0,2,0,0,0
Iron Blade,0x358,0x408,0x0,0x5,0x0,0x1,0x0,0x0,0x0,0x0,0x0,35,9,70,12,0,0x11,28,31,0x4,0x0,0,4,0,0,0
Steel Blade,0x359,0x409,0x0,0x6,0x0,0x1,0x0,0x0,0x0,0x0,0x0,25,11,65,14,0,0x11,50,71,0x5,0x0,0,4,0,0,0
Silver Blade,0x35a,0x40a,0x0,0x7,0x0,0x1,0x0,0x0,0x0,0x0,0x0,15,14,60,13,0,0x11,120,181,0x6,0x0,0,4,0,0,0
Poison Sword,0x35b,0x40b,0x0,0x8,0x0,0x1,0x0,0x0,0x0,0x0,0x0,40,3,70,6,0,0x11,0,31,0x7,0x0,1,2,0,0,0
Rapier,0x35c,0x40c,0x0,0x9,0x0,0x11,0x0,0x4,0x0,0x0,0x88adec2,40,7,95,5,10,0x11,150,0,0x8,0x0,0,4,0,0,0
Siegfried (Mani Katti),0x403,0x403,0x0,0xa,0x0,0x11,0x0,0x4,0x0,0x0,0x0,60,11,80,9,5,0x12,0,0,0x9,0x0,0,2,0,0,0
Brave Sword,0x35d,0x40d,0x0,0xb,0x0,0x21,0x0,0x0,0x0,0x0,0x0,30,9,75,12,0,0x11,250,121,0xa,0x0,0,2,0,0,0
Shamshir,0x35e,0x40e,0x0,0xc,0x0,0x1,0x10,0x0,0x0,0x0,0x0,20,8,75,5,35,0x11,60,31,0xb2,0x0,0,2,0,0,0
Killing Edge,0x35f,0x40f,0x0,0xd,0x0,0x1,0x0,0x0,0x0,0x0,0x0,20,9,75,7,30,0x11,65,71,0xc,0x0,0,2,0,0,0
Armorslayer,0x360,0x410,0x0,0xe,0x0,0x1,0x0,0x0,0x0,0x0,0x88adebb,18,8,80,11,0,0x11,70,31,0xd,0x0,0,2,0,0,0
Wyrmslayer,0x361,0x411,0x0,0xf,0x0,0x1,0x0,0x0,0x0,0x0,0x88adf13,30,8,75,5,0,0x11,150,71,0xe,0x0,0,2,0,0,0
Light Brand,0x362,0x412,0x0,0x10,0x0,0x41,0x0,0x0,0x0,0x0,0x0,25,9,70,9,0,0x12,50,71,0xf,0x0,0,2,0,0,0
Runesword,0x363,0x413,0x0,0x11,0x0,0x41,0x0,0x0,0x0,0x0,0x0,15,12,65,11,0,0x12,220,181,0x10,0x0,2,2,0,0,0
Lancereaver,0x364,0x414,0x0,0x12,0x0,0x1,0x1,0x0,0x0,0x0,0x0,15,9,75,9,5,0x11,120,71,0x11,0x0,0,4,0,0,0
