"0x2fc90","Item Effect Pointer"
"0x4B Heal","0x802fe6c"
"0x4C Mend","0x802fe6c"
"0x4D Recover","0x802fe6c"
"0x4E Physic","0x802fe6c"
"0x4F Fortify","0x802fe84"
"0x50 Restore","0x802fe8c"
"0x51 Silence","0x802fe74"
"0x52 Sleep","0x802fe74"
"0x53 Berserk","0x802fe74"
"0x54 Warp","0x802fea4"
"0x55 Rescue","0x802fe94"
"0x56 Torch","0x802ff60"
"0x57 Hammerne","0x802feb4"
"0x58 Unlock","0x802feac"
"0x59 Barrier","0x802fe9c"
"0x5A Dragon Axe","0x802ff76"
"0x5B Angelic Robe","0x802ff40"
"0x5C Energy Ring","0x802ff40"
"0x5D Secret Book","0x802ff40"
"0x5E Speedwings","0x802ff40"
"0x5F Goddess Icon","0x802ff40"
"0x60 Dragonshield","0x802ff40"
"0x61 Talisman","0x802ff40"
"0x62 Swiftsoles","0x802ff40"
"0x63 Body Ring","0x802ff40"
"0x64 Hero Crest","0x802feec"
"0x65 Knight Crest","0x802feec"
"0x66 Orion's Bolt","0x802feec"
"0x67 Elysian Whip","0x802feec"
"0x68 Guiding Ring","0x802feec"
"0x69 Chest Key","0x802fee6"
"0x6A Door Key","0x802fee6"
"0x6B Lockpick","0x802fee6"
"0x6C Vulnerary","0x802fec4"
"0x6D Elixir","0x802fece"
"0x6E Pure Water","0x802fed6"
"0x6F Antidote","0x802fede"
"0x70 Torch","0x802febc"
"0x71 Filli Shield","0x802ff76"
"0x72 Member Card","0x802ff76"
"0x73 Silver Card","0x802ff76"
"0x74 White Gem","0x802ff76"
"0x75 Blue Gem","0x802ff76"
"0x76 Red Gem","0x802ff76"
"0x77 1G","0x802ff76"
"0x78 Reginleif","0x802ff76"
"0x79 Chest Key (5)","0x802fee6"
"0x7A Mine (DUMMY)","0x802ff50"
"0x7B Light Rune (DUMMY)","0x802ff58"
"0x7C Hoplon Guard","0x802ff76"
"0x7D Filla's Might (DUMMY)","0x802ff68"
"0x7E Ninis's Grace (DUMMY)","0x802ff68"
"0x7F Thor's Ire (DUMMY)","0x802ff68"
"0x80 Set's Litany (DUMMY)","0x802ff68"
"0x81 Shadow Killer","0x802ff76"
"0x82 Bright Lance","0x802ff76"
"0x83 Fiend Cleaver","0x802ff76"
"0x84 Beacon Bow","0x802ff76"
"0x85 Sieglinde","0x802ff76"
"0x86 Battle Axe","0x802ff76"
"0x87 Ivaldi","0x802ff76"
"0x88 Master Seal","0x802feec"
"0x89 Metis's Tome","0x802ff40"
"0x8A Heaven Seal (DUMMY)","0x802feec"
"0x8B Sharp Claw","0x802ff76"
"0x8C Latona","0x802ff48"
"0x8D Dragonspear","0x802ff76"
"0x8E Vidofnir","0x802ff76"
"0x8F Naglfar","0x802ff76"
"0x90 Wretched Air","0x802ff76"
"0x91 Audhulma","0x802ff76"
"0x92 Siegmund","0x802ff76"
"0x93 Garm","0x802ff76"
"0x94 Nidhogg","0x802ff76"
"0x95 Heavy Spear","0x802ff76"
"0x96 Short Spear","0x802ff76"
"0x97 Ocean Seal","0x802feec"
"0x98 Lunar Brace","0x802feec"
"0x99 Solar Brace","0x802feec"
"0x9A 1G","0x802ff76"
"0x9B 5G","0x802ff76"
"0x9C 10G","0x802ff76"
"0x9D 50G","0x802ff76"
"0x9E 100G","0x802ff76"
"0x9F 3000G","0x802ff76"
"0xA0 5000G","0x802ff76"
"0xA1 Wind Sword","0x802ff76"
"0xA2 Vulnerary","0x802fec4"
"0xA3 Vulnerary (green note)","0x802ff76"
"0xA4 Vulnerary (red note)","0x802ff76"
"0xA5 Dance","0x802ff76"
"0xA6 Nightmare","0x802fe7c"
"0xA7 [Demon Shard]","0x802ff76"
"0xA8 Demon Light","0x802ff76"
"0xA9 Ravager","0x802ff76"
"0xAA Dragonstone","0x802ff76"
"0xAB Demon Surge","0x802ff76"
"0xAC Shadowshot","0x802ff76"
"0xAD Rotten Claw","0x802ff76"
"0xAE Fetid Claw","0x802ff76"
"0xAF Poison Claw","0x802ff76"
"0xB0 Lethal Talon","0x802ff76"
"0xB1 Fiery Fang","0x802ff76"
"0xB2 Hellfang","0x802ff76"
"0xB3 Evil Eye","0x802ff76"
"0xB4 Crimson Eye","0x802ff76"
"0xB5 Stone","0x802ff76"
"0xB6 Aircalibur","0x802ff76"
"0xB7 Juna Fruit","0x802ff70"
"0xB8 150G","0x802ff76"
"0xB9 200G","0x802ff76"
"0xBA Black Gem","0x802ff76"
"0xBB Gold Gem","0x802ff76"
"0xBC DUST VIAL","0x802ff76"
"0xBD -","0x802ff76"
"0xBE -","0x802ff76"
"0xBF -","0x802ff76"
"0xC0 -","0x802ff76"
"0xC1 -","0x802feec"
"0xC2 -","0xf7fe1c30"
"0xC3 -","0xe080fe93"
"0xC4 -","0xf7ff1c30"
"0xC5 -","0xe07cf8cb"
"0xC6 -","0xf7ff1c30"
"0xC7 -","0xe078f9ab"
"0xC8 -","0xf7ff1c30"
"0xC9 -","0xe074f965"
"0xCA -","0xf7fe1c30"
"0xCB -","0xe070fec7"
"0xCC -","0xf7ff1c30"
"0xCD -","0xe06cf82f"
"0xCE -","0xf7fe1c30"
"0xCF -","0xe068fef5"
"0xD0 -","0xf7ff1c30"
"0xD1 -","0xe064f881"
"0xD2 -","0xf7ff1c30"
"0xD3 -","0xe060f9e1"
"0xD4 -","0xf7ff1c30"
"0xD5 -","0xe05cf9fd"
"0xD6 -","0xf7ff1c30"
"0xD7 -","0xe058fae5"
"0xD8 -","0x210a1c30"
"0xD9 -","0xfa5af7ff"
"0xDA -","0x1c30e053"
"0xDB -","0xfa88f7ff"
"0xDC -","0x1c30e04f"
"0xDD -","0xfabaf7ff"
"0xDE -","0x1c30e04b"
"0xDF -","0xfaf6f7ff"
"0xE0 -","0xf7ffe047"
"0xE1 -","0xe044fb13"
"0xE2 -","0x7b204c11"
"0xE3 -","0xfa9ef7e9"
"0xE4 -","0x4f114d10"
"0xE5 -","0x497ca1"
"0xE6 -","0x1840301e"
"0xE7 -","0x1c3a8801"
"0xE8 -","0x8011324a"
"0xE9 -","0x1c298800"
"0xEA -","0x8008314a"
"0xEB -","0xf7e97b20"
"0xEC -","0xf7e6fa8d"
"0xED -","0x1c39fe07"
"0xEE -","0x80083148"
"0xEF -","0x80283548"
"0xF0 -","0x20ff3127"
"0xF1 -","0x1c307008"
"0xF2 -","0xfd72f09c"
"0xF3 -","0xe021"
"0xF4 -","0x203a958"
"0xF5 -","0x203a4ec"
"0xF6 -","0x203a56c"
"0xF7 -","0xf7ff1c30"
"0xF8 -","0xe016fce7"
"0xF9 -","0xf7ff1c30"
"0xFA -","0xe012f9df"
"0xFB -","0xf7ff1c30"
"0xFC -","0xe00efd7b"
"0xFD -","0xf7ff1c30"
"0xFE -","0xe00afd99"
"0xFF -","0xf7ff1c30"
