0x29F34,Item Usability Pointer
0x5B Angelic Robe,0x802a0d0
0x5C Energy Ring,0x802a0d0
0x5D Secret Book,0x802a0d0
0x5E Speedwings,0x802a0d0
0x5F Goddess Icon,0x802a0d0
0x60 Dragonshield,0x802a0d0
0x61 Talisman,0x802a0d0
0x62 Swiftsoles,0x802a0d0
0x63 Body Ring,0x802a0d0
0x64 Hero Crest,0x802a0da
0x65 Knight Crest,0x802a0da
0x66 Orion's Bolt,0x802a0da
0x67 Elysian Whip,0x802a0da
0x68 Guiding Ring,0x802a0da
0x69 Chest Key,0x802a100
0x6A Door Key,0x802a100
0x6B Lockpick,0x802a100
0x6C Vulnerary,0x802a100
0x6D Elixir,0x802a100
0x6E Pure Water,0x802a100
0x6F Antidote,0x802a100
0x70 Torch,0x802a100
0x71 Filli Shield,0x802a100
0x72 Member Card,0x802a100
0x73 Silver Card,0x802a100
0x74 White Gem,0x802a100
0x75 Blue Gem,0x802a100
0x76 Red Gem,0x802a100
0x77 1G,0x802a100
0x78 Reginleif,0x802a100
0x79 Chest Key (5),0x802a100
0x7A Mine (DUMMY),0x802a100
0x7B Light Rune (DUMMY),0x802a100
0x7C Hoplon Guard,0x802a100
0x7D Filla's Might (DUMMY),0x802a100
0x7E Ninis's Grace (DUMMY),0x802a100
0x7F Thor's Ire (DUMMY),0x802a100
0x80 Set's Litany (DUMMY),0x802a100
0x81 Shadow Killer,0x802a100
0x82 Bright Lance,0x802a100
0x83 Fiend Cleaver,0x802a100
0x84 Beacon Bow,0x802a100
0x85 Sieglinde,0x802a100
0x86 Battle Axe,0x802a100
0x87 Ivaldi,0x802a100
0x88 Master Seal,0x802a0da
0x89 Metis's Tome,0x802a0e4
0x8A Heaven Seal (DUMMY),0x802a0da
0x8B Sharp Claw,0x802a100
0x8C Latona,0x802a100
0x8D Dragonspear,0x802a100
0x8E Vidofnir,0x802a100
0x8F Naglfar,0x802a100
0x90 Wretched Air,0x802a100
0x91 Audhulma,0x802a100
0x92 Siegmund,0x802a100
0x93 Garm,0x802a100
0x94 Nidhogg,0x802a100
0x95 Heavy Spear,0x802a100
0x96 Short Spear,0x802a100
0x97 Ocean Seal,0x802a0da
0x98 Lunar Brace,0x802a0da
0x99 Solar Brace,0x802a0da
0x9A 1G,0x802a100
0x9B 5G,0x802a100
0x9C 10G,0x802a100
0x9D 50G,0x802a100
0x9E 100G,0x802a100
0x9F 3000G,0x802a100
0xA0 5000G,0x802a100
0xA1 Wind Sword,0x802a100
0xA2 Vulnerary,0x802a100
0xA3 Vulnerary (green note),0x802a100
0xA4 Vulnerary (red note),0x802a100
0xA5 Dance,0x802a100
0xA6 Nightmare,0x802a100
0xA7 [Demon Shard],0x802a100
0xA8 Demon Light,0x802a100
0xA9 Ravager,0x802a100
0xAA Dragonstone,0x802a100
0xAB Demon Surge,0x802a100
0xAC Shadowshot,0x802a100
0xAD Rotten Claw,0x802a100
0xAE Fetid Claw,0x802a100
0xAF Poison Claw,0x802a100
0xB0 Lethal Talon,0x802a100
0xB1 Fiery Fang,0x802a100
0xB2 Hellfang,0x802a100
0xB3 Evil Eye,0x802a100
0xB4 Crimson Eye,0x802a100
0xB5 Stone,0x802a100
0xB6 Aircalibur,0x802a100
0xB7 Juna Fruit,0x802a0f4
0xB8 150G,0x802a100
0xB9 200G,0x802a100
0xBA Black Gem,0x802a100
0xBB Gold Gem,0x802a100
