"0x288b0","Item Usability Pointer"
"0x4B Heal","0x8028a8c"
"0x4C Mend","0x8028a8c"
"0x4D Recover","0x8028a8c"
"0x4E Physic","0x8028a9c"
"0x4F Fortify","0x8028aac"
"0x50 Restore","0x8028abc"
"0x51 Silence","0x8028aec"
"0x52 Sleep","0x8028afc"
"0x53 Berserk","0x8028b0c"
"0x54 Warp","0x8028b1c"
"0x55 Rescue","0x8028acc"
"0x56 Torch","0x8028bc8"
"0x57 Hammerne","0x8028b2c"
"0x58 Unlock","0x8028b3c"
"0x59 Barrier","0x8028adc"
"0x5A Dragon Axe","0x8028c04"
"0x5B Angelic Robe","0x8028b4c"
"0x5C Energy Ring","0x8028b4c"
"0x5D Secret Book","0x8028b4c"
"0x5E Speedwings","0x8028b4c"
"0x5F Goddess Icon","0x8028b4c"
"0x60 Dragonshield","0x8028b4c"
"0x61 Talisman","0x8028b4c"
"0x62 Swiftsoles","0x8028b4c"
"0x63 Body Ring","0x8028b4c"
"0x64 Hero Crest","0x8028b56"
"0x65 Knight Crest","0x8028b56"
"0x66 Orion's Bolt","0x8028b56"
"0x67 Elysian Whip","0x8028b56"
"0x68 Guiding Ring","0x8028b56"
"0x69 Chest Key","0x8028b80"
"0x6A Door Key","0x8028b88"
"0x6B Lockpick","0x8028b90"
"0x6C Vulnerary","0x8028b60"
"0x6D Elixir","0x8028b60"
"0x6E Pure Water","0x8028b68"
"0x6F Antidote","0x8028b78"
"0x70 Torch","0x8028b70"
"0x71 Filli Shield","0x8028c04"
"0x72 Member Card","0x8028c04"
"0x73 Silver Card","0x8028c04"
"0x74 White Gem","0x8028c04"
"0x75 Blue Gem","0x8028c04"
"0x76 Red Gem","0x8028c04"
"0x77 1G","0x8028c04"
"0x78 Reginleif","0x8028c04"
"0x79 Chest Key (5)","0x8028b80"
"0x7A Mine (DUMMY)","0x8028ba8"
"0x7B Light Rune (DUMMY)","0x8028bb8"
"0x7C Hoplon Guard","0x8028c04"
"0x7D Filla's Might (DUMMY)","0x8028bd8"
"0x7E Ninis's Grace (DUMMY)","0x8028bd8"
"0x7F Thor's Ire (DUMMY)","0x8028bd8"
"0x80 Set's Litany (DUMMY)","0x8028bd8"
"0x81 Shadow Killer","0x8028c04"
"0x82 Bright Lance","0x8028c04"
"0x83 Fiend Cleaver","0x8028c04"
"0x84 Beacon Bow","0x8028c04"
"0x85 Sieglinde","0x8028c04"
"0x86 Battle Axe","0x8028c04"
"0x87 Ivaldi","0x8028c04"
"0x88 Master Seal","0x8028b56"
"0x89 Metis's Tome","0x8028be8"
"0x8A Heaven Seal (DUMMY)","0x8028b56"
"0x8B Sharp Claw","0x8028c04"
"0x8C Latona","0x8028b98"
"0x8D Dragonspear","0x8028c04"
"0x8E Vidofnir","0x8028c04"
"0x8F Naglfar","0x8028c04"
"0x90 Wretched Air","0x8028c04"
"0x91 Audhulma","0x8028c04"
"0x92 Siegmund","0x8028c04"
"0x93 Garm","0x8028c04"
"0x94 Nidhogg","0x8028c04"
"0x95 Heavy Spear","0x8028c04"
"0x96 Short Spear","0x8028c04"
"0x97 Ocean Seal","0x8028b56"
"0x98 Lunar Brace","0x8028b56"
"0x99 Solar Brace","0x8028b56"
"0x9A 1G","0x8028c04"
"0x9B 5G","0x8028c04"
"0x9C 10G","0x8028c04"
"0x9D 50G","0x8028c04"
"0x9E 100G","0x8028c04"
"0x9F 3000G","0x8028c04"
"0xA0 5000G","0x8028c04"
"0xA1 Wind Sword","0x8028c04"
"0xA2 Vulnerary","0x8028b60"
"0xA3 Vulnerary (green note)","0x8028c04"
"0xA4 Vulnerary (red note)","0x8028c04"
"0xA5 Dance","0x8028c04"
"0xA6 Nightmare","0x8028c04"
"0xA7 [Demon Shard]","0x8028c04"
"0xA8 Demon Light","0x8028c04"
"0xA9 Ravager","0x8028c04"
"0xAA Dragonstone","0x8028c04"
"0xAB Demon Surge","0x8028c04"
"0xAC Shadowshot","0x8028c04"
"0xAD Rotten Claw","0x8028c04"
"0xAE Fetid Claw","0x8028c04"
"0xAF Poison Claw","0x8028c04"
"0xB0 Lethal Talon","0x8028c04"
"0xB1 Fiery Fang","0x8028c04"
"0xB2 Hellfang","0x8028c04"
"0xB3 Evil Eye","0x8028c04"
"0xB4 Crimson Eye","0x8028c04"
"0xB5 Stone","0x8028c04"
"0xB6 Aircalibur","0x8028c04"
"0xB7 Juna Fruit","0x8028bf8"
"0xB8 150G","0x8028c04"
"0xB9 200G","0x8028c04"
"0xBA Black Gem","0x8028c04"
"0xBB Gold Gem","0x8028c04"
"0xBC DUST VIAL","0x8028c04"
"0xBD -","0x8028c04"
"0xBE -","0x8028c04"
"0xBF -","0x8028c04"
"0xC0 -","0x8028c04"
"0xC1 -","0x8028b56"
"0xC2 -","0x1c204902"
"0xC3 -","0xfaeaf000"
"0xC4 -","0xe0b3"
"0xC5 -","0x8025e7d"
"0xC6 -","0x1c204902"
"0xC7 -","0xfae2f000"
"0xC8 -","0xe0ab"
"0xC9 -","0x8025eb1"
"0xCA -","0x1c204902"
