0x8aeed0,HP Bonus,STR/MGC Bonus,SKL Bonus,SPD Bonus,DEF Bonus,MDF Bonus,LCK Bonus,MOV Bonus,CON Bonus,##UNKNOWN##
0x0,0,0,5,0,0,0,0,0,0,0x0
0x1,7,0,0,0,0,0,0,0,0,0x0
0x2,0,2,0,0,0,0,0,0,0,0x0
0x3,0,0,2,0,0,0,0,0,0,0x0
0x4,0,0,0,2,0,0,0,0,0,0x0
0x5,0,0,0,0,0,0,2,0,0,0x0
0x6,0,0,0,0,2,0,0,0,0,0x0
0x7,0,0,0,0,0,2,0,0,0,0x0
0x8,0,0,0,0,0,0,0,2,0,0x0
0x9,0,0,0,0,0,0,0,0,2,0x0
0xa,0,5,0,0,0,0,0,0,0,0x0
0xb,0,0,0,0,5,0,0,0,0,0x0
0xc,0,0,0,0,5,0,0,0,0,0x0
0xd,0,10,10,0,20,10,0,0,0,0x0
0xe,0,0,0,0,0,5,0,0,0,0x0
0xf,0,5,0,0,0,0,0,0,0,0x0
0x10,0,0,0,5,0,0,0,0,0,0x0
0x11,0,0,0,0,0,0,5,0,0,0x0
0x12,0,0,0,0,5,5,0,0,0,0x0
0x13,0,10,10,0,10,15,10,0,0,0x0
0x14,0,15,15,0,15,10,0,0,0,0x0
0x15,0,12,12,0,15,20,0,0,0,0x0
0x16,1,1,1,0,9,1,2,0,0,0x0
0x17,0,1,3,0,9,1,4,0,0,0x0
0x18,1,1,5,0,9,1,7,0,0,0x0
0x19,0,1,8,0,9,1,10,0,0,0x0
