"INLINE EscapeQuoteTable","Text ID"
"0x0","0x0"
"Eirika","HouseText"
"Seth","HouseText"
"Gilliam","HouseText"
"Franz","HouseText"
"Moulder","HouseText"
"Vanessa","HouseText"
"Ross","HouseText"
"Neimi","HouseText"
"Colm","HouseText"
"Garcia","HouseText"
"Innes","HouseText"
"Lute","HouseText"
"Natasha","HouseText"
"Cormag","HouseText"
"Ephraim","HouseText"
"Forde","HouseText"
"Kyle","HouseText"
"Amelia","HouseText"
"Artur","HouseText"
"Gerik","HouseText"
"Tethys","HouseText"
"Marisa","HouseText"
"Saleh","HouseText"
"Ewan","HouseText"
"L'Arachel","HouseText"
"Dozla","HouseText"
"EMPTY","HouseText"
"Rennac","HouseText"
"Duessel","HouseText"
"Myrrh","HouseText"
"Knoll","HouseText"
"Joshua","HouseText"
"Syrene","HouseText"
"Tana","HouseText"
"Lyon","HouseText"
"Orson","HouseText"
"Glen","HouseText"
"Selena","HouseText"
"Valter","HouseText"
"Riev","HouseText"
"Caellach","HouseText"
"Fado","HouseText"
"Ismaire","HouseText"
"Hayden","HouseText"
"0x2d","HouseText"
"0x2e","HouseText"
"0x2f","HouseText"
"0x30","HouseText"
"0x31","HouseText"
"0x32","HouseText"
"0x33","HouseText"
"0x34","HouseText"
"0x35","HouseText"
"0x36","HouseText"
"0x37","HouseText"
"0x38","HouseText"
"0x39","HouseText"
"0x3a","HouseText"
"0x3b","HouseText"
"0x3c","HouseText"
"0x3d","HouseText"
"0x3e","HouseText"
"0x3f","HouseText"
"0x40","HouseText"
"0x41","HouseText"
"0x42","HouseText"
"0x43","HouseText"
"0x44","HouseText"
"0x45","HouseText"
"0x46","HouseText"
"0x47","HouseText"
"0x48","HouseText"
"0x49","HouseText"
"0x4a","HouseText"
"0x4b","HouseText"
"0x4c","HouseText"
"0x4d","HouseText"
"0x4e","HouseText"
"0x4f","HouseText"
"0x50","HouseText"
"0x51","HouseText"
"0x52","HouseText"
"0x53","HouseText"
"0x54","HouseText"
"0x55","HouseText"
"0x56","HouseText"
"0x57","HouseText"
"0x58","HouseText"
"0x59","HouseText"
"0x5a","HouseText"
"0x5b","HouseText"
"0x5c","HouseText"
"0x5d","HouseText"
"0x5e","HouseText"
"0x5f","HouseText"
"0x60","HouseText"
"0x61","HouseText"
"0x62","HouseText"
"0x63","HouseText"
"0x64","HouseText"
"0x65","HouseText"
"0x66","HouseText"
"0x67","HouseText"
"0x68","HouseText"
"0x69","HouseText"
"0x6a","HouseText"
"0x6b","HouseText"
"0x6c","HouseText"
"0x6d","HouseText"
"0x6e","HouseText"
"0x6f","HouseText"
