INLINE MenuDefinitionTable,X,Y,Width,Height (0 is OK),idk,Menu Commands Ptr,OnInit,OnEnd,Unknown,On B Press,On R Press,On HelpBox
Erase File?,1,6,13,0,0x0,0x859be40,0x0,0x0,0x0,0x801bccd,0x0,0x0
Debug Charge Menu,1,1,10,0,0x0,0x859bf18,0x0,0x0,0x0,0x801bccd,0x0,0x0
Debug Startup Menu,9,4,12,0,0x0,0x859bf84,0x801c0fd,0x801c199,0x0,0x0,0x0,0x0
Debug Save Menu,1,1,10,0,0x0,0x859c038,0x0,0x0,0x0,0x801bccd,0x0,0x0
Debug Menu,1,1,15,0,0x0,0x859c080,0x801c05d,0x0,0x0,0x801bccd,0x0,0x0
Unknown,0,1,16,0,0x0,0x859c1a0,0x0,0x0,0x0,0x8022861,0x804f521,0x80245e1
Steal Item,14,4,14,0,0x0,0x859c278,0x0,0x0,0x0,0x8022861,0x804f521,0x80245e1
Send to Convoy,1,1,14,0,0x0,0x859c350,0x0,0x0,0x0,0x0,0x804f521,0x8024589
Unknown,1,1,14,0,0x0,0x859c44c,0x0,0x0,0x0,0x0,0x804f521,0x8024589
Yes/No,0,0,5,0,0x1,0x859c548,0x0,0x0,0x0,0x80234fd,0x0,0x0
Use/Equip/Discard,0,0,7,0,0x1,0x859c5b4,0x0,0x80234f1,0x0,0x80234fd,0x804f521,0x804f459
Unknown,1,1,14,0,0x0,0x859c668,0x0,0x0,0x0,0x8022861,0x804f521,0x8024bf9
Use Staff,1,1,14,0,0x0,0x859c764,0x0,0x0,0x0,0x8022861,0x804f521,0x8024589
Use Item,1,1,14,0,0x0,0x859c83c,0x0,0x0,0x0,0x8022861,0x804f521,0x8024589
Ballista,1,1,14,0,0x0,0x859c914,0x0,0x0,0x0,0x8022861,0x804f521,0x8024619
Unknown,1,1,14,0,0x0,0x859c95c,0x0,0x0,0x0,0x8022861,0x804f521,0x8024589
Unit Menu,1,3,7,0,0x0,0x859ca34,0x0,0x0,0x0,0x804f455,0x804f521,0x804f459
Map Menu,1,2,7,0,0x0,0x859ce6c,0x0,0x0,0x0,0x804f455,0x804f521,0x804f459
Combat Arts,1,3,7,0,0x0,CombatArtsMenu|IsPointer,0x0,0x0,0x0 ,0x8022861,0x804f521,0x804f459
