
 OaksLabCh 0x0
 PalletTownCh 0x1
 Route1Ch 0x2
 ViridianCityCh 0x3
 Route2SCh 0x4
 ViridianForestSCh 0x5
 ViridianForestNCh 0x6
 Route2NCh 0x7
 PewterCityCh 0x8
 PewterGymCh 0x9
 Route3WCh 0xA
 Route3MCh 0xB
 Route3ECh 0xC
 Route4WCh 0xD
 MtMoonB1SCh 0xE
 MtMoonB1NCh 0xF
 MtMoonB2Ch 0x10
 MtMoonB3NECh 0x11
 MtMoonB3ECh 0x12
 MtMoonB3WCh 0x13
 MtMoonB3MidCh 0x14
 Route4MCh 0x15
 Route4ECh 0x16
 CeruleanCityCh 0x17
 CeruleanGymCh 0x18
 Route24Ch 0x19
 Route25Ch 0x1A
 Route5Ch 0x1B
 Route6Ch 0x1C
 VermillionCityCh 0x1D
 VermillionGymCh 0x1E
 Route11Ch 0x1F
 Route9wCh 0x20
 Route9eCh 0x21
 Route10nCh 0x22
 Route10sCh 0x23
 LavenderCityCh 0x24
 Route12Ch 0x25
 Route13Ch 0x26
 Route14Ch 0x27
 Route15Ch 0x28
 FuschiaCityCh 0x29
 FuschiaGymCh 0x2A
 Route18Ch 0x2B
 Route17sCh 0x2C
 Route17nCh 0x2D
 Route16Ch 0x2E
 CeladonCityCh 0x2F
 CeladonGymCh 0x30
 Route7Ch 0x31
 Route8Ch 0x32
 SaffronCityCh 0x33
 SaffronGymCh 0x34
 Route19Ch 0x35
 Route20Ch 0x36
 CinnabarIslandCh 0x37
 PokecenterCh 0x38
 CinnabarGymCh 0x39
 Route21Ch 0x3A
 ViridianGymCh 0x3B
 Route22Ch 0x3C
 Route23sCh 0x3D
 Route23nCh 0x3E
