INLINE PoisonReworkGasTrapTable,Poison Applied
ChapterName,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
0x0,4
