"0x8b3adc","Pointer"
"00 Prologue","0x8a39d00"
"01 Ch 1","0x8a39d18"
"02 Ch 2","0x8a39db4"
"03 Ch 3","0x8a39f90"
"04 Ch 4/Zaha Woods","0x8a3a118"
"05 Ch 5x","0x8a3c894"
"06 Ch 5","0x8a3a2d8"
"07 Ch 6/Adlas Plains","0x8a3a534"
"08 Ch 7","0x8a3a620"
"09 Ch 8","0x8a3a700"
"0A Ch 9 Eirika","0x8a3a7ec"
"0B Ch 10 Eirika/Teras Plateau","0x8a3a9ec"
"0C Ch 12 Eirika","0x8a3ab68"
"0D Ch 13 Eirika","0x8a3abc8"
"0E Ch 14 Eirika","0x8a3ad40"
"0F Ch 15 Eirika","0x8a3b58c"
"10 Ch 16 Eirika","0x8a3b678"
"11 Ch 17 Eirika/Narube River","0x8a3b808"
"12 Ch 18 Eirika/Neleras Peak","0x8a3b944"
"13 Ch 19 Eirika","0x8a3bac0"
"14 Ch 20 Eirika","0x8a3bc8c"
"15 Final Ch 1 Eirika","0x8a3bd70"
"16 Final Ch 2 Erika","0x8a3c89c"
"17 Ch 9 Ephraim","0x8a3af30"
"18 Ch 10 Ephraim/Bethroen","0x8a3b10c"
"19 Ch 12 Ephraim","0x8a3b1f0"
"1A Ch 13 Ephraim/Za'abadul Marsh","0x8a3b250"
"1B Ch 14 Ephraim","0x8a3b338"
"1C Ch 15 Ephraim","0x8a3be14"
"1D Ch 16 Ephraim","0x8a3bff4"
"1E Ch 17 Ephraim/Narube River","0x8a3c184"
"1F Ch 18 Ephraim/Neleras Peak","0x8a3c2bc"
"20 Ch 19 Ephraim","0x8a3c438"
"21 Ch 20 Ephraim","0x8a3c604"
"22 Final Ch 1 Ephraim","0x8a3c6e8"
"23 Final Ch 2 Ephraim","0x8a3c8a4"
"24 Tower of Valni 1","0x8a3b46c"
"25 Tower of Valni 2","0x8a3b47c"
"26 Tower of Valni 3","0x8a3b484"
"27 Tower of Valni 4","0x8a3b48c"
"28 Tower of Valni 5","0x8a3b494"
"29 Tower of Valni 6","0x8a3b49c"
"2A Tower of Valni 7","0x8a3b4a4"
"2B Tower of Valni 8","0x8a3b4ac"
"2C Tower of Valni 8 (Cutscene)","0x8a3b4c4"
"2D Tower of Valni 8 (Cutscene 2)","0x8a3b4d4"
"2E Lagdou Ruins 1","0x8a3b4dc"
"2F Lagdou Ruins 2","0x8a3b4e4"
"30 Lagdou Ruins 3","0x8a3b4ec"
"31 Lagdou Ruins 4","0x8a3b4f4"
"32 Lagdou Ruins 5","0x8a3b4fc"
"33 Lagdou Ruins 6","0x8a3b504"
"34 Lagdou Ruins 7","0x8a3b50c"
"35 Lagdou Ruins 8","0x8a3b514"
"36 Lagdou Ruins 9","0x8a3c888"
"37 Lagdou Ruins 10","0x8a3b460"
"38 Lords split up (glitchy map)","0x8a3c904"
"39 Melkaen Coast","0x8a3ca2c"
"3A Link Arena","0x1820d"
