INLINE Class_Level_Cap_Table,Level Cap
0x00 Separator/Nothing,100
0x01 Ephraim Lord,100
0x02 Eirika Lord,100
0x03 Ephraim Great Lord,100
0x04 Eirika Great Lord,100
0x05 Cavalier,100
0x06 Cavalier (F),100
0x07 Paladin,100
0x08 Paladin (F),100
0x09 Armour Knight,100
0x0A Armour Knight (F),100
0x0B General,100
0x0C General (F),100
0x0D Thief,100
0x0E Manakete,100
0x0F Mercenary,100
0x10 Mercenary (F),100
0x11 Hero,100
0x12 Hero (F),100
0x13 Myrmidon,100
0x14 Myrmidon (F),100
0x15 Swordmaster,100
0x16 Swordmaster (F),100
0x17 Assassin,100
0x18 Assassin (F),100
0x19 Archer,100
0x1A Archer (F),100
0x1B Sniper,100
0x1C Sniper (F),100
0x1D Ranger,100
0x1E Ranger (F),100
0x1F Wyvern Rider,100
0x20 Wyvern Rider (F),100
0x21 Wyvern Lord,100
0x22 Wyvern Lord (F),100
0x23 Wyvern Knight,100
0x24 Wyvern Knight (F),100
0x25 Mage,100
0x26 Mage (F),100
0x27 Sage,100
0x28 Sage (F),100
0x29 Mage Knight,100
0x2A Mage Knight (F),100
0x2B Bishop,100
0x2C Bishop (F),100
0x2D Shaman,100
0x2E Shaman (F),100
0x2F Druid,100
0x30 Druid (F),100
0x31 Summoner,100
0x32 Summoner (F),100
0x33 Rogue,100
0x34 Gorgon Egg,100
0x35 Great Knight,100
0x36 Great Knight (F),100
0x37 Recruit (2),100
0x38 Journeyman (3),100
0x39 Pupil (3),100
0x3A Recruit (3),100
0x3B Manakete,100
0x3C Manakete (F),100
0x3D Journeyman (1),100
0x3E Pupil (1),100
0x3F Fighter,100
0x40 Warrior,100
0x41 Brigand,100
0x42 Pirate,100
0x43 Berserker,100
0x44 Monk,100
0x45 Priest,100
0x46 Bard,100
0x47 Recruit (1),100
0x48 Pegasus Knight,100
0x49 Falcon Knight,100
0x4A Cleric,100
0x4B Troubadour,100
0x4C Valkyrie,100
0x4D Dancer,100
0x4E Soldier,100
0x4F Necromancer,100
0x50 Fleet,100
0x51 Phantom,100
0x52 Revenant,100
0x53 Entombed,100
0x54 Bonewalker,100
0x55 Bonewalker (Bow),100
0x56 Wight,100
0x57 Wight (Bow),100
0x58 Bael,100
0x59 Elder Bael,100
0x5A Cyclops,100
0x5B Mauthe Doog,100
0x5C Gwyllgi,100
0x5D Tarvos,100
0x5E Maelduin,100
0x5F Mogall,100
0x60 Arch Mogall,100
0x61 Gorgon,100
0x62 Gorgon Egg,100
0x63 Gargoyle,100
0x64 Deathgoyle,100
0x65 Dracozombie,100
0x66 Demon King,100
0x67 Archer on Ballista,100
0x68 Archer on Iron Ballista,100
0x69 Archer on Killer Ballista,100
0x6A Ballista,100
0x6B Iron Ballista,100
0x6C Killer Ballista,100
0x6D Civilian,100
0x6E Civilian (F),100
0x6F Civilian,100
0x70 Civilian (F),100
0x71 Civilian,100
0x72 Civilian (F),100
0x73 Peer,100
0x74 Queen,100
0x75 Prince,100
0x76 Queen,100
0x77 (empty),100
0x78 Fallen Prince,100
0x79 Tent,100
0x7A Pontifex,100
0x7B Fallen Peer,100
0x7C Cyclops 2,100
0x7D Elder Bael 2,100
0x7E Journeyman (2),100
0x7F Invalid,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
