INLINE ClassLuckTable,Spd Cap,Def Cap,Res Cap meowth,Luck Cap
None,0,0,0,0
BulbasaurID,25,30,30,30
IvysaurID,35,30,40,35
VenusaurID,40,40,50,45
CharmanderID,35,20,25,25
CharmeleonID,40,30,35,35
CharizardID,50,35,45,45
SquirtleID,30,30,25,30
WartortleID,35,40,40,40
BlastoiseID,40,50,45,45
CaterpieID,25,15,10,15
MetapodID,20,30,10,20
ButterfreeID,40,30,35,35
WeedleID,25,20,10,20
KakunaID,25,25,10,20
BeedrillID,40,25,40,35
PidgeyID,30,20,20,25
PidgeottoID,40,30,25,30
PidgeotID,50,40,35,40
SuspiciousWaterID,15,15,15,15
KabutopsSkeletonID,15,15,15,15
RedID,15,15,15,15
TeleporterID,15,15,15,15
RattataID,35,20,25,25
RaticateID,45,30,35,35
SpearowID,35,15,15,20
FearowID,45,35,30,35
EkansID,30,20,30,25
ArbokID,45,30,40,40
PikachuID,40,10,25,25
RaichuID,50,25,40,40
SandshrewID,15,40,10,20
SandslashID,30,50,25,35
NidoranFID,25,25,20,25
NidorinaID,35,35,30,35
NidoqueenID,40,45,40,40
NidoranMID,30,20,15,20
NidorinoID,35,30,25,30
NidokingID,45,35,35,40
ClefairyID,25,25,35,30
ClefableID,35,40,45,40
VulpixID,35,15,25,25
NinetalesID,50,35,45,45
JigglypuffID,30,15,25,25
WigglytuffID,20,25,40,30
ZubatID,35,15,15,20
GolbatID,45,35,35,40
OddishID,15,30,30,25
GloomID,20,35,35,30
VileplumeID,20,40,45,35
ParasID,10,30,30,25
ParasectID,10,40,40,30
GorgonEggID,10,10,10,10
VenonatID,35,25,25,30
VenomothID,45,30,40,40
DiglettID,40,10,25,25
DugtrioID,50,25,40,40
MeowthID,40,15,20,45
PersianID,50,30,35,60
PsyduckID,35,30,30,30
GolduckID,45,40,40,40
MankeyID,30,20,25,25
PrimeapeID,45,30,35,35
GrowlitheID,35,25,25,30
ArcanineID,50,40,40,45
PoliwagID,35,20,20,25
PoliwhirlID,40,35,25,35
PoliwrathID,40,45,40,40
AbraID,40,10,35,30
KadabraID,45,10,40,30
AlakazamID,55,20,45,40
MachopID,25,30,15,25
MachokeID,25,40,30,30
MachampID,30,45,45,40
BellsproutID,30,15,15,20
WeepinbellID,40,25,20,30
VictreebelID,45,30,35,35
TentacoolID,35,15,35,30
TentacruelID,50,25,50,40
GeodudeID,15,35,15,20
GravellerID,20,45,20,30
PhantomID,15,15,15,15
GolemID,30,50,30,35
PonytaID,40,20,25,30
RapidashID,50,30,40,40
SlowpokeID,10,30,20,20
SlowbroID,10,50,40,35
MagnemiteID,35,35,30,35
MagnetonID,45,45,30,40
FarfetchdID,35,25,35,30
DoduoID,40,25,20,30
DodrioID,50,35,30,40
SeelID,35,25,35,30
DewgongID,40,40,45,40
GrimerID,15,20,35,25
CutBushID,15,15,15,15
RockSmashID,15,15,15,15
StrengthBoulderID,15,15,15,15
