INLINE NewMovementSoundsTable,0
0,FootstepsNormal
01[_B][_u]l[_b][_a][_s][_a][_u][_r],FootstepsNormal
02I[_v][_y][_s][_a][_u][_r],FootstepsNormal
03Venusaur,FootstepsNormal
04[_C][_h][_a][_r]m[_a][_n][_d][_e][_r],FootstepsNormal
05[_C][_h][_a][_r]m[_e]l[_e][_o][_n],FootstepsNormal
06Charizard,FootstepsFlying
07Squirtle,FootstepsFleet
08Wartortle,FootstepsFleet
09Blastoise,FootstepsFleet
0ACaterpie,FootstepsKnight
0BMetapod,FootstepsNormal
0CButterfree,FootstepsFlying
0DWeedle,FootstepsNormal
0EKakuna,FootstepsNormal
0FBeedrill,FootstepsFlying
10Pidgey,FootstepsFlying
11[_P]i[_d][_g][_e][_o]tt[_o],FootstepsFlying
12Pidgeot,FootstepsFlying
13--,FootstepsNormal
14--,FootstepsNormal
15--,FootstepsNormal
16--,FootstepsNormal
17Rattata,FootstepsNormal
18Raticate,FootstepsNormal
19Spearow,FootstepsFlying
1AFearow,FootstepsFlying
1BEkans,FootstepsNormal
1CArbok,FootstepsNormal
1DPikachu,FootstepsNormal
1ERaichu,FootstepsNormal
1FSandshrew,FootstepsNormal
20Sandslash,FootstepsNormal
21Nidoran-F,FootstepsNormal
22Ni[_d][_o][_r]i[_n][_a],FootstepsNormal
23Nidoqueen,FootstepsNormal
24Nidoran-M,FootstepsNormal
25Ni[_d][_o][_r]i[_n][_o],FootstepsNormal
26Nidoking,FootstepsNormal
27Clefairy,FootstepsNormal
28Clefable,FootstepsNormal
29Vulpix,FootstepsNormal
2ANinetales,FootstepsNormal
2BJigglypuff,FootstepsNormal
2CWigglytuff,FootstepsNormal
2DZubat,FootstepsFlying
2EGolbat,FootstepsFlying
2FOddish,FootstepsNormal
30Gloom,FootstepsNormal
31Vileplume,FootstepsNormal
32Paras,FootstepsNormal
33Parasect,FootstepsNormal
34Gorgon Egg,FootstepsNormal
35Venonat,FootstepsNormal
36Venomoth,FootstepsFlying
37Diglett,FootstepsNormal
38Dugtrio,FootstepsNormal
39Meowth,FootstepsNormal
3APersian,FootstepsNormal
3BPsyduck,FootstepsFleet
3CGolduck,FootstepsFleet
3DMankey,FootstepsNormal
3EPrimeape,FootstepsNormal
3FGrowlithe,FootstepsNormal
40Arcanine,FootstepsNormal
41Poliwag,FootstepsFleet
42Poliwhirl,FootstepsFleet
43Poliwrath,FootstepsFleet
44Abra,FootstepsNormal
45Kadabra,FootstepsNormal
46Alakazam,FootstepsNormal
47Machop,FootstepsNormal
48Machoke,FootstepsNormal
49Machamp,FootstepsNormal
4ABellsprout,FootstepsNormal
4BWeepinbell,FootstepsNormal
4CVictreebel,FootstepsNormal
4DTentacool,FootstepsNormal
4ETentacruel,FootstepsNormal
4FGeodude,FootstepsNormal
50Graveler,FootstepsNormal
51Phantom,FootstepsNormal
52Golem,FootstepsNormal
53Ponyta,FootstepsNormal
54Rapidash,FootstepsNormal
55Slowpoke,FootstepsFleet
56Slowbro,FootstepsFleet
