INLINE MagClassTable,Base Magic,Magic Growth,Magic Cap,Magic Promotion Bonus
None 0x00,0,0,0,0
Bulbasaur,5,35,35,5
Ivysaur,9,55,45,4
Venusaur,13,65,50,4
Charmander,5,35,35,0
Charmeleon,9,55,45,4
Charizard,13,65,50,4
Squirtle,5,35,35,0
Wartortle,8,50,40,3
Blastoise,11,65,50,3
Caterpie,1,10,20,0
Metapod,2,15,25,1
Butterfree,8,50,40,6
Weedle,1,5,10,0
Kakuna,1,10,15,0
Beedrill,2,20,20,1
Pidgey,4,25,30,2
Pigeotto,7,45,40,3
Pidgeot,10,55,45,3
Unused1,1,5,15,0
Unused2,1,5,15,0
Unused3,1,5,15,0
Unused4,1,5,15,0
Rattata,1,10,15,0
Raticate,3,25,25,2
Spearow,1,10,15,0
Fearow,4,30,30,3
Ekans,2,15,20,0
Arbok,5,35,30,3
Pikachu,6,35,35,1
Raichu,8,50,45,2
Sandshrew,3,25,25,0
Sandslash,5,35,30,2
Nidoran-F,2,20,25,0
Nidorina,4,30,30,2
Nidoqueen,8,50,45,4
Nidoran-M,3,25,30,0
Nidorino,5,35,35,2
Nidoking,10,55,45,5
Clefairy,5,35,35,0
Clefable,10,55,45,5
Vulpix,5,35,35,0
Ninetales,11,60,50,6
Jigglypuff,4,30,30,0
Wigglytuff,9,55,45,5
Zubat,3,25,30,0
Golbat,7,45,40,4
Oddish,6,40,35,0
Gloom,8,50,40,2
Vileplume,14,65,50,6
Paras,6,35,35,0
Parasect,8,50,40,2
GorgonEgg,0,5,10,0
Venonat,5,35,35,5
Venomoth,9,55,45,4
Diglett,2,20,25,0
Dugtrio,3,30,25,1
Meowth,2,15,20,0
Persian,5,35,30,3
Psyduck,6,40,35,1
Golduck,11,60,45,5
Mankey,1,15,15,0
Primeape,4,30,30,3
Growlithe,5,35,35,1
Arcanine,11,65,50,6
Poliwag,4,30,30,0
Poliwhirl,6,40,35,2
Poliwrath,9,60,45,3
Abra,7,50,40,0
Kadabra,11,65,50,4
Alakazam,17,75,55,6
Machop,1,15,15,0
Machoke,3,25,20,2
Machamp,5,40,30,2
Bellsprout,6,40,35,1
Weepinbell,8,50,40,2
Victreebel,11,60,45,3
Tentacool,6,35,35,0
Tentacruel,11,60,50,5
