INLINE MonsterItemChanceList,Item1Chance,Item2Chance,Item3Chance,Item4Chance,Item5Chance
0,0x00,0x00,0x00,0x00,0x00
Bulbasaur,0x64,0x00,0x00,0x00,0x00
Ivysaur,0x64,0x00,0x00,0x00,0x00
Venusaur,0x64,0x00,0x00,0x00,0x00
Charmander,0x64,0x00,0x00,0x00,0x00
Charmeleon,0x64,0x00,0x00,0x00,0x00
Charizard,0x64,0x00,0x00,0x00,0x00
Squirtle,0x64,0x00,0x00,0x00,0x00
Wartortle,0x64,0x00,0x00,0x00,0x00
Blastoise,0x64,0x00,0x00,0x00,0x00
Caterpie,0x64,0x00,0x00,0x00,0x00
Metapod,0x64,0x00,0x00,0x00,0x00
Butterfree,0x64,0x00,0x00,0x00,0x00
Weedle,0x64,0x00,0x00,0x00,0x00
Kakuna,0x64,0x00,0x00,0x00,0x00
Beedrill,0x64,0x00,0x00,0x00,0x00
Pidgey,0x64,0x00,0x00,0x00,0x00
Pigeotto,0x64,0x00,0x00,0x00,0x00
Pidgeot,0x64,0x00,0x00,0x00,0x00
Unused1,0x64,0x00,0x00,0x00,0x00
Unused2,0x64,0x00,0x00,0x00,0x00
Unused3,0x64,0x00,0x00,0x00,0x00
Unused4,0x64,0x00,0x00,0x00,0x00
Rattata,0x64,0x00,0x00,0x00,0x00
Raticate,0x64,0x00,0x00,0x00,0x00
Spearow,0x64,0x00,0x00,0x00,0x00
Fearow,0x64,0x00,0x00,0x00,0x00
Ekans,0x64,0x00,0x00,0x00,0x00
Arbok,0x64,0x00,0x00,0x00,0x00
Pikachu,0x64,0x00,0x00,0x00,0x00
Raichu,0x64,0x00,0x00,0x00,0x00
Sandshrew,0x64,0x00,0x00,0x00,0x00
Sandslash,0x64,0x00,0x00,0x00,0x00
Nidoran-F,0x64,0x00,0x00,0x00,0x00
Nidorina,0x64,0x00,0x00,0x00,0x00
Nidoqueen,0x64,0x00,0x00,0x00,0x00
Nidoran-M,0x64,0x00,0x00,0x00,0x00
Nidorino,0x64,0x00,0x00,0x00,0x00
Nidoking,0x64,0x00,0x00,0x00,0x00
Clefairy,0x64,0x00,0x00,0x00,0x00
Clefable,0x64,0x00,0x00,0x00,0x00
Vulpix,0x64,0x00,0x00,0x00,0x00
Ninetales,0x64,0x00,0x00,0x00,0x00
Jigglypuff,0x64,0x00,0x00,0x00,0x00
Wigglytuff,0x64,0x00,0x00,0x00,0x00
Zubat,0x64,0x00,0x00,0x00,0x00
Golbat,0x64,0x00,0x00,0x00,0x00
Oddish,0x64,0x00,0x00,0x00,0x00
Gloom,0x64,0x00,0x00,0x00,0x00
Vileplume,0x64,0x00,0x00,0x00,0x00
Paras,0x64,0x00,0x00,0x00,0x00
Parasect,0x64,0x00,0x00,0x00,0x00
GorgonEgg,0x64,0x00,0x00,0x00,0x00
Venonat,0x64,0x00,0x00,0x00,0x00
