INLINE MonsterItemList,Item1,Item2,Item3,Item4,Item5
None,0x00,0x00,0x00,0x00,0x00
Bulbasaur,0x01,0x02,0x03,0x08,0x00
Ivysaur,0x05,0x06,0x08,0x11,0x00
Venusaur,0x0D,0x0E,0x0F,0x12,0x13
Charmander,0x01,0x03,0x05,0x06,0x08
Charmeleon,0x0B,0x0C,0x0D,0x11,0x00
Charizard,0x14,0x15,0x16,0x18,0x1C
Squirtle,0x11,0x1C,0x1D,0x96,0x00
Wartortle,0x1A,0x1B,0x1E,0x8D,0x95
Blastoise,0x14,0x16,0x18,0x00,0x00
Caterpie,0x30,0xED,0x00,0x00,0x00
Metapod,0x30,0xED,0x22,0x28,0x00
Butterfree,0x27,0x28,0x29,0x2B,0x86
Weedle,0xB0,0x30,0xED,0x2A,0x5A
Kakuna,0xB0,0x30,0xED,0x27,0x86
Beedrill,0x23,0x24,0x29,0x2B,0x00
Pidgey,0xC3,0xC4,0x30,0x26,0x00
Pigeotto,0x34,0x00,0x00,0x00,0x00
Pidgeot,0x31,0x33,0x00,0x00,0x00
Unused1,0x2D,0x2E,0x31,0x33,0x34
Unused2,0x31,0x32,0x33,0x34,0x00
Unused3,0xC4,0x30,0x00,0x00,0x00
Unused4,0xAD,0xAE,0xAF,0xB0,0x00
Rattata,0x30,0x31,0x00,0x00,0x00
Raticate,0x8B,0xAF,0xB0,0x00,0x00
Spearow,0xC4,0x26,0x00,0x00,0x00
Fearow,0xAC,0xB3,0xB4,0x00,0x00
Ekans,0xAD,0xB0,0x06,0x00,0x00
Arbok,0xB2,0x00,0x00,0x00,0x00
Pikachu,0x8B,0xF4,0x22,0x00,0x00
Raichu,0x90,0x00,0x00,0x00,0x00
Sandshrew,0x27,0x26,0x00,0x00,0x00
Sandslash,0x9D,0x9E,0x9F,0xB8,0xB9
Nidoran-F,0x6D,0x74,0x75,0x76,0x00
Nidorina,0x6C,0x6D,0x6E,0x6F,0x70
Nidoqueen,0x64,0x65,0x67,0x68,0x97
Nidoran-M,0x5D,0x66,0x6D,0x88,0x00
Nidorino,0x5D,0x5E,0x5F,0x61,0x62
Nidoking,0x5B,0x5C,0x5F,0x60,0x63
Clefairy,0x2C,0x21,0x00,0x00,0x00
Clefable,0x00,0x00,0x00,0x00,0x00
Vulpix,0x00,0x00,0x00,0x00,0x00
Ninetales,0x5E,0x5F,0x61,0x68,0x00
Jigglypuff,0x29,0x5B,0x5C,0x63,0x97
Wigglytuff,0x29,0x31,0x5B,0x60,0x65
Zubat,0xDA,0xE9,0x00,0x00,0x00
Golbat,0x1D,0x5D,0x5E,0x67,0x00
Oddish,0x46,0xAD,0x00,0x00,0x00
Gloom,0x62,0x63,0x6D,0x74,0x75
Vileplume,0x62,0x63,0x74,0x75,0xA1
Paras,0xE9,0x4A,0x00,0x00,0x00
Parasect,0x00,0x00,0x00,0x00,0x00
GorgonEgg,0x00,0x00,0x00,0x00,0x00
