INLINE NewPromotionBranchTable,Class Selection 1,Class Selection 2
None 0x00,0x00,0x00
Bulbasaur,0x02,0x00
Ivysaur,0x03,0x00
Venusaur,0x00,0x00
Charmander,0x05,0x00
Charmeleon,0x06,0x00
Charizard,0x00,0x00
Squirtle,0x08,0x00
Wartortle,0x09,0x00
Blastoise,0x00,0x00
Caterpie,0x0B,0x00
Metapod,0x0C,0x00
Butterfree,0x00,0x00
Weedle,0x0E,0x00
Kakuna,0x0F,0x00
Beedrill,0x00,0x00
Pidgey,0x11,0x00
Pigeotto,0x12,0x00
Pidgeot,0x00,0x00
Unused1,0x17,0x00
Unused2,0x18,0x00
Unused3,0x00,0x00
Unused4,0x00,0x00
Rattata,0x18,0x00
Raticate,0x00,0x00
Spearow,0x1A,0x00
Fearow,0x00,0x00
Ekans,0x1C,0x00
Arbok,0x00,0x00
Pikachu,0x1E,0x00
Raichu,0x00,0x00
Sandshrew,0x20,0x00
Sandslash,0x00,0x00
Nidoran-F,0x22,0x00
Nidorina,0x23,0x00
Nidoqueen,0x00,0x00
Nidoran-M,0x25,0x00
Nidorino,0x26,0x00
Nidoking,0x00,0x00
Clefairy,0x28,0x00
Clefable,0x00,0x00
Vulpix,0x2A,0x00
Ninetales,0x00,0x00
Jigglypuff,0x2C,0x00
Wigglytuff,0x00,0x00
Zubat,0x2E,0x00
Golbat,0x00,0x00
Oddish,0x30,0x00
Gloom,0x31,0x00
Vileplume,0x00,0x00
Paras,0x33,0x00
Parasect,0x00,0x00
GorgonEgg,0x00,0x00
Venonat,0x36,0x00
Venomoth,0x00,0x00
Diglett,0x38,0x00
Dugtrio,0x00,0x00
Meowth,0x3A,0x00
Persian,0x00,0x00
Psyduck,0x3C,0x00
Golduck,0x00,0x00
Mankey,0x3E,0x00
Primeape,0x00,0x00
Growlithe,0x40,0x00
Arcanine,0x00,0x00
Poliwag,0x42,0x00
Poliwhirl,0x43,0x00
Poliwrath,0x00,0x00
Abra,0x45,0x00
Kadabra,0x46,0x00
Alakazam,0x00,0x00
Machop,0x48,0x00
Machoke,0x49,0x00
Machamp,0x00,0x00
Bellsprout,0x4B,0x00
Weepinbell,0x4C,0x00
Victreebel,0x00,0x00
Tentacool,0x4E,0x00
Tentacruel,0x00,0x00
Geodude,0x50,0x00
Graveller,0x52,0x00
Phantom,0x00,0x00
Golem,0x00,0x00
Ponyta,0x54,0x00
Rapidash,0x00,0x00
Slowpoke,0x56,0x00
Slowbro,0x00,0x00
Magnemite,0x58,0x00
Magneton,0x00,0x00
Farfetchd,0x00,0x00
Doduo,0x5B,0x00
Dodrio,0x00,0x00
Seel,0x5D,0x00
Dewgong,0x00,0x00
Grimer,0x80,0x00
Unused5,0x00,0x00
Unused6,0x00,0x00
Unused7,0x00,0x00
GorgonEgg2,0x00,0x00
Unused8,0x00,0x00
Deathgoyle,0x00,0x00
DracoZombie,0x00,0x00
DemonKing,0x00,0x00
Unused8,0x00,0x00
Unused9,0x00,0x00
Unused10,0x00,0x00
Unused11,0x00,0x00
Unused12,0x00,0x00
Unused13,0x00,0x00
Civilian1,0x00,0x00
Civilian2,0x00,0x00
Civilian3,0x00,0x00
Civilian4,0x00,0x00
Civilian5,0x00,0x00
Unused14,0x00,0x00
Unused15,0x00,0x00
sfx,0x00,0x00
openball,0x00,0x00
pokeballred,0x00,0x00
pokeballgold,0x00,0x00
Unused16,0x00,0x00
Unused17,0x00,0x00
blank,0x00,0x00
Unused18,0x00,0x00
Bush,0x00,0x00
ElderBael,0x00,0x00
Journeyman,0x00,0x00
Pupil,0x00,0x00
Muk,0x00,0x00
Shellder,0x82,0x00
Cloyster,0x00,0x00
Gastly,0x84,0x00
Haunter,0x85,0x00
Gengar,0x00,0x00
Onix,0x00,0x00
Drowzee,0x88,0x00
Hypno,0x00,0x00
Krabby,0x8A,0x00
Kingler,0x00,0x00
Voltorb,0x8C,0x00
Electrode,0x00,0x00
Exeggcute,0x8E,0x00
Exeggutor,0x00,0x00
Cubone,0x90,0x00
Marowak,0x00,0x00
Hitmonlee,0x00,0x00
Hitmonchan,0x00,0x00
Lickitung,0x00,0x00
Koffing,0x95,0x00
Weezing,0x00,0x00
Rhyhorn,0x97,0x00
Rhydon,0x00,0x00
Chansey,0x00,0x00
Tangela,0x00,0x00
Kangaskhan,0x00,0x00
Horsea,0x9C,0x00
Seadra,0x00,0x00
Goldeen,0x9E,0x00
Seaking,0x00,0x00
Staryu,0xA0,0x00
Starmie,0x00,0x00
Mr. Mime,0x00,0x00
Scyther,0x00,0x00
Jynx,0x00,0x00
Electabuzz,0x00,0x00
Magmar,0x00,0x00
Pinsir,0x00,0x00
Tauros,0x00,0x00
Magikarp,0xA9,0x00
Gyarados,0x00,0x00
Lapras,0x00,0x00
Ditto,0x00,0x00
Eevee,0xAD,0xAE
Vaporeon,0x00,0x00
Jolteon,0x00,0x00
Flareon,0x00,0x00
Porygon,0x00,0x00
Omanyte,0xB2,0x00
Omastar,0x00,0x00
Kabuto,0xB4,0x00
Kabutops,0x00,0x00
Aerodactyl,0x00,0x00
Snorlax,0x00,0x00
Articuno,0x00,0x00
Zapdos,0x00,0x00
Moltres,0x00,0x00
Dratini,0xBB,0x00
Dragonair,0xBC,0x00
Dragonite,0x00,0x00
Mewtwo,0x00,0x00
Mew,0x00,0x00
Unused19,0x00,0x00
Unused20,0x00,0x00
Unused21,0x00,0x00
Unused22,0x00,0x00
Unused23,0x00,0x00
Unused24,0x00,0x00
Unused25,0x00,0x00
Unused26,0x00,0x00
Unused27,0x00,0x00
Unused28,0x00,0x00
Unused29,0x00,0x00
Unused30,0x00,0x00
Unused31,0x00,0x00
Unused32,0x00,0x00
Unused33,0x00,0x00
Unused34,0x00,0x00
Unused35,0x00,0x00
Treeko,0x00,0x00
Unused36,0x00,0x00
Unused37,0x00,0x00
Unused38,0x00,0x00
Unused39,0x00,0x00
Unused40,0x00,0x00
Unused41,0x00,0x00
Unused42,0x00,0x00
Unused43,0x00,0x00
Crobat,0x00,0x00
Unused44,0x00,0x00
Unused45,0x00,0x00
Unused46,0x00,0x00
Unused47,0x00,0x00
Unused48,0x00,0x00
Unused49,0x00,0x00
Unused50,0x00,0x00
Unused51,0x00,0x00
Unused52,0x00,0x00
Unused53,0x00,0x00
Unused54,0x00,0x00
Unused55,0x00,0x00
Unused56,0x00,0x00
Unused57,0x00,0x00
Unused58,0x00,0x00
Unused59,0x00,0x00
Unused60,0x00,0x00
Unused61,0x00,0x00
Unused62,0x00,0x00
Unused63,0x00,0x00
Unused64,0x00,0x00
Unused65,0x00,0x00
Unused66,0x00,0x00
Unused67,0x00,0x00
Unused68,0x00,0x00
Unused69,0x00,0x00
Unused70,0x00,0x00
Unused71,0x00,0x00
Unused72,0x00,0x00
Unused73,0x00,0x00
Unused74,0x00,0x00
Unused75,0x00,0x00
Unused76,0x00,0x00
Unused77,0x00,0x00
Unused78,0x00,0x00
Unused79,0x00,0x00
Unused80,0x00,0x00
0xff,0xff,0xff
