0x8AFBD8,Item ID,??,1 or 2,??,Battle Animation,??,Map Animation Effect,Damage Effect,Map Sprite Facing During Effect,Map Sprite Color When Hit,??
01 Iron Sword,0x01,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
05 Iron Blade,0x05,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
03 Steel Sword,0x03,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
04 Silver Sword,0x04,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
02 Slim Sword,0x02,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
08 Poison Sword,0x08,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
0B Brave Sword,0x0B,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
10 Light Brand,0x10,0x00,0x02,0x00,0x1F,0x00,0x00,0x01,0x00,0x05,0x00
BC Dummy,0xBC,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
0E Armorslayer,0x0E,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
09 Rapier,0x09,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
0A Dummy,0x0A,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
C0 Dummy,0xC0,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
0D Killing Edge,0x0D,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
12 Lancereaver,0x12,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
13 Zanbato,0x13,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
14 Iron Lance,0x14,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
16 Steel Lance,0x16,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
17 Silver Lance,0x17,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
15 Slim Lance,0x15,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
18 Toxin Lance,0x18,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
19 Brave Lance,0x19,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
1C Javelin,0x1C,0x00,0x02,0x00,0x03,0x00,0x00,0x01,0x00,0x00,0x00
1B Horseslayer,0x1B,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
1A Killer Lance,0x1A,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
1E Axereaver,0x1E,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
95 Heavy Spear,0x95,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
96 Short Spear,0x96,0x00,0x02,0x00,0x03,0x00,0x00,0x01,0x00,0x00,0x00
C3 Dummy,0xC3,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
1F Iron Axe,0x1F,0x00,0x02,0x00,0xFFFF,0x00,0x00,0x01,0x00,0x00,0x00
