0x0145A138	Item ID	??	1 or 2	??	Battle Animation	??	Map Animation Effect	Damage Effect	Map Sprite Facing During Effect	Map Sprite Color When Hit	??
01 Resv.	0x01	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
02 Barrage	0x02	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
03 Bind	0x03	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
04 Body Slam	0x04	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
05 Comet Punch	0x05	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
06 Constrict	0x06	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
07 Covet	0x07	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
08 Crush Claw	0x08	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
09 Cut	0x09	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0A Doubleslap	0x0A	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0B Double Hit	0x0B	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0C Double Edge	0x0C	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0D Egg Bomb	0x0D	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0E Explosion	0x0E	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
0F Flash	0x0F	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
10 Fury (magic)	0x10	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
11 Glare	0x11	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
12 Growl	0x12	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
13 Growth	0x13	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
14 Guillotine	0x14	0x00	0x02	0x00	0xFFFE	0x00	0x00	0x01	0x00	0x00	0x00
