INLINE SpellAssociationTable,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Damage effect Bool,Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0,0x0,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Resv.,0x1,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Barrage,0x2,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Bind,0x3,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Body Slam,0x4,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Comet Punch,0x5,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Constrict,0x6,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Covet,0x7,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Crush Claw,0x8,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Cut,0x9,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Doubleslap,0xa,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Double Hit,0xb,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Double Edge,0xc,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Egg Bomb,0xd,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Explosion,0xe,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Flash,0xf,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Fury (magic),0x10,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Glare,0x11,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Growl,0x12,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Growth,0x13,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Guillotine,0x14,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Headbutt,0x15,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
Horn Attack,0x16,2,0xfe,0xff,0x00,0x0,0x01,0x00,0x00,0x00
