INLINE NewMovingMapSpriteTable,Animation pointer,Another pointer
0x01,r1Moving|IsPointer,0x81fd028
0x02,r2Moving|IsPointer,0x81fd028
0x03,r3Moving|IsPointer,0x81fd028
0x04,r4Moving|IsPointer,0x81fd028
0x05,r5Moving|IsPointer,0x81fd028
0x06,r6Moving|IsPointer,0x81fd028
0x07,r7Moving|IsPointer,0x81fd028
0x08,r8Moving|IsPointer,0x81fd028
0x09,r9Moving|IsPointer,0x81fd028
0x0A,r10Moving|IsPointer,0x81fd028
0x0B,r11Moving|IsPointer,0x81fd028
0x0C,r12Moving|IsPointer,0x81fd028
0x0D,r13Moving|IsPointer,0x81fd028
0x0E,r14Moving|IsPointer,0x81fd028
0x0F,r15Moving|IsPointer,0x81fd028
0x10,r16Moving|IsPointer,0x81fd028
0x11,r17Moving|IsPointer,0x81fd028
0x12,r18Moving|IsPointer,0x81fd028
0x13,0x00,0x81fd028
0x14,0x00,0x81fd028
0x15,0x00,0x81fd028
0x16,0x00,0x81fd028
0x17,r19Moving|IsPointer,0x81fd028
0x18,r20Moving|IsPointer,0x81fd028
0x19,r21Moving|IsPointer,0x81fd028
0x1A,r22Moving|IsPointer,0x81fd028
0x1B,r23Moving|IsPointer,0x81fd028
0x1C,r24Moving|IsPointer,0x81fd028
0x1D,r25Moving|IsPointer,0x81fd028
0x1E,r26Moving|IsPointer,0x81fd028
0x1F,r27Moving|IsPointer,0x81fd028
0x20,r28Moving|IsPointer,0x81fd028
0x21,r29Moving|IsPointer,0x81fd028
0x22,r30Moving|IsPointer,0x81fd028
0x23,r31Moving|IsPointer,0x81fd028
0x24,r32Moving|IsPointer,0x81fd028
0x25,r33Moving|IsPointer,0x81fd028
0x26,r34Moving|IsPointer,0x81fd028
0x27,r35Moving|IsPointer,0x81fd028
0x28,r36Moving|IsPointer,0x81fd028
0x29,r37Moving|IsPointer,0x81fd028
0x2A,r38Moving|IsPointer,0x81fd028
0x2B,r39Moving|IsPointer,0x81fd028
0x2C,r40Moving|IsPointer,0x81fd028
0x2D,r41Moving|IsPointer,0x81fd028
0x2E,r42Moving|IsPointer,0x81fd028
0x2F,r43Moving|IsPointer,0x81fd028
0x30,r44Moving|IsPointer,0x81fd028
0x31,r45Moving|IsPointer,0x81fd028
0x32,r46Moving|IsPointer,0x81fd028
0x33,r47Moving|IsPointer,0x81fd028
0x34,0x00,0x81fd028
0x35,r48Moving|IsPointer,0x81fd028
0x36,r49Moving|IsPointer,0x81fd028
0x37,r50Moving|IsPointer,0x81fd028
0x38,r51Moving|IsPointer,0x81fd028
0x39,r52Moving|IsPointer,0x81fd028
0x3A,r53Moving|IsPointer,0x81fd028
0x3B,r54Moving|IsPointer,0x81fd028
0x3C,r55Moving|IsPointer,0x81fd028
0x3D,r56Moving|IsPointer,0x81fd028
0x3E,r57Moving|IsPointer,0x81fd028
0x3F,r58Moving|IsPointer,0x81fd028
0x40,r59Moving|IsPointer,0x81fd028
0x41,r60Moving|IsPointer,0x81fd028
0x42,r61Moving|IsPointer,0x81fd028
0x43,r62Moving|IsPointer,0x81fd028
0x44,r63Moving|IsPointer,0x81fd028
0x45,r64Moving|IsPointer,0x81fd028
0x46,r65Moving|IsPointer,0x81fd028
0x47,r66Moving|IsPointer,0x81fd028
0x48,r67Moving|IsPointer,0x81fd028
0x49,r68Moving|IsPointer,0x81fd028
0x4A,r69Moving|IsPointer,0x81fd028
