INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
0x01,0x3,0x0,0x2,0x0,m1Standing|IsPointer
0x02,0x3,0x0,0x2,0x0,m2Standing|IsPointer
0x03,0x3,0x0,0x2,0x0,m3Standing|IsPointer
0x04,0x3,0x0,0x2,0x0,m4Standing|IsPointer
0x05,0x3,0x0,0x2,0x0,m5Standing|IsPointer
0x06,0x3,0x0,0x2,0x0,m6Standing|IsPointer
0x07,0x3,0x0,0x2,0x0,m7Standing|IsPointer
0x08,0x3,0x0,0x2,0x0,m8Standing|IsPointer
0x09,0x3,0x0,0x2,0x0,m9Standing|IsPointer
0x0A,0x3,0x0,0x2,0x0,m10Standing|IsPointer
0x0B,0x3,0x0,0x2,0x0,m11Standing|IsPointer
0x0C,0x3,0x0,0x2,0x0,m12Standing|IsPointer
0x0D,0x3,0x0,0x2,0x0,m13Standing|IsPointer
0x0E,0x3,0x0,0x2,0x0,m14Standing|IsPointer
0x0F,0x3,0x0,0x2,0x0,m15Standing|IsPointer
0x10,0x3,0x0,0x2,0x0,m16Standing|IsPointer
0x11,0x3,0x0,0x2,0x0,m17Standing|IsPointer
0x12,0x3,0x0,0x2,0x0,m18Standing|IsPointer
0x13,0x3,0x0,0x2,0x0,m19Standing|IsPointer
0x14,0x3,0x0,0x2,0x0,m20Standing|IsPointer
0x15,0x3,0x0,0x2,0x0,m21Standing|IsPointer
0x16,0x3,0x0,0x2,0x0,m22Standing|IsPointer
0x17,0x3,0x0,0x2,0x0,m23Standing|IsPointer
0x18,0x3,0x0,0x2,0x0,m24Standing|IsPointer
0x19,0x3,0x0,0x2,0x0,m25Standing|IsPointer
0x1A,0x3,0x0,0x2,0x0,m26Standing|IsPointer
0x1B,0x3,0x0,0x2,0x0,m27Standing|IsPointer
0x1C,0x3,0x0,0x2,0x0,m28Standing|IsPointer
0x1D,0x3,0x0,0x2,0x0,m29Standing|IsPointer
0x1E,0x3,0x0,0x2,0x0,m30Standing|IsPointer
0x1F,0x3,0x0,0x2,0x0,m31Standing|IsPointer
0x20,0x3,0x0,0x2,0x0,m32Standing|IsPointer
0x21,0x3,0x0,0x2,0x0,m33Standing|IsPointer
0x22,0x3,0x0,0x2,0x0,m34Standing|IsPointer
0x23,0x3,0x0,0x2,0x0,m35Standing|IsPointer
0x24,0x3,0x0,0x2,0x0,m36Standing|IsPointer
0x25,0x3,0x0,0x2,0x0,m37Standing|IsPointer
0x26,0x3,0x0,0x2,0x0,m38Standing|IsPointer
0x27,0x3,0x0,0x2,0x0,m39Standing|IsPointer
0x28,0x3,0x0,0x2,0x0,m40Standing|IsPointer
0x29,0x3,0x0,0x2,0x0,m41Standing|IsPointer
0x2A,0x3,0x0,0x2,0x0,m42Standing|IsPointer
0x2B,0x3,0x0,0x2,0x0,m43Standing|IsPointer
0x2C,0x3,0x0,0x2,0x0,m44Standing|IsPointer
0x2D,0x3,0x0,0x2,0x0,m45Standing|IsPointer
0x2E,0x3,0x0,0x2,0x0,m46Standing|IsPointer
0x2F,0x3,0x0,0x2,0x0,m47Standing|IsPointer
0x30,0x3,0x0,0x2,0x0,m48Standing|IsPointer
0x31,0x3,0x0,0x2,0x0,m49Standing|IsPointer
0x32,0x3,0x0,0x2,0x0,m50Standing|IsPointer
0x33,0x3,0x0,0x2,0x0,m51Standing|IsPointer
0x34,0x3,0x0,0x2,0x0,m52Standing|IsPointer
0x35,0x3,0x0,0x2,0x0,m53Standing|IsPointer
0x36,0x3,0x0,0x2,0x0,m54Standing|IsPointer
0x37,0x3,0x0,0x2,0x0,m55Standing|IsPointer
0x38,0x3,0x0,0x2,0x0,m56Standing|IsPointer
0x39,0x3,0x0,0x2,0x0,m57Standing|IsPointer
0x3A,0x3,0x0,0x2,0x0,m58Standing|IsPointer
0x3B,0x3,0x0,0x2,0x0,m59Standing|IsPointer
0x3C,0x3,0x0,0x2,0x0,m60Standing|IsPointer
0x3D,0x3,0x0,0x2,0x0,m61Standing|IsPointer
0x3E,0x3,0x0,0x2,0x0,m62Standing|IsPointer
0x3F,0x3,0x0,0x2,0x0,m63Standing|IsPointer
0x40,0x3,0x0,0x2,0x0,m64Standing|IsPointer
0x41,0x3,0x0,0x2,0x0,m65Standing|IsPointer
0x42,0x3,0x0,0x2,0x0,m66Standing|IsPointer
