INLINE PromotionItemTable,Promotion Item ID,##UNKNOWN##,Promotion Class List Pointer,Promo Item Usability Pointer
0x0,0x64,0x0,MoonStoneList|IsPointer,0x0
0x1,0x65,0x0,LinkStoneList|IsPointer,0x0
0x2,0x66,0x0,ThunderStoneList|IsPointer,0x0
0x3,0x67,0x0,LeafStoneList|IsPointer,0x0
0x4,0x68,0x0,WaterStoneList|IsPointer,0x0
0x5,0x88,0x0,SacredStoneList|IsPointer,0x0
0x6,0x8A,0x0,SacredStoneList|IsPointer,0x0
0x7,0x97,0x0,FireStoneList|IsPointer,0x0
0x8,0x98,0x0,LunarBraceList|IsPointer,PromoLordCheck|IsPointer|1
0x9,0x99,0x0,SolarBraceList|IsPointer,PromoLordCheck|IsPointer|1
End of Table,0xFFFF,0x0,0x0,0x0
