INLINE NewItemTable,Name,Description,Use Desc,ID,Type,Ability1,Ability2,Ability3,Ability4,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0,0,0,0,0x00,0,0x00,0x00,0x0,NoEffect,0,0x00,0x00,0x00
OneRangeWep,0x0354,0x0409,0x00,0x01,NormalTypeWep,Indestructible|IsWeapon|Unsellable,0x00,NegateDef,0x00,0x00,0x00,0x01,25,90,1,0,0x11,10,0x00,NormalTypeIcon,0x40,NoEffect,0,0x00,0x0,0x00
FiveRangeWep,0x0354,0x0409,0x00,0x02,NormalTypeWep,Indestructible|IsWeapon|Unsellable,0x00,NegateDef,0x00,0x00,0x00,0x01,25,90,1,0,0x15,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
CalmMind,CalmMindName,CalmMindDesc,0x00,0x03,PsychicTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt-1,90,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Body Slam,BodySlamName,BodySlamDesc,0x00,0x04,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt-1,75,1,0,0x11,5500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
BulkUp,BulkUpName,BulkUpDesc,0x00,0x05,FightingTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt-1,90,1,0,0x11,4500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Constrict,ConstrictName,ConstrictDesc,0x00,0x06,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x11,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,WeakSpeedDebuff,0x0,0x00
Amnesia,AmnesiaName,AmnesiaDesc,0x00,0x07,PsychicTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt-1,90,1,0,0x11,10000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Screech,ScreechName,ScreechDesc,0x00,0x08,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T2Debuff_Mt,85,1,0,0x11,5500,0x00,NormalTypeIcon,0x0,NoEffect,0,MedDefResDebuff,0x0,0x00
Agility,AgilityName,AgilityDesc,0x00,0x09,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt+1,100,1,0,0x11,10000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Doubleslap,DoubleslapName,DoubleslapDesc,0x00,0x0A,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt-2,75,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,CannotDouble,0,0x00,0x0,MultiHitID
Double Hit,DoubleHitName,DoubleHitDesc,0x00,0x0B,NormalTypeWep,IsBrave|Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,0,75,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
Double Edge,DoubleEdgeName,DoubleEdgeDesc,0x00,0x0C,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Phys_Mt+2,100,1,0,0x11,8000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Harden,HardenName,HardenDesc,0x00,0x0D,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Explosion,ExplosionName,ExplosionDesc,0x00,0x0E,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T4Phys_Mt+5,70,1,255,0x11,2500,0x00,NormalTypeIcon,0x0,CannotDouble,0,0x00,0x0,SavageBlowID
Flash,FlashName,FlashDesc,0x00,0x0F,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T2Debuff_Mt,85,1,0,0x12,3000,0x00,NormalTypeIcon,0x0,NoEffect,0,GoodSkillDebuff,0x0,0x00
RecoverMove,RecoverMoveText,RecoverDescText,0x00,0x10,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x01,0,0,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Glare,GlareName,GlareDesc,0x00,0x11,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt-2,80,1,0,0x12,4500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Growl,GrowlName,GrowlDesc,0x00,0x12,NormalTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,0x00,0x01,T1Debuff_Mt,85,1,0,0x12,1000,0x00,NormalTypeIcon,0x0,NoEffect,0,WeakStrDebuff,0x0,0x00
Growth,GrowthName,GrowthDesc,0x00,0x13,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,0,0,1,0,0x11,3500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Guillotine,GuillotineName,GuillotineDesc,0x00,0x14,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Phys_Mt+2,70,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Headbutt,HeadbuttName,HeadbuttDesc,0x00,0x15,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T2Phys_Mt-1,80,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Horn Attack,HornAttackName,HornAttackDesc,0x00,0x16,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T1Phys_Mt+2,100,1,0,0x11,2500,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Horn Drill,HornDrillName,HornDrillDesc,0x00,0x17,NormalTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T3Phys_Mt+2,70,1,0,0x11,8000,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Hyper Beam,HyperBeamName,HyperBeamDesc,0x00,0x18,NormalTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,NormalAdv|IsPointer,0x01,T4Spec_Mt,70,1,0,0x22,20000,0x00,NormalTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
