INLINE NewMovingMapSpriteTable,Animation pointer,Another pointer
Ephraim Lord,r1Moving|IsPointer,0x81fd028
Eirika Lord,r2Moving|IsPointer,0x81fd028
Ephraim Master Lord,r3Moving|IsPointer,0x81fd028
Eirika Master Lord,r4Moving|IsPointer,0x81fd028
Cavalier,r5Moving|IsPointer,0x81fd028
Cavalier (F),r6Moving|IsPointer,0x81fd028
Paladin,r7Moving|IsPointer,0x81fd028
Paladin (F),r8Moving|IsPointer,0x81fd028
Armor Knight,r9Moving|IsPointer,0x81fd028
Armor Knight (F),r10Moving|IsPointer,0x81fd028
General,r11Moving|IsPointer,0x81fd028
General (F),r12Moving|IsPointer,0x81fd028
Thief,r13Moving|IsPointer,0x81fd028
Manakete,r14Moving|IsPointer,0x81fd028
Mercenary,r15Moving|IsPointer,0x81fd028
Mercenary (F),r16Moving|IsPointer,0x81fd028
Hero,r17Moving|IsPointer,0x81fd028
Hero (F),r18Moving|IsPointer,0x81fd028
Myrmidon,r19Moving|IsPointer,0x81fd028
Myrmidon (F),r20Moving|IsPointer,0x81fd028
Swordmaster,r21Moving|IsPointer,0x81fd028
Swordmaster (F),r22Moving|IsPointer,0x81fd028
Assassin,r23Moving|IsPointer,0x81fd028
Assassin (F),r24Moving|IsPointer,0x81fd028
Archer,r25Moving|IsPointer,0x81fd028
Archer (F),r26Moving|IsPointer,0x81fd028
Sniper,r27Moving|IsPointer,0x81fd028
Sniper (F),r28Moving|IsPointer,0x81fd028
Ranger,r29Moving|IsPointer,0x81fd028
Ranger (F),r30Moving|IsPointer,0x81fd028
Wyvern Rider,r31Moving|IsPointer,0x81fd028
Wyvern Rider (F),r32Moving|IsPointer,0x81fd028
Wyvern Lord,r33Moving|IsPointer,0x81fd028
Wyvern Lord (F),r34Moving|IsPointer,0x81fd028
Wyvern Knight,r35Moving|IsPointer,0x81fd028
Wyvern Knight (F),r36Moving|IsPointer,0x81fd028
Mage,r37Moving|IsPointer,0x81fd028
Mage (F),r38Moving|IsPointer,0x81fd028
Sage,r39Moving|IsPointer,0x81fd028
Sage (F),r40Moving|IsPointer,0x81fd028
Mage Knight,r41Moving|IsPointer,0x81fd028
Mage Knight (F),r42Moving|IsPointer,0x81fd028
Bishop,r43Moving|IsPointer,0x81fd028
Bishop (F),r44Moving|IsPointer,0x81fd028
Shaman,r45Moving|IsPointer,0x81fd028
Shaman (F),r46Moving|IsPointer,0x81fd028
Druid,r47Moving|IsPointer,0x81fd028
Druid (F),r48Moving|IsPointer,0x81fd028
Summoner,r49Moving|IsPointer,0x81fd028
Summoner (F),r50Moving|IsPointer,0x81fd028
Rogue,r51Moving|IsPointer,0x81fd028
Gorgon Egg,r52Moving|IsPointer,0x81fd028
Great Knight,r53Moving|IsPointer,0x81fd028
Great Knight (F),r54Moving|IsPointer,0x81fd028
Recruit (2),r55Moving|IsPointer,0x81fd028
Journeyman (3),r56Moving|IsPointer,0x81fd028
Pupil (3),r57Moving|IsPointer,0x81fd028
Recruit (3),r58Moving|IsPointer,0x81fd028
Manakete,r59Moving|IsPointer,0x81fd028
Manakete (F),r60Moving|IsPointer,0x81fd028
Teto (1),r61Moving|IsPointer,0x81fd028
Pupil (1),r62Moving|IsPointer,0x81fd028
Fighter,r63Moving|IsPointer,0x81fd028
Warrior,r64Moving|IsPointer,0x81fd028
Brigand,r65Moving|IsPointer,0x81fd028
Pirate,r66Moving|IsPointer,0x81fd028
Berserker,r67Moving|IsPointer,0x81fd028
Monk,r68Moving|IsPointer,0x81fd028
Priest,r69Moving|IsPointer,0x81fd028
Bard,r70Moving|IsPointer,0x81fd028
Recruit (1),r71Moving|IsPointer,0x81fd028
Pegasus Knight,r72Moving|IsPointer,0x81fd028
Falcon Knight,r73Moving|IsPointer,0x81fd028
Cleric,r74Moving|IsPointer,0x81fd028
Troubadour,r75Moving|IsPointer,0x81fd028
Valkyrie,r76Moving|IsPointer,0x81fd028
Dancer,r77Moving|IsPointer,0x81fd028
Soldier,r78Moving|IsPointer,0x81fd028
Necromancer,r79Moving|IsPointer,0x81fd028
Fleet,r80Moving|IsPointer,0x81fd028
Phantom,r81Moving|IsPointer,0x81fd028
Revenant,r82Moving|IsPointer,0x81fd028
Entombed,r83Moving|IsPointer,0x81fd028
Bonewalker,r84Moving|IsPointer,0x81fd028
Bonewalker (Bow),r85Moving|IsPointer,0x81fd028
Wight,r86Moving|IsPointer,0x81fd028
Wight (Bow),r87Moving|IsPointer,0x81fd028
Bael,r88Moving|IsPointer,0x81fd028
Elder Bael,r89Moving|IsPointer,0x81fd028
Cyclops,r90Moving|IsPointer,0x81fd028
Mauthe Doog,r91Moving|IsPointer,0x81fd028
Gwyllgi,r92Moving|IsPointer,0x81fd028
Tarvos,r93Moving|IsPointer,0x81fd028
Maelduin,r94Moving|IsPointer,0x81fd028
Mogall,r95Moving|IsPointer,0x81fd028
Arch Mogall,r96Moving|IsPointer,0x81fd028
Gorgon,r97Moving|IsPointer,0x81fd028
Gorgon Egg,r98Moving|IsPointer,0x81fd028
Gargoyle,r99Moving|IsPointer,0x81fd028
Deathgoyle,r100Moving|IsPointer,0x81fd028
Dracozombie,r101Moving|IsPointer,0x81fd028
Demon King,r102Moving|IsPointer,0x81fd028
Archer on Ballista,r103Moving|IsPointer,0x81fd028
Archer on Iron Ballista,r104Moving|IsPointer,0x81fd028
Archer on Killer Ballista,r105Moving|IsPointer,0x81fd028
Ballista,r106Moving|IsPointer,0x81fd028
Iron Ballista,r107Moving|IsPointer,0x81fd028
Killer Ballista,r108Moving|IsPointer,0x81fd028
Civilian,r109Moving|IsPointer,0x81fd028
Civilian (F),r110Moving|IsPointer,0x81fd028
Civilian,r111Moving|IsPointer,0x81fd028
Civilian (F),r112Moving|IsPointer,0x81fd028
Civilian,r113Moving|IsPointer,0x81fd028
Civilian (F),r114Moving|IsPointer,0x81fd028
Peer,r115Moving|IsPointer,0x81fd028
Queen,r116Moving|IsPointer,0x81fd028
Prince,r117Moving|IsPointer,0x81fd028
Queen,r118Moving|IsPointer,0x81fd028
(empty),r119Moving|IsPointer,0x81fd028
Fallen Prince,r120Moving|IsPointer,0x81fd028
Tent,r121Moving|IsPointer,0x81fd028
Pontifex,r122Moving|IsPointer,0x81fd028
Dead Peer,r123Moving|IsPointer,0x81fd028
Cyclops,r124Moving|IsPointer,0x81fd028
Elder Bael,r125Moving|IsPointer,0x81fd028
Journeyman (2),r126Moving|IsPointer,0x81fd028
Pupil (2),r127Moving|IsPointer,0x81fd028
AxeCavalier,r128Moving|IsPointer,0x81fd028
SwordCavalier,r129Moving|IsPointer,0x81fd028
AxeArmor,r130Moving|IsPointer,0x81fd028
SwordArmor,r131Moving|IsPointer,0x81fd028
BowCavalier,r132Moving|IsPointer,0x81fd028
Convoy,r133Moving|IsPointer,0x81fd028
PirateF,r134Moving|IsPointer,0x81fd028
Huntress,r135Moving|IsPointer,0x81fd028
Brawler,r136Moving|IsPointer,0x81fd028
Axe WyvernRider,r137Moving|IsPointer,0x81fd028
