INLINE NewStandingMapSpriteTable,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
Ephraim Lord,0x3,0x0,0x2,0x0,m1Standing|IsPointer
Eirika Lord,0x3,0x0,0x2,0x0,m1Standing|IsPointer
Ephraim Master Lord,0x3,0x0,0x2,0x0,m2Standing|IsPointer
Eirika Master Lord,0x3,0x0,0x2,0x0,m3Standing|IsPointer
LanceCavalier,0x3,0x0,0x2,0x0,m4Standing|IsPointer
Paladin,0x3,0x0,0x2,0x0,m5Standing|IsPointer
Armor Knight,0x3,0x0,0x2,0x0,m6Standing|IsPointer
General,0x3,0x0,0x2,0x0,m7Standing|IsPointer
Thief,0x3,0x0,0x2,0x0,m8Standing|IsPointer
Mamkute,0x3,0x0,0x2,0x0,m9Standing|IsPointer
Mercenary,0x3,0x0,0x2,0x0,m10Standing|IsPointer
Mercenary (F),0x3,0x0,0x2,0x0,m11Standing|IsPointer
Hero,0x3,0x0,0x2,0x0,m12Standing|IsPointer
Hero (F),0x3,0x0,0x2,0x0,m13Standing|IsPointer
Swordfighter,0x3,0x0,0x2,0x0,m14Standing|IsPointer
Swordfighter (F),0x3,0x0,0x2,0x0,m15Standing|IsPointer
Swordmaster,0x3,0x0,0x2,0x0,m16Standing|IsPointer
Swordmaster (F),0x3,0x0,0x2,0x0,m17Standing|IsPointer
Assassin,0x3,0x0,0x2,0x0,m18Standing|IsPointer
Assassin (F),0x3,0x0,0x2,0x0,m19Standing|IsPointer
Archer,0x3,0x0,0x2,0x0,m20Standing|IsPointer
Archer (F),0x3,0x0,0x2,0x0,m21Standing|IsPointer
Sniper,0x3,0x0,0x2,0x0,m22Standing|IsPointer
Sniper (F),0x3,0x0,0x2,0x0,m23Standing|IsPointer
Ranger,0x3,0x0,0x2,0x0,m24Standing|IsPointer
Dragon Knight,0x3,0x0,0x2,0x0,m25Standing|IsPointer
Dragon Knight (F),0x3,0x0,0x2,0x0,m26Standing|IsPointer
Dragon Master,0x3,0x0,0x2,0x0,m27Standing|IsPointer
Dragon Master (F),0x3,0x0,0x2,0x0,m28Standing|IsPointer
Wyvern Knight,0x3,0x0,0x2,0x0,m29Standing|IsPointer
Mage,0x3,0x0,0x2,0x0,m30Standing|IsPointer
Mage (F),0x3,0x0,0x2,0x0,m31Standing|IsPointer
Sage,0x3,0x0,0x2,0x0,m32Standing|IsPointer
Sage (F),0x3,0x0,0x2,0x0,m33Standing|IsPointer
Mage Knight,0x3,0x0,0x2,0x0,m34Standing|IsPointer
Mage Knight (F),0x3,0x0,0x2,0x0,m35Standing|IsPointer
Bishop,0x3,0x0,0x2,0x0,m36Standing|IsPointer
Bishop (F),0x3,0x0,0x2,0x0,m37Standing|IsPointer
Shaman,0x3,0x0,0x2,0x0,m38Standing|IsPointer
Druid,0x3,0x0,0x2,0x0,m39Standing|IsPointer
Summoner,0x3,0x0,0x2,0x0,m40Standing|IsPointer
Rogue,0x3,0x0,0x2,0x0,m41Standing|IsPointer
Gorgon Egg,0x3,0x0,0x2,0x0,m42Standing|IsPointer
Great Knight,0x3,0x0,0x2,0x0,m43Standing|IsPointer
Trainee Soldier (2),0x3,0x0,0x2,0x0,m44Standing|IsPointer
Trainee Fighter (3),0x3,0x0,0x2,0x0,m45Standing|IsPointer
Trainee Mage (3),0x3,0x0,0x2,0x0,m46Standing|IsPointer
Mamkute,0x3,0x0,0x2,0x0,m47Standing|IsPointer
Mamkute (F),0x3,0x0,0x2,0x0,m48Standing|IsPointer
Fighter,0x3,0x0,0x2,0x0,m49Standing|IsPointer
Warrior,0x3,0x0,0x2,0x0,m50Standing|IsPointer
Brigand,0x3,0x0,0x2,0x0,m51Standing|IsPointer
Pirate,0x3,0x0,0x2,0x0,m52Standing|IsPointer
Berserker,0x3,0x0,0x2,0x0,m53Standing|IsPointer
Monk,0x3,0x0,0x2,0x0,m54Standing|IsPointer
Priest,0x3,0x0,0x2,0x0,m55Standing|IsPointer
Bard,0x3,0x0,0x2,0x0,m56Standing|IsPointer
Pegasus Knight,0x3,0x0,0x2,0x0,m57Standing|IsPointer
Falcon Knight,0x3,0x0,0x2,0x0,m58Standing|IsPointer
Cleric,0x3,0x0,0x2,0x0,m59Standing|IsPointer
Troubadour,0x3,0x0,0x2,0x0,m60Standing|IsPointer
Valkyrie,0x3,0x0,0x2,0x0,m61Standing|IsPointer
Dancer,0x3,0x0,0x2,0x0,m62Standing|IsPointer
Soldier,0x3,0x0,0x2,0x0,m63Standing|IsPointer
Necromancer,0x3,0x0,0x2,0x0,m64Standing|IsPointer
Fleet,0x3,0x0,0x2,0x0,m65Standing|IsPointer
Ghost Fighter,0x3,0x0,0x2,0x0,m66Standing|IsPointer
Zombie,0x3,0x0,0x2,0x0,m67Standing|IsPointer
Mummy,0x3,0x0,0x2,0x0,m68Standing|IsPointer
Skeleton,0x3,0x0,0x2,0x0,m69Standing|IsPointer
Skeleton (Bow),0x3,0x0,0x2,0x0,m70Standing|IsPointer
