INLINE AutolevelTable,Evolves from,At level,from,At level
0,0,0,0,0
BulbasaurID,0,0,0,0
IvysaurID,BulbasaurID,16,0,0
VenusaurID,IvysaurID,32,BulbasaurID,16
CharmanderID,0,0,0,0
CharmeleonID,CharmanderID,16,0,0
CharizardID,CharmeleonID,36,CharmanderID,16
SquirtleID,0,0,0,0
WartortleID,SquirtleID,16,0,0
BlastoiseID,WartortleID,36,SquirtleID,16
CaterpieID,0,0,0,0
MetapodID,CaterpieID,7,0,0
ButterfreeID,MetapodID,10,CaterpieID,7
WeedleID,7,,,
KakunaID,10,,,
BeedrillID,255,,,
PidgeyID,18,,,
PidgeottoID,36,,,
PidgeotID,255,,,
SuspiciousWaterID,255,,,
CrobatID,255,,,
RedID,255,,,
Unused4ID,255,,,
RattataID,20,,,
RaticateID,255,,,
SpearowID,20,,,
FearowID,255,,,
EkansID,22,,,
ArbokID,255,,,
PikachuID,255,,,
RaichuID,255,,,
SandshrewID,22,,,
SandslashID,255,,,
NidoranFID,16,,,
NidorinaID,255,,,
NidoqueenID,255,,,
NidoranMID,16,,,
NidorinoID,255,,,
NidokingID,255,,,
ClefairyID,255,,,
ClefableID,255,,,
VulpixID,255,,,
NinetalesID,255,,,
JigglypuffID,255,,,
WigglytuffID,255,,,
ZubatID,22,,,
GolbatID,255,,,
OddishID,21,,,
GloomID,255,,,
VileplumeID,255,,,
ParasID,24,,,
ParasectID,255,,,
GorgonEggID,255,,,
VenonatID,31,,,
VenomothID,255,,,
DiglettID,26,,,
DugtrioID,255,,,
MeowthID,28,,,
PersianID,255,,,
PsyduckID,33,,,
GolduckID,255,,,
MankeyID,28,,,
PrimeapeID,255,,,
GrowlitheID,255,,,
ArcanineID,255,,,
PoliwagID,25,,,
PoliwhirlID,255,,,
PoliwrathID,255,,,
AbraID,16,,,
KadabraID,255,,,
AlakazamID,255,,,
MachopID,28,,,
MachokeID,255,,,
MachampID,255,,,
BellsproutID,21,,,
WeepinbellID,255,,,
VictreebelID,255,,,
TentacoolID,30,,,
TentacruelID,255,,,
GeodudeID,25,,,
GravellerID,255,,,
PhantomID,255,,,
GolemID,255,,,
PonytaID,40,,,
RapidashID,255,,,
SlowpokeID,37,,,
SlowbroID,255,,,
MagnemiteID,30,,,
MagnetonID,255,,,
FarfetchdID,255,,,
DoduoID,31,,,
DodrioID,255,,,
SeelID,34,,,
DewgongID,255,,,
GrimerID,38,,,
CutBushID,255,,,
RockSmashID,255,,,
StrengthBoulderID,255,,,
GorgonEgg2ID,255,,,
Unused8ID,255,,,
DeathgoyleID,255,,,
DracoZombieID,255,,,
DemonKingID,255,,,
lassID,255,,,
picnickerID,255,,,
policemanID,255,,,
prof_oakID,255,,,
rockerID,255,,,
rocket_fID,255,,,
rocket_mID,255,,,
sailorID,255,,,
scientistID,255,,,
super_nerdID,255,,,
BurrowID,255,,,
FlowerID,255,,,
BerryTreeID,255,,,
sfxID,255,,,
OpenBallID,255,,,
RedPokeballID,255,,,
GoldPokeballID,255,,,
GaryID,255,,,
PlatformID,255,,,
BlankID,255,,,
SavePointID,255,,,
BushID,255,,,
SignID,255,,,
Sign2ID,255,,,
CoinsID,255,,,
MukID,255,,,
ShellderID,255,,,
CloysterID,255,,,
GastlyID,25,,,
HaunterID,255,,,
GengarID,255,,,
OnixID,255,,,
DrowzeeID,26,,,
HypnoID,255,,,
KrabbyID,28,,,
KinglerID,255,,,
VoltorbID,30,,,
ElectrodeID,255,,,
ExeggcuteID,255,,,
ExeggutorID,255,,,
CuboneID,28,,,
MarowakID,255,,,
HitmonleeID,255,,,
HitmonchanID,255,,,
LickitungID,255,,,
KoffingID,35,,,
WeezingID,255,,,
RhyhornID,42,,,
RhydonID,255,,,
ChanseyID,255,,,
TangelaID,255,,,
KangaskhanID,255,,,
HorseaID,32,,,
SeadraID,255,,,
GoldeenID,33,,,
SeakingID,255,,,
StaryuID,255,,,
StarmieID,255,,,
MrMimeID,255,,,
ScytherID,255,,,
JynxID,255,,,
ElectabuzzID,255,,,
MagmarID,255,,,
PinsirID,255,,,
TaurosID,255,,,
MagikarpID,20,,,
GyaradosID,255,,,
LaprasID,255,,,
DittoID,255,,,
EeveeID,255,,,
VaporeonID,255,,,
JolteonID,255,,,
FlareonID,255,,,
PorygonID,255,,,
OmanyteID,40,,,
OmastarID,255,,,
KabutoID,40,,,
KabutopsID,255,,,
AerodactylID,255,,,
SnorlaxID,255,,,
ArticunoID,255,,,
ZapdosID,255,,,
MoltresID,255,,,
DratiniID,30,,,
DragonairID,55,,,
DragoniteID,255,,,
MewtwoID,255,,,
MewID,255,,,
balding_manID,255,,,
battle_girlID,255,,,
beautyID,255,,,
billID,255,,,
blackbeltID,255,,,
blueID,255,,,
boyID,255,,,
bug_catcherID,255,,,
camperID,255,,,
captainID,255,,,
channelerID,255,,,
chefID,255,,,
cooltrainer_fID,255,,,
fat_manID,255,,,
fisherID,255,,,
gentlemanID,255,,,
hikerID,255,,,
Unused36ID,255,,,
Unused37ID,255,,,
Unused38ID,255,,,
Unused39ID,255,,,
Unused40ID,255,,,
Unused41ID,255,,,
Unused42ID,255,,,
Unused43ID,255,,,
Unused1ID,255,,,
Unused2ID,255,,,
Unused44ID,255,,,
Unused45ID,255,,,
Unused46ID,255,,,
Unused47ID,255,,,
Unused48ID,255,,,
Unused49ID,255,,,
Unused50ID,255,,,
Unused51ID,255,,,
Unused52ID,255,,,
Unused53ID,255,,,
Unused54ID,255,,,
Unused55ID,255,,,
Unused56ID,255,,,
Unused57ID,255,,,
Unused58ID,255,,,
Unused59ID,255,,,
Unused60ID,255,,,
Unused61ID,255,,,
Unused62ID,255,,,
Unused63ID,255,,,
Unused64ID,255,,,
Unused65ID,255,,,
Unused66ID,255,,,
Unused67ID,255,,,
Unused68ID,255,,,
Unused69ID,255,,,
Unused70ID,255,,,
Unused71ID,255,,,
Unused72ID,255,,,
Unused73ID,255,,,
Unused74ID,255,,,
Unused75ID,255,,,
Unused76ID,255,,,
Unused77ID,255,,,
Unused78ID,255,,,
Unused79ID,255,,,
SnagID,255,,,
Unused80ID,255,,,
