INLINE ModularEXPClassTable,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ephraim Lord,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eirika Lord,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ephraim Master Lord,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eirika Master Lord,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cavalier,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cavalier (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paladin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paladin (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armour Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armour Knight (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
General,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
General (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thief,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercenary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercenary (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hero (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myrmidon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myrmidon (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swordmaster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swordmaster (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assassin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assassin (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sniper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sniper (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ranger,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ranger (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Rider,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Rider (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Lord,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Lord (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyvern Knight (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sage (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage Knight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage Knight (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bishop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bishop (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shaman,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shaman (F),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
