INLINE PromoteLevelList,Prom Lvl
None,255
Ephraim Lord,255
Eirika Lord,255
Ephraim Master Lord,255
Eirika Master Lord,255
Socialknight,255
Socialknight (F),255
Paladin,255
Paladin (F),255
Armour Knight,255
Armour Knight (F),255
General,255
General (F),255
Thief,255
Mamkute,255
Mercenary,255
Mercenary (F),255
Hero,255
Hero (F),255
Swordfighter,255
Swordfighter (F),255
Swordmaster,255
Swordmaster (F),255
Assassin,255
Assassin (F),255
Archer,255
Archer (F),255
Sniper,255
Sniper (F),255
Forrest Knight,255
Forrest Knight (F),255
Dragon Knight,255
Dragon Knight (F),255
Dragon Master,255
Dragon Master (F),255
Wyvern Knight,255
Wyvern Knight (F),255
Mage,255
Mage (F),255
Sage,255
Sage (F),255
Mage Knight,255
Mage Knight (F),255
Bishop,255
Bishop (F),255
Shaman,255
Shaman (F),255
Druid,255
Druid (F),255
Summoner,255
Summoner (F),255
Rogue,255
Gorgon Egg,255
Great Knight,255
Great Knight (F),255
Trainee Soldier (2),255
Trainee Fighter (3),255
Trainee Mage (3),255
Trainee Soldier (3),255
Mamkute,255
Mamkute (F),255
Trainee Fighter (1),255
Trainee Mage (1),255
Fighter,255
Warrior,255
Mountain Thief,255
Pirate,255
Berserker,255
Monk,255
Priest,255
Bard,255
Trainee Soldier (1),255
Pegasus Knight,255
Falcon Knight,255
Sister,255
Troubadour,255
Valkyrie,255
Dancer,255
Soldier,255
Necromancer,255
Fleet,255
Ghost Fighter,255
Zombie,255
Mummy,255
Skeleton,255
Skeleton (Bow),255
Hellbone,255
Hellbone (Bow),255
Bael,255
Elder Bael,255
Cyclops,255
Mauthedoog,255
Cerberus,255
Tarvos,255
Macdaire,255
Bigl,255
Archbigl,255
Gorgon,255
Gorgon Egg,255
Gargoyle,255
Death Gargoyle,255
Dragon Zombie,255
Demon King,255
Archer on Ballista,255
Archer on Iron Ballista,255
Archer on Killer Ballista,255
Ballista,255
Iron Ballista,255
Killer Ballista,255
Civilian,255
Civilian (F),255
Civilian,255
Civilian (F),255
Civilian,255
Civilian (F),255
Peer,255
Queen,255
Prince,255
Queen,255
(empty),255
Fallen Prince,255
Tent,255
Pontifex,255
Dead Peer,255
Cyclops,255
Elder Bael,255
Trainee Fighter (2),255
Trainee Mage (2),255
0x80,255
0x81,255
0x82,255
0x83,255
0x84,255
0x85,255
0x86,255
0x87,255
0x88,255
0x89,255
0x8a,255
0x8b,255
0x8c,255
0x8d,255
0x8e,255
0x8f,255
0x90,255
0x91,255
0x92,255
0x93,255
0x94,255
0x95,255
0x96,255
0x97,255
0x98,255
0x99,255
0x9a,255
0x9b,255
0x9c,255
0x9d,255
0x9e,255
0x9f,255
0xa0,255
0xa1,255
0xa2,255
0xa3,255
0xa4,255
0xa5,255
0xa6,255
0xa7,255
0xa8,255
0xa9,255
0xaa,255
0xab,255
0xac,255
0xad,255
0xae,255
0xaf,255
0xb0,255
0xb1,255
0xb2,255
0xb3,255
0xb4,255
0xb5,255
0xb6,255
0xb7,255
0xb8,255
0xb9,255
0xba,255
0xbb,255
0xbc,255
0xbd,255
0xbe,255
0xbf,255
0xc0,255
0xc1,255
0xc2,255
0xc3,255
0xc4,255
0xc5,255
0xc6,255
0xc7,255
0xc8,255
0xc9,255
0xca,255
0xcb,255
0xcc,255
0xcd,255
0xce,255
0xcf,255
0xd0,255
0xd1,255
0xd2,255
0xd3,255
0xd4,255
0xd5,255
0xd6,255
0xd7,255
0xd8,255
0xd9,255
0xda,255
0xdb,255
0xdc,255
0xdd,255
0xde,255
0xdf,255
0xe0,255
0xe1,255
0xe2,255
0xe3,255
0xe4,255
0xe5,255
0xe6,255
0xe7,255
0xe8,255
0xe9,255
0xea,255
0xeb,255
0xec,255
0xed,255
0xee,255
0xef,255
0xf0,255
0xf1,255
0xf2,255
0xf3,255
0xf4,255
0xf5,255
0xf6,255
0xf7,255
0xf8,255
0xf9,255
0xfa,255
0xfb,255
0xfc,255
0xfd,255
0xfe,255
0xff,255
