INLINE CharLevelUpSkillTable,Skill List Address
None,0
Eirika,EphraimLordSkillList|IsPointer
Seth,EphraimLordSkillList|IsPointer
Gilliam,EphraimLordSkillList|IsPointer
Franz,EphraimLordSkillList|IsPointer
Moulder,EphraimLordSkillList|IsPointer
Vanessa,EphraimLordSkillList|IsPointer
Ross,EphraimLordSkillList|IsPointer
Neimi,EphraimLordSkillList|IsPointer
Colm,EphraimLordSkillList|IsPointer
Garcia,EphraimLordSkillList|IsPointer
Innes,EphraimLordSkillList|IsPointer
Lute,EphraimLordSkillList|IsPointer
Natasha,EphraimLordSkillList|IsPointer
Cormag,EphraimLordSkillList|IsPointer
Ephraim,EphraimLordSkillList|IsPointer
Forde,EphraimLordSkillList|IsPointer
Kyle,EphraimLordSkillList|IsPointer
Amelia,EphraimLordSkillList|IsPointer
Artur,EphraimLordSkillList|IsPointer
Gerik,EphraimLordSkillList|IsPointer
Tethys,EphraimLordSkillList|IsPointer
Marisa,EphraimLordSkillList|IsPointer
Saleh,EphraimLordSkillList|IsPointer
Ewan,EphraimLordSkillList|IsPointer
L'Arachel,EphraimLordSkillList|IsPointer
Dozla,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
Rennac,EphraimLordSkillList|IsPointer
Duessel,EphraimLordSkillList|IsPointer
Myrrh,EphraimLordSkillList|IsPointer
Knoll,EphraimLordSkillList|IsPointer
Joshua,EphraimLordSkillList|IsPointer
Syrene,EphraimLordSkillList|IsPointer
Tana,EphraimLordSkillList|IsPointer
Lyon,EphraimLordSkillList|IsPointer
Orson,EphraimLordSkillList|IsPointer
Glen,EphraimLordSkillList|IsPointer
Selena,EphraimLordSkillList|IsPointer
Valter,EphraimLordSkillList|IsPointer
Riev,EphraimLordSkillList|IsPointer
Caellach,EphraimLordSkillList|IsPointer
Fado,EphraimLordSkillList|IsPointer
Ismaire,EphraimLordSkillList|IsPointer
Hayden,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
-,EphraimLordSkillList|IsPointer
