INLINE ClassLevelUpSkillTable,Skill Pointer
None,0x0
Lord,0x0
GreatLord,0x0
Sword_Rider,0x0
Lance_Rider,0x0
Axe_Rider,0x0
Bow_Rider,0x0
Armor,0x0
Soldier,0x0
Mercenary,0x0
Fighter,0x0
Archer,0x0
Thief,0x0
Myrmidon,0x0
Deserter,0x0
Brigand,0x0
Pirate,0x0
Pegasus_Rider,0x0
Wyvern_Rider,0x0
Thunder_Mage,0x0
Fire_Mage,0x0
Wind_Mage,0x0
Cleric,0x0
Troubadour,0x0
Paladin,0x0
Forrest_Knight,0x0
Lancer,0x0
Great_Knight,0x0
Arch_Knight,0x0
Fire_Knight,0x0
Wind_Knight,0x0
Thunder_Knight,0x0
General,0x0
Baron,0x0
Halberdier,0x0
Hero,0x0
Warrior,0x0
Champion,0x0
Slayer,0x0
Dragoon,0x0
Harbinger,0x0
War_Monk,0x0
Adventurer,0x0
Assassin,StealSkillList|IsPointer
Trickster,StealSkillList|IsPointer
Grassrunner,StealSkillList|IsPointer
Sniper,0x0
Swordmaster,0x0
Ravager,0x0
Berserker,0x0
Falcoknight,0x0
Seraph_Knight,0x0
Kinshi_Knight,0x0
Wyvern_Lord,0x0
Qilin_Knight,0x0
Scaleguard,0x0
Thunder_Sage,0x0
Fire_Sage,0x0
Wind_Sage,0x0
Windcaller,0x0
Diabolist,0x0
Valkyrie,0x0
Lord_D,0x0
GreatLord_D,0x0
Sword_Rider_D,0x0
Lance_Rider_D,0x0
Axe_Rider_D,0x0
Bow_Rider_D,0x0
Pegasus_Rider_D,0x0
Wyvern_Rider_D,0x0
Troubadour_D,0x0
Paladin_D,0x0
Forrest_Knight_D,0x0
Lancer_D,0x0
Great_Knight_D,0x0
Arch_Knight_D,0x0
Fire_Knight_D,0x0
Wind_Knight_D,0x0
Thunder_Knight_D,0x0
Grassrunner_D,StealSkillList|IsPointer
Falcoknight_D,0x0
Seraph_Knight_D,0x0
Kinshi_Knight_D,0x0
Wyvern_Lord_D,0x0
Qilin_Knight_D,0x0
Scaleguard_D,0x0
Valkyrie_D,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
Archer on Ballista,0x0
Archer on Iron Ballista,0x0
Archer on Killer Ballista,0x0
Ballista,0x0
Iron Ballista,0x0
Killer Ballista,0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Peer,0x0
Queen,0x0
Prince,0x0
Queen,0x0
Light Rune,0x0
Fallen Prince,0x0
Tent,0x0
Pontifex,0x0
Dead Peer,0x0
,0x0
,0x0
,0x0
,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
-0,0x0
