INLINE PersonalSkillTable,Skill
0,0x0
1,Intimidate2ID
2,0x0
3,0x0
4,0x0
5,0x0
6,0x0
7,0x0
8,0x0
9,0x0
A,0x0
B,0x0
C,0x0
D,0x0
E,0x0
F,0x0
10,0x0
11,0x0
12,0x0
13,0x0
14,0x0
15,0x0
16,0x0
17,0x0
18,0x0
19,0x0
1A,0x0
1B,0x0
1C,0x0
1D,0x0
1E,0x0
1F,0x0
20,0x0
21,0x0
22,0x0
23,0x0
24,0x0
25,0x0
26,0x0
27,0x0
28,0x0
29,0x0
2A,0x0
2B,0x0
2C,0x0
2D,0x0
2E,0x0
2F,0x0
30,0x0
31,0x0
32,0x0
33,0x0
34,0x0
35,0x0
36,0x0
37,0x0
38,0x0
39,0x0
3A,0x0
3B,0x0
3C,0x0
3D,0x0
3E,0x0
3F,0x0
40,0x0
41,0x0
42,0x0
43,0x0
44,0x0
45,ShadePlusID
46,0x0
47,0x0
48,0x0
49,0x0
4A,0x0
4B,0x0
4C,0x0
4D,0x0
4E,0x0
4F,0x0
50,0x0
51,0x0
52,0x0
53,0x0
54,0x0
55,0x0
56,0x0
57,0x0
58,0x0
59,0x0
5A,0x0
5B,0x0
5C,0x0
5D,0x0
5E,0x0
5F,0x0
60,0x0
61,0x0
62,0x0
63,0x0
64,0x0
65,0x0
66,0x0
67,0x0
68,0x0
69,0x0
6A,0x0
6B,0x0
6C,0x0
6D,0x0
6E,0x0
6F,0x0
70,0x0
71,0x0
72,0x0
73,0x0
74,0x0
75,0x0
76,0x0
77,0x0
78,0x0
79,0x0
7A,0x0
7B,0x0
7C,0x0
7D,0x0
7E,0x0
7F,0x0
80,0x0
81,0x0
82,0x0
83,0x0
84,0x0
85,0x0
86,0x0
87,0x0
88,0x0
89,0x0
8A,0x0
8B,0x0
8C,0x0
8D,0x0
8E,0x0
8F,0x0
90,0x0
91,0x0
92,0x0
93,0x0
94,0x0
95,0x0
96,0x0
97,0x0
98,0x0
99,0x0
9A,0x0
9B,0x0
9C,0x0
9D,0x0
9E,0x0
9F,0x0
A0,0x0
A1,0x0
A2,0x0
A3,0x0
A4,0x0
A5,0x0
A6,0x0
A7,0x0
A8,0x0
A9,0x0
AA,0x0
AB,0x0
AC,0x0
AD,0x0
AE,0x0
AF,0x0
B0,0x0
B1,0x0
B2,0x0
B3,0x0
B4,0x0
B5,0x0
B6,0x0
B7,0x0
B8,0x0
B9,0x0
BA,0x0
BB,0x0
BC,0x0
BD,0x0
BE,0x0
BF,0x0
C0,0x0
C1,0x0
C2,0x0
C3,0x0
C4,0x0
C5,0x0
C6,0x0
C7,0x0
C8,0x0
C9,0x0
CA,0x0
CB,0x0
CC,0x0
CD,0x0
CE,0x0
CF,0x0
D0,0x0
D1,0x0
D2,0x0
D3,0x0
D4,0x0
D5,0x0
D6,0x0
D7,0x0
D8,0x0
D9,0x0
DA,0x0
DB,0x0
DC,0x0
DD,ShadePlusID
DE,ShadePlusID
DF,ShadePlusID
E0,ShadePlusID
E1,ShadePlusID
E2,ShadePlusID
E3,ShadePlusID
E4,ShadePlusID
E5,ShadePlusID
E6,ShadePlusID
E7,ShadePlusID
E8,ShadePlusID
E9,ShadePlusID
EA,ShadePlusID
EB,ShadePlusID
EC,ShadePlusID
ED,ShadePlusID
EE,ShadePlusID
EF,ShadePlusID
F0,ShadePlusID
F1,ShadePlusID
F2,ShadePlusID
F3,ShadePlusID
F4,ShadePlusID
F5,ShadePlusID
F6,ShadePlusID
F7,ShadePlusID
F8,ShadePlusID
F9,ShadePlusID
FA,ShadePlusID
FB,ShadePlusID
FC,ShadePlusID
FD,ShadePlusID
FE,ShadePlusID
FF,ShadePlusID
