## OaksLabChText 
# ([A-Z,a-z])\w+
# ##$0Text\r$0[.][X]\r\r
Oak's Lab[.][X]



 ##PalletChText
Pallet Town[.][X]


 ##Route1ChText
Route 1[.][X]


 ##ViridianChText
Viridian City[.][X]


 ##Route2SChText
Route 2[.][X]


 ##ViridianForestSChText
Viridian Forest[.][X]


 ##ViridianForestNChText
Viridian Forest[.][X]


 ##Route2NChText
Route 2[.][X]


 ##PewterChText
Pewter City[.][X]


 ##PewterGymChText
Pewter Gym[.][X]


 ##Route3WChText
Route 3[.][X]


 ##Route3MChText
Route 3[.][X]


 ##Route3EChText
Route 3[.][X]


 ##Route4WChText
Route 4[.][X]


 ##MtMoonB1ChText
MtMoon B1[.][X]


 ##MtMoonB2ChText
MtMoon B2[.][X]


 ##MtMoonB3ChText
MtMoon B3[.][X]


 ##Route4MChText
Route 4[.][X]


 ##Route4EChText
Route 4[.][X]


 ##CeruleanChText
Cerulean City[.][X]


 ##CeruleanGymChText
Cerulean Gym[.][X]


 ##Route24ChText
Route 24[.][X]


 ##Route25ChText
Route 25[.][X]


 ##Route5ChText
Route 5[.][X]


 ##Route6ChText
Route 6[.][X]


 ##VermilionChText //^
Vermilion City[.][X]


 ##VermilionGymChText ^
Vermilion Gym[.][X]


 ##SSAnneChText
SS Anne[.][X]


 ##DiglettsCaveChText
Diglett's Cave[.][X]


 ##Route11ChText
Route 11[.][X]


 ##Route9WChText
Route 9[.][X]


 ##Route9EChText
Route 9[.][X]


 ##Route10ChText
Route 10[.][X]


##RockTunnelB1ChText //^
Rock Tunnel[.][X]


 ##RockTunnelB2ChText //^
Rock Tunnel[.][X]


 ##LavenderChText
Lavender Town[.][X]


 ##Route8ChText
Route 8[.][X]


 ##PokemonTowerF1ChText //^
Pkmn Tower[.][X]


 ##PokemonTowerF2ChText //^
Pkmn Tower[.][X]


 ##PokemonTowerF3ChText //^
Pkmn Tower[.][X]


 ##PokemonTowerF4ChText //^
Pkmn Tower[.][X]


 ##PokemonTowerF5ChText //^
Pkmn Tower[.][X]


 ##Route12NChText
Route 12[.][X]


 ##Route12SChText
Route 12[.][X]


 ##Route13ChText
Route 13[.][X]


 ##Route14ChText
Route 14[.][X]


 ##Route15ChText
Route 15[.][X]


 ##FuschiaChText
Fuchsia City[.][X]

## SafariSText //^
Safari Zone[.][X]

## SafariEText //^
Safari Zone[.][X]

## SafariNText //^
Safari Zone[.][X]

## SafariWText //^
Safari Zone[.][X]

 ##FuschiaGymChText
Fuchsia Gym[.][X]


 ##Route18ChText
Route 18[.][X]


 ##Route17SChText
Route 17[.][X]


 ##Route17NChText
Route 17[.][X]


 ##Route16ChText
Route 16[.][X]


 ##CeladonChText
Celadon City[.][X]


 ##CeladonGymChText
Celadon Gym[.][X]


 ##Route7ChText
Route 7[.][X]


 ##SaffronChText
Saffron City[.][X]


 ##SaffronDojoChText
Saffron Dojo[.][X]


 ##SaffronGymChText
Saffron Gym[.][X]


 ##Route19ChText
Route 19[.][X]


 ##Route20EChText
Route 20[.][X]


 ##Route20WChText
Route 20[.][X]


 ##CinnabarChText //^
Cinnabar Island[.][X]


 ##CinnabarGymChText
Cinnabar Gym[.][X]


 ##Route21ChText
Route 21[.][X]


 ##ViridianGymChText
Viridian Gym[.][X]


 ##Route22ChText
Route 22[.][X]


 ##Route23SChText
Route 23[.][X]


 ##Route23MChText
Route 23[.][X]


 ##Route23NChText
Route 23[.][X]

 ##PokecenterChText
PC Box[.][X]

## SilphCoChText
Silph Co[.][X]

## SeafoamChText //^
Seafoam Cave[.][X]

## MansionChText //^
Pkmn Mansion[.][X]

## PowerPlantChText
Power Plant[.][X]

## CeruleanCaveChText
Cerulean Cave[.][X]

## VictoryRoadChText 
Victory Road[.][X]

## IndigoPlateauChText
Indigo Plateau[.][X]

## DebugChText
Debug Room[.][X]

## SSAnneDocksChText
Docks[.][X]
