## BronzeSwordName
Bronze Sword[X]

## IronSwordName
Iron Sword[X]

## SteelSwordName
Steel Sword[X]

## SilverSwordName
Silver Sword[X]

## T1KillerSwordName
Killer Knife[X]

## WyrmslayerName
Wyrmslayer[X]

## ArmorslayerName
Armorslayer[X]

## KillingEdgeName
Killing Edge[X]

## BraveSwordName
Brave Sword[X]

## IronBladeName
Iron Blade[X]

## SteelBladeName
Steel Blade[X]

## WoDaoName
Wo Dao[X]

## BronzeLanceName
Bronze Lance[X]

## IronLanceName
Iron Lance[X]

## SteelLanceName
Steel Lance[X]

## SilverLanceName
Silver Lance[X]

## T1KillerLanceName
Killer Spike[X]

## HorseslayerName
Horseslayer[X]

## HeavySpearName
Heavy Spear[X]

## KillerLanceName
Killer Lance[X]

## BraveLanceName
Brave Lance[X]

## IronGreatlanceName
Iron Greatlance[X]

## SteelGreatlanceName
Steel Greatlance[X]

## IronPikeName
Iron Pike[X]

## SteelPikeName
Steel Pike[X]

## JavelinName
Javelin[X]

## SpearName
Spear[X]

## BronzeAxeName
Bronze Axe[X]

## IronAxeName
Iron Axe[X]

## SteelAxeName
Steel Axe[X]

## SilverAxeName
Silver Axe[X]

## T1KillerAxeName
Killer Hatchet[X]

## HammerName
Hammer[X]

## WingclipperName
Wingclipper[X]

## KillerAxeName
Killer Axe[X]

## BraveAxeName
Brave Axe[X]

## IronPoleaxeName
Iron Poleaxe[X]

## SteelPoleaxeName
Steel Poleaxe[X]

## HandAxeName
Hand Axe[X]

## TomahawkName
Tomahawk[X]

## BronzeBowName
Bronze Bow[X]

## IronBowName
Iron Bow[X]

## SteelBowName
Steel Bow[X]

## SilverBowName
Silver Bow[X]

## T1KillerBowName
Killer Shortbow[X]

## KillerBowName
Killer Bow[X]

## BraveBowName
Brave Bow[X]

## IronLongbowName
Iron Longbow[X]

## SteelLongbowName
Steel Longbow[X]

## AntiMageBowName
Magepiercer[X]

## ArcaneBowName
Arcane Bow[X]

## RapierBowName
Compound Bow[X]

## ThunderName
Thunder[X]

## ElthunderName
Elthunder[X]

## ThoronName
Thoron[X]

## BoltingName
Bolting[X]

## ChainVoltName
Chain Volt[X]

## ParalysisName
Paralysis[X]

## FireName
Fire[X]

## ElfireName
Elfire[X]

## BolganoneName
Bolganone[X]

## MeteorName
Meteor[X]

## BeastblazeName
Beastblaze[X]

## RagnarokName
Ragnarok[X]

## WindName
Wind[X]

## ElwindName
Elwind[X]

## TornadoName
Tornado[X]

## BlizzardName
Blizzard[X]

## AircaliburName
Aircalibur[X]

## ValorousGaleName
Valorous Gale[X]

## SootheName
Soothe[X]

## HealName
Heal[X]

## MendName
Mend[X]

## RecoverName
Recover[X]

## RestoreName
Restore[X]

## PhysicName
Physic[X]

## FortifyName
Fortify[X]

## FreezeName
Freeze[X]

## NumbName
Numb[X]

## SilenceName
Silence[X]

## BerserkName
Berserk[X]

## SlowName
Slow[X]

## BarrierName
Barrier[X]

## LightRuneName
Light Rune[X]

## WarpName
Warp[X]

## RescueName
Rescue[X]

## SwarpName
Swarp[X]

## UnlockName
Unlock[X]

## AngelicRobeName
Angelic Robe[X]

## EnergyRingName
Energy Ring[X]

## SpiritDustName
Spirit Dust[X]

## SecretBookName
Secret Book[X]

## SpeedwingName
Speedwing[X]

## GoddessIconName
Goddess Icon[X]

## DragonshieldName
Dragonshield[X]

## TalismanName
Talisman[X]

## BootsName
Boots[X]

## SolarCrestName
Solar Crest[X]

## LunarRingName
Lunar Ring[X]

## AstralSigilName
Astral Sigil[X]

## VulneraryName
Vulnerary[X]

## ElixirName
Elixir[X]

## PureWaterName
Pure Water[X]

## AntitoxinName
Antitoxin[X]

## TorchName
Torch[X]

## RedGemName
Red Gem[X]

## BlueGemName
Blue Gem[X]

## WhiteGemName
White Gem[X]

## BlackGemName
Black Gem[X]

## SilverCardName
Silver Card[X]

## MemberCardName
